pair,alt,seq,x,y,risk,conflict
DB02_to_DK03#alt0,0,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK03#alt0,0,1,1750.0,1100.0,0.1308,0.0
DB02_to_DK03#alt0,0,2,1700.0,1100.0,0.1432,0.0
DB02_to_DK03#alt0,0,3,1650.0,1150.0,0.1798,0.0
DB02_to_DK03#alt0,0,4,1600.0,1150.0,0.1937,0.0
DB02_to_DK03#alt0,0,5,1550.0,1150.0,0.2057,0.0
DB02_to_DK03#alt0,0,6,1500.0,1200.0,0.253,0.0
DB02_to_DK03#alt0,0,7,1450.0,1200.0,0.2609,0.0
DB02_to_DK03#alt0,0,8,1400.0,1250.0,0.3114,0.0
DB02_to_DK03#alt0,0,9,1350.0,1250.0,0.3114,0.0
DB02_to_DK03#alt0,0,10,1300.0,1250.0,0.3114,0.0
DB02_to_DK03#alt0,0,11,1250.0,1250.0,0.3114,0.0
DB02_to_DK03#alt0,0,12,1200.0,1250.0,0.3269,0.0
DB02_to_DK03#alt0,0,13,1150.0,1250.0,0.3485,0.0
DB02_to_DK03#alt0,0,14,1100.0,1250.0,0.3628,0.0
DB02_to_DK03#alt0,0,15,1050.0,1250.0,0.3679,0.0
DB02_to_DK03#alt1,1,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK03#alt1,1,1,1750.0,1050.0,0.1138,0.0
DB02_to_DK03#alt1,1,2,1700.0,1000.0,0.1069,0.0
DB02_to_DK03#alt1,1,3,1650.0,1000.0,0.1146,0.0
DB02_to_DK03#alt1,1,4,1600.0,1050.0,0.1422,0.0
DB02_to_DK03#alt1,1,5,1550.0,1050.0,0.1495,0.0
DB02_to_DK03#alt1,1,6,1500.0,1050.0,0.1551,0.0
DB02_to_DK03#alt1,1,7,1450.0,1100.0,0.1873,0.0
DB02_to_DK03#alt1,1,8,1400.0,1100.0,0.1889,0.0
DB02_to_DK03#alt1,1,9,1350.0,1150.0,0.2231,0.0
DB02_to_DK03#alt1,1,10,1300.0,1150.0,0.2231,0.0
DB02_to_DK03#alt1,1,11,1250.0,1150.0,0.2252,0.0
DB02_to_DK03#alt1,1,12,1200.0,1150.0,0.2407,0.0
DB02_to_DK03#alt1,1,13,1150.0,1150.0,0.253,0.0
DB02_to_DK03#alt1,1,14,1100.0,1150.0,0.2609,0.0
DB02_to_DK03#alt1,1,15,1050.0,1200.0,0.3114,0.0
DB02_to_DK03#alt1,1,16,1050.0,1250.0,0.3679,0.0
DB02_to_DK03#alt2,2,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK03#alt2,2,1,1750.0,1150.0,0.1495,0.0
DB02_to_DK03#alt2,2,2,1750.0,1200.0,0.17,0.0
DB02_to_DK03#alt2,2,3,1700.0,1250.0,0.2151,0.0
DB02_to_DK03#alt2,2,4,1650.0,1300.0,0.2721,0.0
DB02_to_DK03#alt2,2,5,1600.0,1350.0,0.344,0.0
DB02_to_DK03#alt2,2,6,1550.0,1350.0,0.3784,0.0
DB02_to_DK03#alt2,2,7,1500.0,1350.0,0.4076,0.0
DB02_to_DK03#alt2,2,8,1450.0,1350.0,0.4275,0.0
DB02_to_DK03#alt2,2,9,1400.0,1350.0,0.4346,0.0
DB02_to_DK03#alt2,2,10,1350.0,1350.0,0.4346,0.0
DB02_to_DK03#alt2,2,11,1300.0,1350.0,0.4346,0.0
DB02_to_DK03#alt2,2,12,1250.0,1350.0,0.4346,0.0
DB02_to_DK03#alt2,2,13,1200.0,1350.0,0.4346,0.0
DB02_to_DK03#alt2,2,14,1150.0,1350.0,0.4746,0.0
DB02_to_DK03#alt2,2,15,1100.0,1350.0,0.503,0.0
DB02_to_DK03#alt2,2,16,1050.0,1300.0,0.4346,0.0
DB02_to_DK03#alt2,2,17,1050.0,1250.0,0.3679,0.0
DB02_to_DK03#alt3,3,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK03#alt3,3,1,1850.0,1050.0,0.0936,0.0
DB02_to_DK03#alt3,3,2,1850.0,1000.0,0.0821,0.0
DB02_to_DK03#alt3,3,3,1800.0,950.0,0.0785,0.0
DB02_to_DK03#alt3,3,4,1750.0,900.0,0.0736,0.0
DB02_to_DK03#alt3,3,5,1700.0,900.0,0.079,0.0
DB02_to_DK03#alt3,3,6,1650.0,900.0,0.0839,0.0
DB02_to_DK03#alt3,3,7,1600.0,900.0,0.0883,0.0
DB02_to_DK03#alt3,3,8,1550.0,950.0,0.1082,0.0
DB02_to_DK03#alt3,3,9,1500.0,950.0,0.1117,0.0
DB02_to_DK03#alt3,3,10,1450.0,950.0,0.1138,0.0
DB02_to_DK03#alt3,3,11,1400.0,1000.0,0.1353,0.0
DB02_to_DK03#alt3,3,12,1350.0,1000.0,0.1353,0.0
DB02_to_DK03#alt3,3,13,1300.0,1050.0,0.1599,0.0
DB02_to_DK03#alt3,3,14,1250.0,1050.0,0.1661,0.0
DB02_to_DK03#alt3,3,15,1200.0,1050.0,0.1755,0.0
DB02_to_DK03#alt3,3,16,1150.0,1050.0,0.1827,0.0
DB02_to_DK03#alt3,3,17,1100.0,1050.0,0.1921,0.0
DB02_to_DK03#alt3,3,18,1050.0,1050.0,0.2151,0.0
DB02_to_DK03#alt3,3,19,1000.0,1100.0,0.2231,0.0
DB02_to_DK03#alt3,3,20,950.0,1150.0,0.2636,0.0
DB02_to_DK03#alt3,3,21,950.0,1200.0,0.3114,0.0
DB02_to_DK03#alt3,3,22,1000.0,1250.0,0.3679,0.0
DB02_to_DK03#alt3,3,23,1050.0,1250.0,0.3679,0.0
DB02_to_DK03#alt4,4,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK03#alt4,4,1,1850.0,1150.0,0.1199,0.0
DB02_to_DK03#alt4,4,2,1850.0,1200.0,0.1344,0.0
DB02_to_DK03#alt4,4,3,1850.0,1250.0,0.1517,0.0
DB02_to_DK03#alt4,4,4,1800.0,1300.0,0.1921,0.0
DB02_to_DK03#alt4,4,5,1750.0,1350.0,0.2431,0.0
DB02_to_DK03#alt4,4,6,1700.0,1400.0,0.3077,0.0
DB02_to_DK03#alt4,4,7,1650.0,1450.0,0.3895,0.0
DB02_to_DK03#alt4,4,8,1600.0,1450.0,0.4346,0.0
DB02_to_DK03#alt4,4,9,1550.0,1450.0,0.4931,0.0
DB02_to_DK03#alt4,4,10,1500.0,1450.0,0.5483,0.0
DB02_to_DK03#alt4,4,11,1450.0,1450.0,0.5903,0.0
DB02_to_DK03#alt4,4,12,1400.0,1450.0,0.6065,0.0
DB02_to_DK03#alt4,4,13,1350.0,1450.0,0.6065,0.0
DB02_to_DK03#alt4,4,14,1300.0,1450.0,0.6065,0.0
DB02_to_DK03#alt4,4,15,1250.0,1450.0,0.6065,0.0
DB02_to_DK03#alt4,4,16,1200.0,1450.0,0.5903,0.0
DB02_to_DK03#alt4,4,17,1150.0,1450.0,0.6241,0.0
DB02_to_DK03#alt4,4,18,1100.0,1450.0,0.6889,0.0
DB02_to_DK03#alt4,4,19,1050.0,1400.0,0.6065,0.0
DB02_to_DK03#alt4,4,20,1050.0,1350.0,0.5134,0.0
DB02_to_DK03#alt4,4,21,1050.0,1300.0,0.4346,0.0
DB02_to_DK03#alt4,4,22,1050.0,1250.0,0.3679,0.0
DB02_to_DK03#alt5,5,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK03#alt5,5,1,1850.0,1100.0,0.1062,0.0
DB02_to_DK03#alt5,5,2,1900.0,1050.0,0.0854,0.0
DB02_to_DK03#alt5,5,3,1950.0,1000.0,0.079,0.0
DB02_to_DK03#alt5,5,4,1950.0,950.0,0.0677,0.0
DB02_to_DK03#alt5,5,5,1900.0,900.0,0.0568,0.0
DB02_to_DK03#alt5,5,6,1850.0,850.0,0.0542,0.0
DB02_to_DK03#alt5,5,7,1800.0,800.0,0.0507,0.0
DB02_to_DK03#alt5,5,8,1750.0,800.0,0.0544,0.0
DB02_to_DK03#alt5,5,9,1700.0,800.0,0.058,0.0
DB02_to_DK03#alt5,5,10,1650.0,800.0,0.0612,0.0
DB02_to_DK03#alt5,5,11,1600.0,800.0,0.064,0.0
DB02_to_DK03#alt5,5,12,1550.0,800.0,0.0681,0.0
DB02_to_DK03#alt5,5,13,1500.0,850.0,0.0803,0.0
DB02_to_DK03#alt5,5,14,1450.0,850.0,0.092,0.0
DB02_to_DK03#alt5,5,15,1400.0,850.0,0.1082,0.0
DB02_to_DK03#alt5,5,16,1350.0,900.0,0.1215,0.0
DB02_to_DK03#alt5,5,17,1300.0,900.0,0.1422,0.0
DB02_to_DK03#alt5,5,18,1250.0,950.0,0.1551,0.0
DB02_to_DK03#alt5,5,19,1200.0,950.0,0.1798,0.0
DB02_to_DK03#alt5,5,20,1150.0,950.0,0.2076,0.0
DB02_to_DK03#alt5,5,21,1100.0,950.0,0.2384,0.0
DB02_to_DK03#alt5,5,22,1050.0,950.0,0.2721,0.0
DB02_to_DK03#alt5,5,23,1000.0,950.0,0.3077,0.0
DB02_to_DK03#alt5,5,24,950.0,1000.0,0.3006,0.0
DB02_to_DK03#alt5,5,25,900.0,1050.0,0.281,0.0
DB02_to_DK03#alt5,5,26,850.0,1100.0,0.253,0.0
DB02_to_DK03#alt5,5,27,850.0,1150.0,0.253,0.0
DB02_to_DK03#alt5,5,28,850.0,1200.0,0.2972,0.0
DB02_to_DK03#alt5,5,29,900.0,1250.0,0.3628,0.0
DB02_to_DK03#alt5,5,30,950.0,1250.0,0.3679,0.0
DB02_to_DK03#alt5,5,31,1000.0,1250.0,0.3679,0.0
DB02_to_DK03#alt5,5,32,1050.0,1250.0,0.3679,0.0
DB02_to_DK03#alt6,6,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK03#alt6,6,1,1850.0,1150.0,0.1199,0.0
DB02_to_DK03#alt6,6,2,1900.0,1200.0,0.1335,0.0
DB02_to_DK03#alt6,6,3,1950.0,1150.0,0.1239,0.0
DB02_to_DK03#alt6,6,4,2000.0,1100.0,0.1146,0.0
DB02_to_DK03#alt6,6,5,2050.0,1050.0,0.1036,0.0
DB02_to_DK03#alt6,6,6,2050.0,1000.0,0.0883,0.0
DB02_to_DK03#alt6,6,7,2050.0,950.0,0.0752,0.0
DB02_to_DK03#alt6,6,8,2050.0,900.0,0.064,0.0
DB02_to_DK03#alt6,6,9,2000.0,850.0,0.0522,0.0
DB02_to_DK03#alt6,6,10,1950.0,800.0,0.0423,0.0
DB02_to_DK03#alt6,6,11,1900.0,750.0,0.0374,0.0
DB02_to_DK03#alt6,6,12,1850.0,700.0,0.0349,0.0
DB02_to_DK03#alt6,6,13,1800.0,700.0,0.0375,0.0
DB02_to_DK03#alt6,6,14,1750.0,700.0,0.04,0.0
DB02_to_DK03#alt6,6,15,1700.0,700.0,0.0423,0.0
DB02_to_DK03#alt6,6,16,1650.0,700.0,0.0498,0.0
DB02_to_DK03#alt6,6,17,1600.0,700.0,0.0588,0.0
DB02_to_DK03#alt6,6,18,1550.0,700.0,0.0695,0.0
DB02_to_DK03#alt6,6,19,1500.0,700.0,0.0821,0.0
DB02_to_DK03#alt6,6,20,1450.0,750.0,0.0964,0.0
DB02_to_DK03#alt6,6,21,1400.0,750.0,0.1138,0.0
DB02_to_DK03#alt6,6,22,1350.0,750.0,0.1344,0.0
DB02_to_DK03#alt6,6,23,1300.0,800.0,0.1551,0.0
DB02_to_DK03#alt6,6,24,1250.0,800.0,0.1827,0.0
DB02_to_DK03#alt6,6,25,1200.0,850.0,0.2057,0.0
DB02_to_DK03#alt6,6,26,1150.0,850.0,0.2407,0.0
DB02_to_DK03#alt6,6,27,1100.0,850.0,0.281,0.0
DB02_to_DK03#alt6,6,28,1050.0,900.0,0.3006,0.0
DB02_to_DK03#alt6,6,29,1050.0,950.0,0.2721,0.0
DB02_to_DK03#alt6,6,30,1050.0,1000.0,0.2431,0.0
DB02_to_DK03#alt6,6,31,1050.0,1050.0,0.2151,0.0
DB02_to_DK03#alt6,6,32,1050.0,1100.0,0.2231,0.0
DB02_to_DK03#alt6,6,33,1050.0,1150.0,0.2636,0.0
DB02_to_DK03#alt6,6,34,1050.0,1200.0,0.3114,0.0
DB02_to_DK03#alt6,6,35,1050.0,1250.0,0.3679,0.0
DB02_to_DK03#alt7,7,0,1800.0,1100.0,0.1183,0.0
DB02_to_DK03#alt7,7,1,1750.0,1150.0,0.1495,0.0
DB02_to_DK03#alt7,7,2,1700.0,1200.0,0.1889,0.0
DB02_to_DK03#alt7,7,3,1650.0,1250.0,0.2384,0.0
DB02_to_DK03#alt7,7,4,1600.0,1300.0,0.3006,0.0
