pair,alt,n_pts,length_m,width_m,buffer_m,half_extent_m,min_clearance_m,corridor_area_m2,mean_risk,max_risk,mean_conflict,corridor_length_m
DB02_to_DK03#alt0,0,16,812.1,50.0,12.5,37.5,300.0,40607.0,0.2586,0.3679,0.0,
DB02_to_DK03#alt1,1,17,924.3,50.0,12.5,37.5,300.0,46213.0,0.1989,0.3679,0.0,
DB02_to_DK03#alt2,2,18,953.6,50.0,12.5,37.5,206.2,47678.0,0.3575,0.503,0.0,
DB02_to_DK03#alt3,3,24,1336.4,50.0,12.5,37.5,300.0,66820.0,0.1636,0.3679,0.0,
DB02_to_DK03#alt4,4,23,1224.3,50.0,12.5,37.5,111.8,61213.0,0.4337,0.6889,0.0,
DB02_to_DK03#alt5,5,33,1848.5,50.0,12.5,37.5,300.0,92426.0,0.1721,0.3679,0.0,
DB02_to_DK03#alt6,6,36,2019.2,50.0,12.5,37.5,300.0,100962.0,0.1415,0.3679,0.0,
DB02_to_DK03#alt7,7,16,853.6,50.0,12.5,37.5,300.0,42678.0,0.307,0.3679,0.0,
DB01_to_DK03#alt0,0,54,3333.5,50.0,12.5,37.5,50.0,166673.0,0.3563,0.8465,0.0,
DB01_to_DK03#alt1,1,58,3616.3,50.0,12.5,37.5,50.0,180815.0,0.2803,0.8465,0.0,
DB01_to_DK03#alt2,2,67,4045.6,50.0,12.5,37.5,50.0,202279.0,0.2424,0.8465,0.0,
DB01_to_DK03#alt3,3,67,3797.1,50.0,12.5,37.5,50.0,189853.0,0.727,0.8465,0.0,
DB01_to_DK03#alt4,4,62,3650.6,50.0,12.5,37.5,50.0,182530.0,0.3246,0.8465,0.0,
DB01_to_DK03#alt5,5,74,4499.1,50.0,12.5,37.5,50.0,224957.0,0.6373,0.8465,0.0,
DB01_to_DK03#alt6,6,73,4552.7,50.0,12.5,37.5,50.0,227635.0,0.1825,0.8465,0.0,
DB01_to_DK03#alt7,7,55,3114.2,50.0,12.5,37.5,50.0,155711.0,0.4896,0.8465,0.0,
