version,pair,route_key,start_label,end_label,direction,route_type,route_rank,success,message,distance_m,distance_km,total_cost,n_path_nodes,expanded_nodes,runtime_sec,mean_distance_to_main_m,duplicated_from_main,duplicated_from_previous_main,used_full_map_retry,safe_fallback,main_avoid_previous_radius_m,backup_corridor_m,backup_mean_offset_m,backup_min_offset_m,backup_separation_violation_pct,backup_separation_ok,backup_max_offset_m,distance_diff_m,flz_buffer_ok,flz_buffer_min_distance_m,flz_buffer_via,lock_mode,locked_overlap_nodes,locked_overlap_checked_nodes,locked_overlap_percent,mean_flz_support,mean_emergency_risk,mean_other_terminal_avoidance,mean_traffic_penalty_factor,route_file
v15,DB01_to_DB02,forward_main_01,DB01,DB02,forward,main,1,True,Path found. [safe fallback attempted],3127.817459305202,3.127817459305202,201.91695234285189,59,525,0.7972187995910645,,,False,False,True,,,,,,,,,True,100.0,,,0,0,0.0,0.6252428596688688,0.37475714033113094,0.002938313244951755,1.0023506505959614,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_main_01.csv
v15,DB01_to_DB02,forward_backup_01,DB01,DB02,forward,backup,1,True,Path found. [safe fallback attempted],3198.5281374238575,3.1985281374238577,205.8702704147203,60,94,0.4173445701599121,45.833333333333336,False,False,False,True,,50.0,45.833333333333336,23.686769925927468,0.8695652173913043,True,50.0,70.71067811865532,True,50.0,,no_lock,0,50,0.0,0.6313254946173333,0.3686745053826666,0.0031794772343440004,1.0025435817874753,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_backup_01.csv
v15,DB01_to_DB02,forward_main_02,DB01,DB02,forward,main,2,True,Route forced through FLZ buffer via FLZ03.,6451.219330881976,6.451219330881976,457.45119017868893,106,2124,2.585632562637329,,,False,False,True,,,,,,,,,True,0.0,FLZ03,,7,96,7.291666666666667,0.6946973905454493,0.30530260945455057,,,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_main_02.csv
v15,DB01_to_DB02,forward_backup_02,DB01,DB02,forward,backup,2,True,Path found. [safe fallback attempted],6592.640687119286,6.592640687119286,469.79531895091196,108,226,0.7711794376373291,47.22222222222222,False,False,True,True,,50.0,47.22222222222222,5.837432459714866,1.593625498007968,True,50.0,141.42135623730974,True,35.35533905932738,,soft_lock,4,98,4.081632653061225,0.6926074573594112,0.30739254264058885,0.21657504793357546,1.1732600383468603,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_backup_02.csv
v15,DB01_to_DB02,forward_main_03,DB01,DB02,forward,main,3,False,"Rank skipped: 3 candidate main(s) tried, none had a viable backup; no new distinct main exists under the lock/overlap limits.",,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DB01_to_DB02,forward_backup_03,DB01,DB02,forward,backup,3,False,Rank skipped: no main+backup couple found.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DB01_to_DB02,forward_main_04,DB01,DB02,forward,main,4,False,"Path found. [safe fallback attempted] Overlap with locked routes = 52/52 nodes (100.00%), exceeds limit 10.00%.",3127.817459305202,3.127817459305202,201.91695234285189,59,525,0.8427414894104004,,,False,False,True,0.0,,,,,,,,,,,soft_lock,52,52,100.0,0.6252428596688688,0.37475714033113094,0.002938313244951755,1.0023506505959614,output/thetastar_master_plan/route_nodes/DB01_to_DB02_forward_main_04.csv
v15,DB01_to_DB02,forward_backup_04,DB01,DB02,forward,backup,4,False,Skipped because forward_main_04 failed.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DB01_to_DB02,backward_main_01,DB02,DB01,backward,main,1,True,Route forced through FLZ buffer via FLZ04.,3707.7164466275353,3.7077164466275354,229.5569687249627,59,630,1.5414142608642578,,,False,False,True,,,,,,,,,True,0.0,FLZ04,,2,50,4.0,0.7150075052050309,0.28499249479496913,,,output/thetastar_master_plan/route_nodes/DB01_to_DB02_backward_main_01.csv
v15,DB01_to_DB02,backward_backup_01,DB02,DB01,backward,backup,1,True,Path found. [safe fallback attempted],3807.716446627536,3.807716446627536,235.89019111901254,61,120,0.5767712593078613,45.08196721311475,False,False,False,True,,50.0,45.08196721311475,5.107482449145354,5.0,True,50.0,100.00000000000045,True,50.0,,strict_lock,0,53,0.0,0.7125716502882171,0.2874283497117828,0.0045263499712533345,1.0036210799770027,output/thetastar_master_plan/route_nodes/DB01_to_DB02_backward_backup_01.csv
v15,DB01_to_DB02,backward_main_02,DB02,DB01,backward,main,2,True,Path found. [safe fallback attempted],3766.295090390226,3.766295090390226,235.18560543376972,61,1148,1.83022141456604,,,False,False,True,0.0,,,,,,,,True,70.71067811865476,,strict_lock,0,49,0.0,0.702623088572162,0.2973769114278381,0.005712435573316398,1.0045699484586532,output/thetastar_master_plan/route_nodes/DB01_to_DB02_backward_main_02.csv
v15,DB01_to_DB02,backward_backup_02,DB02,DB01,backward,backup,2,True,Path found. [safe fallback attempted],3937.0057685088814,3.9370057685088815,245.70690482372643,64,277,0.76033616065979,48.995919251655366,False,False,False,True,,150.0,48.995919251655366,17.270592539627387,0.6896551724137931,True,111.80339887498948,170.71067811865532,True,35.35533905932738,,strict_lock,0,50,0.0,0.7082446509961065,0.29175534900389355,0.0071623109324687635,1.005729848745975,output/thetastar_master_plan/route_nodes/DB01_to_DB02_backward_backup_02.csv
v15,DB01_to_DB02,backward_main_03,DB02,DB01,backward,main,3,False,"Rank skipped: 1 candidate main(s) tried, none had a viable backup; no new distinct main exists under the lock/overlap limits.",,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DB01_to_DB02,backward_backup_03,DB02,DB01,backward,backup,3,False,Rank skipped: no main+backup couple found.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
v15,DB01_to_DB02,backward_main_04,DB02,DB01,backward,main,4,False,"Path found. [safe fallback attempted] Overlap with locked routes = 37/52 nodes (71.15%), exceeds limit 10.00%.",3127.8174593052026,3.1278174593052026,202.18618387596607,59,1026,1.3239433765411377,,,False,False,True,0.0,,,,,,,,,,,soft_lock,37,52,71.15384615384616,0.6060669980128573,0.3939330019871427,0.0029379340044355393,1.0023503472035482,output/thetastar_master_plan/route_nodes/DB01_to_DB02_backward_main_04.csv
v15,DB01_to_DB02,backward_backup_04,DB02,DB01,backward,backup,4,False,Skipped because backward_main_04 failed.,,,,0,-1,,,,False,False,False,,,,,,,,,,,,,0,0,0.0,,,,,
