area_id,area_ix,area_iy,n_model_nodes,n_candidate_pool_nodes,area_density_sum,area_density_mean,area_density_max,area_candidate_hit_max,is_active_area,area_density_norm,area_quota,area_selected_count
0_0,0,0,400,0,0.0,0.0,0.0,0.0,0,0.0,0,0
0_1,0,1,400,21,1060.0,2.65,68.0,22.0,1,0.34822601839684625,1,1
0_2,0,2,400,16,520.0,1.3,15.0,15.0,1,0.17082785808147175,1,1
0_3,0,3,400,15,480.0,1.2,22.0,17.0,1,0.15768725361366623,1,1
0_4,0,4,400,2,1133.0,2.8325,73.0,22.0,1,0.37220762155059134,1,1
0_5,0,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
1_0,1,0,400,0,29.0,0.0725,3.0,0.0,0,0.009526938239159002,0,0
1_1,1,1,400,14,1059.0,2.6475,75.0,23.0,1,0.3478975032851511,1,1
1_2,1,2,400,61,1451.0,3.6275,19.0,19.0,1,0.4766754270696452,1,1
1_3,1,3,400,30,956.0,2.39,18.0,18.0,1,0.3140604467805519,1,1
1_4,1,4,400,42,2196.0,5.49,79.0,22.0,1,0.721419185282523,2,2
1_5,1,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2_0,2,0,400,0,189.0,0.4725,3.0,0.0,0,0.06208935611038108,0,0
2_1,2,1,400,1,459.0,1.1475,10.0,10.0,1,0.15078843626806834,1,1
2_2,2,2,400,98,3044.0,7.61,36.0,26.0,1,1.0,3,3
2_3,2,3,400,66,2753.0,6.8825,86.0,17.0,1,0.9044021024967148,2,2
2_4,2,4,400,31,1702.0,4.255,42.0,20.0,1,0.5591327201051248,2,2
2_5,2,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
3_0,3,0,400,0,209.0,0.5225,3.0,0.0,0,0.06865965834428384,0,0
3_1,3,1,400,5,1206.0,3.015,16.0,13.0,1,0.3961892247043364,1,1
3_2,3,2,400,36,1510.0,3.775,19.0,19.0,1,0.49605781865965837,1,1
3_3,3,3,400,37,951.0,2.3775,18.0,18.0,1,0.3124178712220762,1,1
3_4,3,4,400,5,551.0,1.3775,74.0,12.0,1,0.18101182654402104,1,1
3_5,3,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
4_0,4,0,400,0,147.0,0.3675,3.0,0.0,0,0.04829172141918528,0,0
4_1,4,1,400,2,595.0,1.4875,73.0,16.0,1,0.1954664914586071,1,1
4_2,4,2,400,0,0.0,0.0,0.0,0.0,0,0.0,0,0
4_3,4,3,400,0,0.0,0.0,0.0,0.0,0,0.0,0,0
4_4,4,4,400,0,0.0,0.0,0.0,0.0,0,0.0,0,0
4_5,4,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_0,5,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_1,5,1,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_2,5,2,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_3,5,3,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_4,5,4,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_5,5,5,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0
