node_key,node_id,x,y,z,slowness,label,label_prefix,risk_total,flz_support,emergency_risk,hit_count,visit_count,pair_hit_count,direction_hit_count,route_type_hit_count,route_ids,pairs,directions,route_types,route_graph_degree,is_nofly,density_hit_count,is_flz,area_ix,area_iy,area_id
0,0,0.0,0.0,0.0,0.084999,NONE,NONE,0.0,1.9e-05,0.999981,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
1,1,50.0,0.0,0.0,0.084999,NONE,NONE,0.0,2.3e-05,0.999977,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
2,2,100.0,0.0,0.0,0.084999,NONE,NONE,0.0,2.9e-05,0.999971,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
3,3,150.0,0.0,0.0,0.084999,NONE,NONE,0.0,3.6e-05,0.999964,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
4,4,200.0,0.0,0.0,0.084998,NONE,NONE,0.0,4.5e-05,0.999955,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
5,5,250.0,0.0,0.0,0.084998,NONE,NONE,0.0,5.5e-05,0.999945,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
6,6,300.0,0.0,0.0,0.084998,NONE,NONE,0.0,6.8e-05,0.999932,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
7,7,350.0,0.0,0.0,0.084997,NONE,NONE,0.0,8.3e-05,0.999917,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
8,8,400.0,0.0,0.0,0.084997,NONE,NONE,0.0,0.000101,0.999899,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
9,9,450.0,0.0,0.0,0.084996,NONE,NONE,0.0,0.000123,0.999877,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
10,10,500.0,0.0,0.0,0.084995,NONE,NONE,0.0,0.000149,0.999851,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
11,11,550.0,0.0,0.0,0.084994,NONE,NONE,0.0,0.000179,0.999821,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
12,12,600.0,0.0,0.0,0.084993,NONE,NONE,0.0,0.000214,0.999786,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
13,13,650.0,0.0,0.0,0.084991,NONE,NONE,0.0,0.000256,0.999744,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
14,14,700.0,0.0,0.0,0.08499,NONE,NONE,0.0,0.000305,0.999695,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
15,15,750.0,0.0,0.0,0.084988,NONE,NONE,0.0,0.000361,0.999639,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
16,16,800.0,0.0,0.0,0.084985,NONE,NONE,0.0,0.000427,0.999573,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
17,17,850.0,0.0,0.0,0.084983,NONE,NONE,0.0,0.000502,0.999498,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
18,18,900.0,0.0,0.0,0.08498,NONE,NONE,0.0,0.000588,0.999412,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
19,19,950.0,0.0,0.0,0.084977,NONE,NONE,0.0,0.000686,0.999314,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,0,0,0_0
20,20,1000.0,0.0,0.0,0.084973,NONE,NONE,0.0,0.000797,0.999203,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,1,0,1_0
21,21,1050.0,0.0,0.0,0.084969,NONE,NONE,0.0,0.000923,0.999077,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,1,0,1_0
22,22,1100.0,0.0,0.0,0.084964,NONE,NONE,0.0,0.001064,0.998936,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,1,0,1_0
23,23,1150.0,0.0,0.0,10.0,NONE,NONE,1.0,0.001222,0.998778,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,0.0,False,1,0,1_0
24,24,1200.0,0.0,0.0,10.0,NONE,NONE,1.0,0.001399,0.998601,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,0.0,False,1,0,1_0
25,25,1250.0,0.0,0.0,10.0,NONE,NONE,1.0,0.001594,0.998406,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,0.0,False,1,0,1_0
26,26,1300.0,0.0,0.0,10.0,NONE,NONE,1.0,0.00181,0.99819,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,0.0,False,1,0,1_0
27,27,1350.0,0.0,0.0,10.0,NONE,NONE,1.0,0.002047,0.997953,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,0.0,False,1,0,1_0
28,28,1400.0,0.0,0.0,10.0,NONE,NONE,1.0,0.002306,0.997694,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,0.0,False,1,0,1_0
29,29,1450.0,0.0,0.0,10.0,NONE,NONE,1.0,0.002717,0.997283,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,0.0,False,1,0,1_0
30,30,1500.0,0.0,0.0,10.0,NONE,NONE,1.0,0.00322,0.99678,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,0.0,False,1,0,1_0
31,31,1550.0,0.0,0.0,10.0,NONE,NONE,1.0,0.003802,0.996198,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,0.0,False,1,0,1_0
32,32,1600.0,0.0,0.0,10.0,NONE,NONE,1.0,0.004471,0.995529,0.0,0.0,0.0,0.0,0.0,,,,,0.0,True,0.0,False,1,0,1_0
33,33,1650.0,0.0,0.0,0.084822,NONE,NONE,0.0,0.005237,0.994763,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,1,0,1_0
34,34,1700.0,0.0,0.0,0.084792,NONE,NONE,0.0,0.006111,0.993889,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,1,0,1_0
35,35,1750.0,0.0,0.0,0.084755,NONE,NONE,0.0,0.007215,0.992785,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,1,0,1_0
36,36,1800.0,0.0,0.0,0.084702,NONE,NONE,0.0,0.008754,0.991246,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,1,0,1_0
37,37,1850.0,0.0,0.0,0.08464,NONE,NONE,0.0,0.01058,0.98942,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,1,0,1_0
38,38,1900.0,0.0,0.0,0.084567,NONE,NONE,0.0,0.012737,0.987263,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,1,0,1_0
39,39,1950.0,0.0,0.0,0.084481,NONE,NONE,0.0,0.015273,0.984727,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,1,0,1_0
40,40,2000.0,0.0,0.0,0.08438,NONE,NONE,0.0,0.018244,0.981756,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
41,41,2050.0,0.0,0.0,0.084262,NONE,NONE,0.0,0.021708,0.978292,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
42,42,2100.0,0.0,0.0,0.084125,NONE,NONE,0.0,0.025728,0.974272,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
43,43,2150.0,0.0,0.0,0.083967,NONE,NONE,0.0,0.030375,0.969625,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
44,44,2200.0,0.0,0.0,0.083786,NONE,NONE,0.0,0.03572,0.96428,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
45,45,2250.0,0.0,0.0,0.083577,NONE,NONE,0.0,0.041843,0.958157,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
46,46,2300.0,0.0,0.0,0.08334,NONE,NONE,0.0,0.048824,0.951176,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
47,47,2350.0,0.0,0.0,0.083071,NONE,NONE,0.0,0.056748,0.943252,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
48,48,2400.0,0.0,0.0,0.082766,NONE,NONE,0.0,0.0657,0.9343,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
49,49,2450.0,0.0,0.0,0.082424,NONE,NONE,0.0,0.075768,0.924232,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
50,50,2500.0,0.0,0.0,0.082041,NONE,NONE,0.0,0.087038,0.912962,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
51,51,2550.0,0.0,0.0,0.081614,NONE,NONE,0.0,0.099595,0.900405,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
52,52,2600.0,0.0,0.0,0.08114,NONE,NONE,0.0,0.113519,0.886481,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
53,53,2650.0,0.0,0.0,0.080618,NONE,NONE,0.0,0.128886,0.871114,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
54,54,2700.0,0.0,0.0,0.080044,NONE,NONE,0.0,0.145762,0.854238,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
55,55,2750.0,0.0,0.0,0.079417,NONE,NONE,0.0,0.164205,0.835795,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
56,56,2800.0,0.0,0.0,0.078735,NONE,NONE,0.0,0.18426,0.81574,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
57,57,2850.0,0.0,0.0,0.077997,NONE,NONE,0.0,0.205959,0.794041,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
58,58,2900.0,0.0,0.0,0.077203,NONE,NONE,0.0,0.229316,0.770684,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
59,59,2950.0,0.0,0.0,0.076353,NONE,NONE,0.0,0.254325,0.745675,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,2,0,2_0
60,60,3000.0,0.0,0.0,0.075447,NONE,NONE,0.0,0.280963,0.719037,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
61,61,3050.0,0.0,0.0,0.074488,NONE,NONE,0.0,0.309181,0.690819,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
62,62,3100.0,0.0,0.0,0.073477,NONE,NONE,0.0,0.338906,0.661094,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
63,63,3150.0,0.0,0.0,0.072419,NONE,NONE,0.0,0.370041,0.629959,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
64,64,3200.0,0.0,0.0,0.071316,NONE,NONE,0.0,0.402461,0.597539,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
65,65,3250.0,0.0,0.0,0.070175,NONE,NONE,0.0,0.436015,0.563985,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
66,66,3300.0,0.0,0.0,0.069002,NONE,NONE,0.0,0.470525,0.529475,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
67,67,3350.0,0.0,0.0,0.067803,NONE,NONE,0.0,0.505787,0.494213,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
68,68,3400.0,0.0,0.0,0.066587,NONE,NONE,0.0,0.541571,0.458429,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
69,69,3450.0,0.0,0.0,0.065361,NONE,NONE,0.0,0.577626,0.422374,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
70,70,3500.0,0.0,0.0,0.064135,NONE,NONE,0.0,0.61368,0.38632,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
71,71,3550.0,0.0,0.0,0.062919,NONE,NONE,0.0,0.649443,0.350557,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
72,72,3600.0,0.0,0.0,0.061723,NONE,NONE,0.0,0.68461,0.31539,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
73,73,3650.0,0.0,0.0,0.060559,NONE,NONE,0.0,0.718868,0.281132,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
74,74,3700.0,0.0,0.0,0.059436,NONE,NONE,0.0,0.751897,0.248103,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
75,75,3750.0,0.0,0.0,0.058365,NONE,NONE,0.0,0.783377,0.216623,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
76,76,3800.0,0.0,0.0,0.057358,NONE,NONE,0.0,0.812994,0.187006,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
77,77,3850.0,0.0,0.0,0.056425,NONE,NONE,0.0,0.840441,0.159559,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
78,78,3900.0,0.0,0.0,0.055575,NONE,NONE,0.0,0.865428,0.134572,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,3,0,3_0
79,79,3950.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.887683,0.112317,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_backup_02,DB01_to_DK06,forward,backup,2.0,False,1.0,False,3,0,3_0
80,80,4000.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.906961,0.093039,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
81,81,4050.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.923044,0.076956,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
82,82,4100.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.935751,0.064249,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
83,83,4150.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.944934,0.055066,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
84,84,4200.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.950487,0.049513,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
85,85,4250.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.952345,0.047655,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
86,86,4300.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.950487,0.049513,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
87,87,4350.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.944934,0.055066,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
88,88,4400.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.935751,0.064249,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
89,89,4450.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.923044,0.076956,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
90,90,4500.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.906961,0.093039,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
91,91,4550.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.887683,0.112317,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
92,92,4600.0,0.0,0.0,0.055575,NONE,NONE,0.0,0.865428,0.134572,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
93,93,4650.0,0.0,0.0,0.056425,NONE,NONE,0.0,0.840441,0.159559,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
94,94,4700.0,0.0,0.0,0.057358,NONE,NONE,0.0,0.812994,0.187006,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
95,95,4750.0,0.0,0.0,0.058365,NONE,NONE,0.0,0.783377,0.216623,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
96,96,4800.0,0.0,0.0,0.059436,NONE,NONE,0.0,0.751897,0.248103,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
97,97,4850.0,0.0,0.0,0.060559,NONE,NONE,0.0,0.718868,0.281132,0.0,0.0,0.0,0.0,0.0,,,,,0.0,False,0.0,False,4,0,4_0
