node_key,node_id,x,y,z,slowness,label,label_prefix,risk_total,flz_support,emergency_risk,hit_count,visit_count,pair_hit_count,direction_hit_count,route_type_hit_count,route_ids,pairs,directions,route_types,route_graph_degree,is_nofly,density_hit_count,is_flz,area_ix,area_iy,area_id
79,79,3950.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.887683,0.112317,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_backup_02,DB01_to_DK06,forward,backup,2.0,False,1.0,False,3,0,3_0
80,80,4000.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.906961,0.093039,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
81,81,4050.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.923044,0.076956,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
82,82,4100.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.935751,0.064249,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
83,83,4150.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.944934,0.055066,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
84,84,4200.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.950487,0.049513,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
85,85,4250.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.952345,0.047655,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
86,86,4300.0,0.0,0.0,0.05525,NONE,NONE,0.0,0.950487,0.049513,1.0,1.0,1.0,1.0,1.0,DB01_to_DK06_forward_main_02,DB01_to_DK06,forward,main,2.0,False,1.0,False,4,0,4_0
177,177,3800.0,50.0,0.0,0.056868,NONE,NONE,0.0,0.827412,0.172588,1.0,1.0,1.0,1.0,1.0,DK01_to_DK03_backward_backup_04,DK01_to_DK03,backward,backup,2.0,False,1.0,False,3,0,3_0
178,178,3850.0,50.0,0.0,0.055918,NONE,NONE,0.0,0.855345,0.144655,1.0,1.0,1.0,1.0,1.0,DK01_to_DK03_backward_backup_04,DK01_to_DK03,backward,backup,2.0,False,1.0,False,3,0,3_0
