candidate_id,node_key,node_id,x,y,z,hit_count,visit_count,pair_hit_count,direction_hit_count,route_type_hit_count,route_ids,pairs,directions,route_types,label,label_prefix,slowness,risk_obstacle,risk_ra,risk_total,flz_support,emergency_risk,route_graph_degree,is_flz,dbscan_cluster,dbscan_input,candidate_score,area_ix,area_iy,area_id,candidate_type,area_quota,area_selected_rank,area_density_sum,area_density_mean,area_density_max,area_density_norm,n_candidate_pool_nodes,density_hit_count,obstacle_clearance_m,obstacle_clearance_ok,shifted_from_node_key,shift_distance_m
IP001,4792,4792,2250.0,2350.0,0.0,26,26,21,2,2,DB01_to_DB02_forward_main_02;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_main_01;DB01_to_DK03_forward_main_01;DB01_to_DK04_backward_main_01;DB01_to_DK05_backward_backup_01;DB01_to_DK05_forward_main_01;DB01_to_DK06_forward_main_01;DB02_to_DK02_backward_main_04;DB02_to_DK02_forward_main_01;DB02_to_DK02_forward_main_03;DB02_to_DK02_forward_main_04;DB02_to_DK04_forward_main_02;DB02_to_DK05_forward_backup_01;DB02_to_DK06_forward_main_03;DK01_to_DK02_backward_main_01;DK01_to_DK03_backward_main_02;DK01_to_DK05_backward_backup_01;DK01_to_DK06_backward_main_03;DK02_to_DK03_backward_main_01;DK02_to_DK05_backward_main_01;DK02_to_DK06_backward_main_01;DK03_to_DK05_backward_backup_01;DK03_to_DK06_backward_backup_02;DK04_to_DK05_backward_backup_01;DK05_to_DK06_backward_backup_01,DB01_to_DB02;DB01_to_DK02;DB01_to_DK03;DB01_to_DK04;DB01_to_DK05;DB01_to_DK06;DB02_to_DK02;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06;DK01_to_DK02;DK01_to_DK03;DK01_to_DK05;DK01_to_DK06;DK02_to_DK03;DK02_to_DK05;DK02_to_DK06;DK03_to_DK05;DK03_to_DK06;DK04_to_DK05;DK05_to_DK06,backward;forward,backup;main,NONE,NONE,0.060606,0.0,0.0,0.0,0.717465,0.282535,6,False,0,True,0.9500000000000001,2,2,2_2,area_balanced_primary,3,1,3044.0,7.61,36.0,1.0,98,26.0,111.80339887498948,True,4893,50.0
IP002,4494,4494,2500.0,2200.0,0.0,26,28,21,2,2,DB01_to_DB02_backward_main_02;DB01_to_DK01_forward_main_01;DB01_to_DK02_backward_backup_01;DB01_to_DK04_forward_main_01;DB01_to_DK05_backward_main_01;DB02_to_DK02_backward_main_04;DB02_to_DK02_forward_backup_01;DB02_to_DK04_forward_backup_02;DB02_to_DK05_backward_main_03;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_backup_01;DK01_to_DK02_backward_backup_01;DK01_to_DK04_backward_main_01;DK01_to_DK05_backward_backup_01;DK01_to_DK06_backward_main_03;DK02_to_DK03_backward_backup_01;DK02_to_DK05_backward_backup_01;DK02_to_DK06_backward_backup_01;DK03_to_DK04_backward_main_01;DK03_to_DK05_backward_backup_01;DK03_to_DK06_backward_backup_02;DK03_to_DK06_forward_backup_03;DK04_to_DK05_backward_backup_01;DK04_to_DK06_backward_backup_01;DK04_to_DK06_forward_backup_02;DK05_to_DK06_backward_backup_01,DB01_to_DB02;DB01_to_DK01;DB01_to_DK02;DB01_to_DK04;DB01_to_DK05;DB02_to_DK02;DB02_to_DK04;DB02_to_DK05;DK01_to_DK02;DK01_to_DK04;DK01_to_DK05;DK01_to_DK06;DK02_to_DK03;DK02_to_DK05;DK02_to_DK06;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06;DK04_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward,backup;main,NONE,NONE,0.055518,0.0,0.0,0.0,0.86712,0.13288,5,False,0,True,0.925,2,2,2_2,area_balanced_extra,3,2,3044.0,7.61,36.0,1.0,98,26.0,100.0,True,,0.0
IP003,5612,5612,2850.0,2750.0,0.0,19,19,17,2,2,DB01_to_DK01_backward_backup_01;DB01_to_DK01_forward_backup_01;DB01_to_DK02_forward_backup_02;DB02_to_DK01_forward_backup_01;DB02_to_DK03_forward_main_02;DB02_to_DK05_forward_main_04;DB02_to_DK06_backward_main_01;DK01_to_DK02_backward_backup_01;DK01_to_DK03_backward_backup_01;DK01_to_DK04_backward_backup_01;DK01_to_DK05_backward_backup_01;DK01_to_DK06_backward_main_01;DK02_to_DK04_backward_backup_01;DK02_to_DK04_forward_main_02;DK02_to_DK06_backward_main_01;DK03_to_DK06_backward_main_01;DK04_to_DK05_forward_backup_02;DK04_to_DK06_backward_main_01;DK05_to_DK06_backward_main_01,DB01_to_DK01;DB01_to_DK02;DB02_to_DK01;DB02_to_DK03;DB02_to_DK05;DB02_to_DK06;DK01_to_DK02;DK01_to_DK03;DK01_to_DK04;DK01_to_DK05;DK01_to_DK06;DK02_to_DK04;DK02_to_DK06;DK03_to_DK06;DK04_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward,backup;main,NONE,NONE,0.05525,0.0,0.0,0.0,0.906961,0.093039,5,False,0,True,0.7348901098901099,2,2,2_2,area_balanced_extra,3,3,3044.0,7.61,36.0,1.0,98,19.0,100.0,True,5511,50.0
IP006,8606,8606,1050.0,4250.0,0.0,22,22,13,2,1,DB01_to_DK02_forward_main_01;DB01_to_DK05_backward_main_01;DB01_to_DK05_backward_main_03;DB01_to_DK05_backward_main_04;DB02_to_DK02_backward_main_01;DB02_to_DK05_backward_main_03;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_main_01;DB02_to_DK05_forward_main_04;DK01_to_DK02_forward_main_01;DK01_to_DK05_backward_main_01;DK01_to_DK05_backward_main_04;DK02_to_DK03_forward_main_01;DK02_to_DK04_forward_main_01;DK02_to_DK05_backward_main_01;DK02_to_DK05_forward_main_01;DK02_to_DK06_forward_main_01;DK03_to_DK05_backward_main_01;DK04_to_DK05_backward_main_01;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK05_to_DK06_backward_main_01,DB01_to_DK02;DB01_to_DK05;DB02_to_DK02;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward,main,NONE,NONE,0.077203,0.0,0.0,0.0,0.229316,0.770684,3,False,0,True,0.7255494505494505,1,4,1_4,area_balanced_primary,2,1,2196.0,5.49,79.0,0.721419185282523,42,22.0,100.0,True,8605,50.0
IP010,5920,5920,3100.0,2900.0,0.0,19,19,14,2,2,DB01_to_DB02_forward_main_02;DB01_to_DK03_backward_main_01;DB01_to_DK06_backward_backup_02;DB02_to_DK01_backward_main_01;DB02_to_DK02_backward_main_01;DB02_to_DK03_backward_main_03;DB02_to_DK03_backward_main_04;DB02_to_DK03_forward_main_01;DB02_to_DK03_forward_main_03;DB02_to_DK03_forward_main_04;DB02_to_DK04_backward_main_01;DB02_to_DK05_backward_main_01;DB02_to_DK06_forward_main_02;DK01_to_DK03_backward_backup_01;DK01_to_DK03_forward_main_02;DK02_to_DK03_backward_backup_01;DK03_to_DK04_backward_backup_01;DK03_to_DK05_backward_backup_01;DK03_to_DK06_forward_main_02,DB01_to_DB02;DB01_to_DK03;DB01_to_DK06;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06;DK01_to_DK03;DK02_to_DK03;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06,backward;forward,backup;main,NONE,NONE,0.058982,0.0,0.0,0.0,0.765231,0.234769,4,False,0,True,0.6884615384615385,3,2,3_2,area_balanced_primary,1,1,1510.0,3.775,19.0,0.49605781865965837,36,19.0,380.7886552931954,True,,0.0
IP014,3743,3743,300.0,1850.0,0.0,22,22,7,2,1,DB01_to_DK04_backward_main_01;DB02_to_DK04_backward_main_01;DK01_to_DK04_backward_main_03;DK01_to_DK04_backward_main_04;DK01_to_DK04_forward_main_01;DK01_to_DK04_forward_main_04;DK02_to_DK04_backward_main_03;DK02_to_DK04_backward_main_04;DK02_to_DK04_forward_main_01;DK02_to_DK04_forward_main_03;DK02_to_DK04_forward_main_04;DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_main_01;DK03_to_DK04_forward_main_04;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK04_to_DK05_forward_main_01;DK04_to_DK06_backward_main_03;DK04_to_DK06_backward_main_04;DK04_to_DK06_forward_main_01;DK04_to_DK06_forward_main_03;DK04_to_DK06_forward_main_04,DB01_to_DK04;DB02_to_DK04;DK01_to_DK04;DK02_to_DK04;DK03_to_DK04;DK04_to_DK05;DK04_to_DK06,backward;forward,main,NONE,NONE,0.084858,0.0,0.0,0.0,0.004184,0.995816,3,False,0,True,0.6826923076923077,0,1,0_1,area_balanced_primary,1,1,1060.0,2.65,68.0,0.34822601839684625,21,22.0,602.0797289396148,True,,0.0
IP011,5680,5680,1200.0,2800.0,0.0,19,19,12,2,2,DB01_to_DK02_backward_main_01;DB01_to_DK04_forward_main_02;DB02_to_DK02_backward_main_04;DB02_to_DK02_forward_main_01;DB02_to_DK02_forward_main_03;DB02_to_DK02_forward_main_04;DB02_to_DK04_forward_backup_02;DK01_to_DK02_backward_main_01;DK01_to_DK04_backward_main_03;DK01_to_DK04_backward_main_04;DK01_to_DK04_forward_main_04;DK02_to_DK03_backward_main_01;DK02_to_DK05_backward_main_01;DK02_to_DK06_backward_main_01;DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_main_01;DK03_to_DK04_forward_main_04;DK04_to_DK05_forward_main_03;DK05_to_DK06_forward_main_02,DB01_to_DK02;DB01_to_DK04;DB02_to_DK02;DB02_to_DK04;DK01_to_DK02;DK01_to_DK04;DK02_to_DK03;DK02_to_DK05;DK02_to_DK06;DK03_to_DK04;DK04_to_DK05;DK05_to_DK06,backward;forward,backup;main,NONE,NONE,0.080711,0.0,0.0,0.0,0.126146,0.873854,4,False,0,True,0.6741758241758242,1,2,1_2,area_balanced_primary,1,1,1451.0,3.6275,19.0,0.4766754270696452,61,19.0,100.0,True,5681,50.0
IP017,6728,6728,3100.0,3300.0,0.0,18,18,13,2,2,DB01_to_DB02_forward_backup_02;DB01_to_DK03_backward_main_01;DB01_to_DK06_backward_backup_02;DB02_to_DK01_backward_backup_01;DB02_to_DK02_backward_backup_01;DB02_to_DK03_backward_main_03;DB02_to_DK03_backward_main_04;DB02_to_DK03_forward_main_01;DB02_to_DK03_forward_main_03;DB02_to_DK03_forward_main_04;DB02_to_DK05_backward_backup_01;DB02_to_DK06_forward_main_02;DK01_to_DK03_backward_backup_01;DK01_to_DK03_forward_main_02;DK02_to_DK03_backward_backup_01;DK03_to_DK04_backward_backup_01;DK03_to_DK05_backward_backup_01;DK03_to_DK06_forward_main_02,DB01_to_DB02;DB01_to_DK03;DB01_to_DK06;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK05;DB02_to_DK06;DK01_to_DK03;DK02_to_DK03;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06,backward;forward,backup;main,NONE,NONE,0.068718,0.0,0.0,0.0,0.478869,0.521131,3,False,0,True,0.6332417582417582,3,3,3_3,area_balanced_primary,1,1,951.0,2.3775,18.0,0.3124178712220762,37,18.0,509.9019513592785,True,,0.0
IP016,6695,6695,1450.0,3300.0,0.0,18,18,9,2,2,DB01_to_DK05_backward_main_01;DB01_to_DK05_backward_main_03;DB01_to_DK05_backward_main_04;DB02_to_DK05_backward_main_03;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_main_01;DK01_to_DK05_backward_main_01;DK02_to_DK05_backward_main_01;DK03_to_DK05_backward_main_01;DK03_to_DK06_forward_backup_03;DK04_to_DK05_backward_main_01;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK04_to_DK06_backward_main_03;DK04_to_DK06_backward_main_04;DK04_to_DK06_forward_main_03;DK04_to_DK06_forward_main_04;DK05_to_DK06_backward_main_01,DB01_to_DK05;DB02_to_DK05;DK01_to_DK05;DK02_to_DK05;DK03_to_DK05;DK03_to_DK06;DK04_to_DK05;DK04_to_DK06;DK05_to_DK06,backward;forward,backup;main,NONE,NONE,0.073545,0.0,0.0,0.0,0.336926,0.663074,4,False,0,True,0.6296703296703297,1,3,1_3,area_balanced_primary,1,1,956.0,2.39,18.0,0.3140604467805519,30,18.0,100.0,True,6694,50.0
IP018,3212,3212,4050.0,1550.0,0.0,16,16,7,2,2,DB01_to_DB02_backward_backup_01;DB01_to_DB02_forward_backup_02;DB02_to_DK01_backward_backup_01;DB02_to_DK01_forward_backup_01;DB02_to_DK02_backward_backup_01;DB02_to_DK02_forward_backup_01;DB02_to_DK03_forward_backup_01;DB02_to_DK03_forward_main_03;DB02_to_DK03_forward_main_04;DB02_to_DK04_backward_backup_01;DB02_to_DK04_forward_backup_02;DB02_to_DK05_backward_backup_01;DB02_to_DK06_backward_backup_02;DB02_to_DK06_backward_main_04;DB02_to_DK06_forward_backup_02;DB02_to_DK06_forward_main_04,DB01_to_DB02;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06,backward;forward,backup;main,NONE,NONE,0.05525,0.0,0.0,0.0,0.875629,0.124371,5,False,1,True,0.5942307692307693,4,1,4_1,area_balanced_primary,1,1,595.0,1.4875,73.0,0.1954664914586071,2,16.0,300.0,True,,0.0
