area_id,area_ix,area_iy,n_model_nodes,n_candidate_pool_nodes,area_density_sum,area_density_mean,area_density_max,area_candidate_hit_max,is_active_area,area_density_norm,area_quota,minor_area_selected_count
0_0,0,0,400,0,0.0,0.0,0.0,0.0,0,0.0,0,0
0_1,0,1,400,33,1060.0,2.65,68.0,6.0,1,0.34822601839684625,1,1
0_2,0,2,400,31,520.0,1.3,15.0,5.0,1,0.17082785808147175,1,1
0_3,0,3,400,7,480.0,1.2,22.0,4.0,1,0.15768725361366623,1,1
0_4,0,4,400,8,1133.0,2.8325,73.0,5.0,1,0.37220762155059134,1,1
0_5,0,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
1_0,1,0,400,8,29.0,0.0725,3.0,3.0,1,0.009526938239159002,1,1
1_1,1,1,400,70,1059.0,2.6475,75.0,6.0,1,0.3478975032851511,1,1
1_2,1,2,400,47,1451.0,3.6275,19.0,6.0,1,0.4766754270696452,1,1
1_3,1,3,400,57,956.0,2.39,18.0,6.0,1,0.3140604467805519,1,1
1_4,1,4,400,47,2196.0,5.49,79.0,6.0,1,0.721419185282523,1,1
1_5,1,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
2_0,2,0,400,66,189.0,0.4725,3.0,3.0,1,0.06208935611038108,1,1
2_1,2,1,400,75,459.0,1.1475,10.0,6.0,1,0.15078843626806834,1,1
2_2,2,2,400,60,3044.0,7.61,36.0,6.0,1,1.0,2,2
2_3,2,3,400,77,2753.0,6.8825,86.0,6.0,1,0.9044021024967148,1,1
2_4,2,4,400,67,1702.0,4.255,42.0,6.0,1,0.5591327201051248,1,1
2_5,2,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
3_0,3,0,400,65,209.0,0.5225,3.0,3.0,1,0.06865965834428384,1,1
3_1,3,1,400,87,1206.0,3.015,16.0,6.0,1,0.3961892247043364,1,1
3_2,3,2,400,98,1510.0,3.775,19.0,6.0,1,0.49605781865965837,1,1
3_3,3,3,400,96,951.0,2.3775,18.0,6.0,1,0.3124178712220762,1,1
3_4,3,4,400,37,551.0,1.3775,74.0,6.0,1,0.18101182654402104,1,1
3_5,3,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
4_0,4,0,400,19,147.0,0.3675,3.0,2.0,1,0.04829172141918528,1,1
4_1,4,1,400,7,595.0,1.4875,73.0,6.0,1,0.1954664914586071,1,1
4_2,4,2,400,0,0.0,0.0,0.0,0.0,0,0.0,0,0
4_3,4,3,400,0,0.0,0.0,0.0,0.0,0,0.0,0,0
4_4,4,4,400,0,0.0,0.0,0.0,0.0,0,0.0,0,0
4_5,4,5,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_0,5,0,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_1,5,1,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_2,5,2,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_3,5,3,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_4,5,4,20,0,0.0,0.0,0.0,0.0,0,0.0,0,0
5_5,5,5,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0
