route_id,pair,route_key,direction,route_type,route_rank,route_length_m,n_nodes,n_clusters_touched,cluster_sequence,cluster_coverage_sequence
DB01_to_DB02_backward_backup_01,DB01_to_DB02,backward_backup_01,backward,backup,1,3807.716446627536,61,2,1;0,1:0.098;0:0.328
DB01_to_DB02_backward_backup_02,DB01_to_DB02,backward_backup_02,backward,backup,2,3937.0057685088814,64,2,1;0,1:0.094;0:0.266
DB01_to_DB02_backward_main_01,DB01_to_DB02,backward_main_01,backward,main,1,3707.7164466275353,59,2,1;0,1:0.169;0:0.407
DB01_to_DB02_backward_main_02,DB01_to_DB02,backward_main_02,backward,main,2,3766.295090390226,61,2,1;0,1:0.098;0:0.311
DB01_to_DB02_backward_main_04,DB01_to_DB02,backward_main_04,backward,main,4,3127.8174593052026,59,2,1;0,1:0.085;0:0.119
DB01_to_DB02_forward_backup_01,DB01_to_DB02,forward_backup_01,forward,backup,1,3198.5281374238575,60,2,0;1,0:0.117;1:0.100
DB01_to_DB02_forward_backup_02,DB01_to_DB02,forward_backup_02,forward,backup,2,6592.640687119286,108,2,0;1,0:0.491;1:0.056
DB01_to_DB02_forward_main_01,DB01_to_DB02,forward_main_01,forward,main,1,3127.817459305202,59,2,0;1,0:0.119;1:0.288
DB01_to_DB02_forward_main_02,DB01_to_DB02,forward_main_02,forward,main,2,6451.219330881976,106,2,0;1,0:0.547;1:0.038
DB01_to_DB02_forward_main_04,DB01_to_DB02,forward_main_04,forward,main,4,3127.817459305202,59,2,0;1,0:0.119;1:0.288
DB01_to_DK01_backward_backup_01,DB01_to_DK01,backward_backup_01,backward,backup,1,3583.452377915607,59,1,0,0:0.542
DB01_to_DK01_backward_backup_02,DB01_to_DK01,backward_backup_02,backward,backup,2,4266.2950903902265,71,1,0,0:0.282
DB01_to_DK01_backward_main_01,DB01_to_DK01,backward_main_01,backward,main,1,3583.452377915607,59,1,0,0:0.424
DB01_to_DK01_backward_main_02,DB01_to_DK01,backward_main_02,backward,main,2,3695.5844122715716,60,1,0,0:0.567
DB01_to_DK01_backward_main_03,DB01_to_DK01,backward_main_03,backward,main,3,2410.6601717798217,43,1,0,0:0.674
DB01_to_DK01_backward_main_04,DB01_to_DK01,backward_main_04,backward,main,4,2410.6601717798217,43,1,0,0:0.674
DB01_to_DK01_forward_backup_01,DB01_to_DK01,forward_backup_01,forward,backup,1,3554.163056034262,58,1,0,0:0.603
DB01_to_DK01_forward_backup_02,DB01_to_DK01,forward_backup_02,forward,backup,2,3924.8737341529163,65,1,0,0:0.385
DB01_to_DK01_forward_main_01,DB01_to_DK01,forward_main_01,forward,main,1,3454.1630560342624,56,1,0,0:0.750
DB01_to_DK01_forward_main_02,DB01_to_DK01,forward_main_02,forward,main,2,3683.452377915607,61,1,0,0:0.459
DB01_to_DK01_forward_main_04,DB01_to_DK01,forward_main_04,forward,main,4,2410.660171779821,43,1,0,0:0.674
DB01_to_DK02_backward_backup_01,DB01_to_DK02,backward_backup_01,backward,backup,1,5806.244584051394,96,1,0,0:0.458
DB01_to_DK02_backward_backup_02,DB01_to_DK02,backward_backup_02,backward,backup,2,7347.665940288703,126,1,0,0:0.206
DB01_to_DK02_backward_main_01,DB01_to_DK02,backward_main_01,backward,main,1,5552.691193458119,93,1,0,0:0.903
DB01_to_DK02_backward_main_02,DB01_to_DK02,backward_main_02,backward,main,2,6852.691193458119,119,1,0,0:0.437
DB01_to_DK02_backward_main_04,DB01_to_DK02,backward_main_04,backward,main,4,2984.9242404917495,52,1,0,0:0.558
