seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DB01_to_DB02,backward,main,2258,1800.0,1100.0,0.0,0.6414706865041525,0.085,0.6018106006716945,0.39818939932830555,0.0,0.0,0.0,0,0,1,DB02,DB
1,DB01_to_DB02,backward,main,2359,1800.0,1150.0,0.0,0.6462250672955454,0.085,0.5821566991291531,0.41784330087084687,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DB01_to_DB02,backward,main,2460,1800.0,1200.0,0.0,0.6507510918515557,0.085,0.5609491608144708,0.43905083918552923,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DB01_to_DB02,backward,main,2561,1800.0,1250.0,0.0,0.6546704994503095,0.085,0.5384069322954604,0.46159306770453956,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DB01_to_DB02,backward,main,2661,1750.0,1300.0,0.0,0.6590792666988476,0.085,0.4864101285732544,0.5135898714267456,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DB01_to_DB02,backward,main,2762,1750.0,1350.0,0.0,0.6557148252260158,0.085,0.463230156563083,0.536769843436917,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DB01_to_DB02,backward,main,2863,1750.0,1400.0,0.0,0.6475178871439563,0.085,0.4394349310658842,0.5605650689341157,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DB01_to_DB02,backward,main,2964,1750.0,1450.0,0.0,0.6324884593037576,0.085,0.4152368286818413,0.5847631713181587,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DB01_to_DB02,backward,main,3065,1750.0,1500.0,0.0,0.6071778303868466,0.085,0.3908415183796083,0.6091584816203917,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DB01_to_DB02,backward,main,3166,1750.0,1550.0,0.0,0.5666855480078514,0.085,0.3664452151507752,0.6335547848492248,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DB01_to_DB02,backward,main,3266,1700.0,1600.0,0.0,0.41188166579671026,0.085,0.3221260018134028,0.6778739981865972,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DB01_to_DB02,backward,main,3367,1700.0,1650.0,0.0,0.28044470036616986,0.085,0.29966858699034793,0.7003314130096521,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DB01_to_DB02,backward,main,3468,1700.0,1700.0,0.0,0.13308520166614385,0.085,0.27768997095378994,0.7223100290462101,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DB01_to_DB02,backward,main,3569,1700.0,1750.0,0.0,0.28075237750390175,0.085,0.256320125623012,0.743679874376988,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DB01_to_DB02,backward,main,3669,1650.0,1800.0,0.0,0.48853028264479154,0.085,0.28818846370499546,0.7118115362950046,0.0,0.0,0.0,0,0,0,NONE,NONE
15,DB01_to_DB02,backward,main,3769,1600.0,1850.0,0.0,0.4577789489189951,0.085,0.3291215561085422,0.6708784438914578,0.0,0.0,0.0,0,0,0,NONE,NONE
16,DB01_to_DB02,backward,main,3869,1550.0,1900.0,0.0,0.42513787467466946,0.085,0.3729435821753413,0.6270564178246587,0.0,0.0,0.0,0,0,0,NONE,NONE
17,DB01_to_DB02,backward,main,3969,1500.0,1950.0,0.0,0.39270019734641237,0.085,0.4193117404827775,0.5806882595172225,0.0,0.0,0.0,0,0,0,NONE,NONE
18,DB01_to_DB02,backward,main,4069,1450.0,2000.0,0.0,0.36150745011213237,0.085,0.4677760491745853,0.5322239508254147,0.0,0.0,0.0,0,0,0,NONE,NONE
19,DB01_to_DB02,backward,main,4169,1400.0,2050.0,0.0,0.3246033703409378,0.085,0.5177808866277529,0.4822191133722471,0.0,0.0,0.0,0,0,0,NONE,NONE
20,DB01_to_DB02,backward,main,4168,1350.0,2050.0,0.0,0.4105369593011926,0.085,0.5500994219006123,0.44990057809938766,0.0,0.0,0.0,0,0,0,NONE,NONE
21,DB01_to_DB02,backward,main,4268,1300.0,2100.0,0.0,0.3814865002027577,0.085,0.6018106006716945,0.39818939932830555,0.0,0.0,0.0,0,0,0,NONE,NONE
22,DB01_to_DB02,backward,main,4267,1250.0,2100.0,0.0,0.28805190526052543,0.085,0.6343984036368634,0.3656015963631366,0.0,0.0,0.0,0,0,0,NONE,NONE
23,DB01_to_DB02,backward,main,4266,1200.0,2100.0,0.0,0.17479104441544713,0.085,0.6661436107034878,0.3338563892965122,0.0,0.0,0.0,0,0,0,NONE,NONE
24,DB01_to_DB02,backward,main,4265,1150.0,2100.0,0.0,0.11967927489309513,0.085,0.6967503397493732,0.30324966025062683,0.0,0.0,0.0,0,0,0,NONE,NONE
25,DB01_to_DB02,backward,main,4163,1100.0,2050.0,0.0,0.0611246893066498,0.085,0.7022150203926532,0.29778497960734684,0.0,0.0,0.0,0,0,0,NONE,NONE
26,DB01_to_DB02,backward,main,4162,1050.0,2050.0,0.0,0.20716138826990585,0.085,0.7287633299194912,0.2712366700805088,0.0,0.0,0.0,0,0,0,NONE,NONE
27,DB01_to_DB02,backward,main,4060,1000.0,2000.0,0.0,0.16909334990418393,0.085,0.7259221509524082,0.2740778490475918,0.0,0.0,0.0,0,0,0,NONE,NONE
28,DB01_to_DB02,backward,main,3958,950.0,1950.0,0.0,0.11830447704245332,0.085,0.717464901725936,0.282535098274064,0.0,0.0,0.0,0,0,0,NONE,NONE
29,DB01_to_DB02,backward,main,3856,900.0,1900.0,0.0,0.06107801227224867,0.085,0.7035878743456275,0.29641212565437247,0.0,0.0,0.0,0,0,0,NONE,NONE
30,DB01_to_DB02,backward,main,3855,850.0,1900.0,0.0,0.20831878268127038,0.085,0.7188675697091758,0.28113243029082424,0.0,0.0,0.0,0,0,0,NONE,NONE
31,DB01_to_DB02,backward,main,3753,800.0,1850.0,0.0,0.17187381372753968,0.085,0.6967503397493732,0.30324966025062683,0.0,0.0,0.0,0,0,0,NONE,NONE
32,DB01_to_DB02,backward,main,3651,750.0,1800.0,0.0,0.12145079306376846,0.085,0.6700582534023591,0.32994174659764086,0.0,0.0,0.0,0,0,0,NONE,NONE
33,DB01_to_DB02,backward,main,3751,700.0,1850.0,0.0,0.06074870787143494,0.085,0.7132732978989903,0.2867267021010097,0.0,0.0,0.0,0,0,0,NONE,NONE
34,DB01_to_DB02,backward,main,3852,700.0,1900.0,0.0,0.05953517661750767,0.085,0.7489653936027156,0.25103460639728437,0.0,0.0,0.0,0,0,0,NONE,NONE
35,DB01_to_DB02,backward,main,3953,700.0,1950.0,0.0,0.058365166221932184,0.085,0.7833774640608182,0.2166225359391818,0.0,0.0,0.0,0,0,0,NONE,NONE
36,DB01_to_DB02,backward,main,4054,700.0,2000.0,0.0,0.05725000875724045,0.085,0.8161762130223398,0.18382378697766022,0.0,0.0,0.0,0,0,0,NONE,NONE
37,DB01_to_DB02,backward,main,4155,700.0,2050.0,0.0,0.05620087802735678,0.085,0.8470329991953891,0.1529670008046109,0.0,0.0,0.0,0,0,0,NONE,NONE
38,DB01_to_DB02,backward,main,4256,700.0,2100.0,0.0,0.05525000000000001,0.085,0.8756292572035382,0.12437074279646176,0.0,0.0,0.0,0,0,0,NONE,NONE
