seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DB01_to_DB02,forward,backup,7798,1050.0,3850.0,0.0,0.7734092366832438,0.085,0.20555713592330557,0.7944428640766944,0.0,0.0,0.0,0,0,1,DB01,DB
1,DB01_to_DB02,forward,backup,7797,1000.0,3850.0,0.0,0.7668162201090281,0.085,0.21249684771713506,0.7875031522828649,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DB01_to_DB02,forward,backup,7796,950.0,3850.0,0.0,0.757790876463314,0.085,0.21881443218138405,0.7811855678186159,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DB01_to_DB02,forward,backup,7795,900.0,3850.0,0.0,0.7446159901947252,0.085,0.22444140120559558,0.7755585987944045,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DB01_to_DB02,forward,backup,7794,850.0,3850.0,0.0,0.7245527458953679,0.085,0.22931555603746917,0.7706844439625309,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DB01_to_DB02,forward,backup,7793,800.0,3850.0,0.0,0.6933434516402175,0.085,0.23338213020998438,0.7666178697900157,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DB01_to_DB02,forward,backup,7792,750.0,3850.0,0.0,0.643068457974595,0.085,0.2365948131786499,0.7634051868213501,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DB01_to_DB02,forward,backup,7791,700.0,3850.0,0.0,0.5620291552006146,0.085,0.23891662793511667,0.7610833720648833,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DB01_to_DB02,forward,backup,7689,650.0,3800.0,0.0,0.39769313563291175,0.085,0.26653075864016634,0.7334692413598336,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DB01_to_DB02,forward,backup,7587,600.0,3750.0,0.0,0.10495187415665903,0.085,0.29502265617444284,0.7049773438255571,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DB01_to_DB02,forward,backup,7486,600.0,3700.0,0.0,0.10354156296984941,0.085,0.32465246735834974,0.6753475326416503,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DB01_to_DB02,forward,backup,7385,600.0,3650.0,0.0,0.15653740383085915,0.085,0.35586525214213843,0.6441347478578616,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DB01_to_DB02,forward,backup,7284,600.0,3600.0,0.0,0.20313915836128663,0.085,0.3885581275123641,0.6114418724876358,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DB01_to_DB02,forward,backup,7183,600.0,3550.0,0.0,0.24387429392144966,0.085,0.4226004432231888,0.5773995567768112,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DB01_to_DB02,forward,backup,7082,600.0,3500.0,0.0,0.20355359523783947,0.085,0.45783336177161427,0.5421666382283857,0.0,0.0,0.0,0,0,0,NONE,NONE
15,DB01_to_DB02,forward,backup,6981,600.0,3450.0,0.0,0.1951841115636038,0.085,0.49406997353163834,0.5059300264683617,0.0,0.0,0.0,0,0,0,NONE,NONE
16,DB01_to_DB02,forward,backup,6879,550.0,3400.0,0.0,0.12523562591515394,0.085,0.530059706503893,0.469940293496107,0.0,0.0,0.0,0,0,0,NONE,NONE
17,DB01_to_DB02,forward,backup,6878,500.0,3400.0,0.0,0.1898234031758328,0.085,0.5269629692433709,0.47303703075662906,0.0,0.0,0.0,0,0,0,NONE,NONE
18,DB01_to_DB02,forward,backup,6776,450.0,3350.0,0.0,0.0954357162551751,0.085,0.5587622272904076,0.4412377727095924,0.0,0.0,0.0,0,0,0,NONE,NONE
19,DB01_to_DB02,forward,backup,6674,400.0,3300.0,0.0,0.19443872079089145,0.085,0.5878696731223465,0.4121303268776535,0.0,0.0,0.0,0,0,0,NONE,NONE
20,DB01_to_DB02,forward,backup,6673,350.0,3300.0,0.0,0.09450831405792287,0.085,0.5776263197543172,0.4223736802456828,0.0,0.0,0.0,0,0,0,NONE,NONE
21,DB01_to_DB02,forward,backup,6572,350.0,3250.0,0.0,0.2724443428674672,0.085,0.6136802511983586,0.38631974880164144,0.0,0.0,0.0,0,0,0,NONE,NONE
22,DB01_to_DB02,forward,backup,6471,350.0,3200.0,0.0,0.39768782612596604,0.085,0.6494427282327384,0.3505572717672616,0.0,0.0,0.0,0,0,0,NONE,NONE
23,DB01_to_DB02,forward,backup,6370,350.0,3150.0,0.0,0.4664190075781634,0.085,0.6846097918258168,0.3153902081741832,0.0,0.0,0.0,0,0,0,NONE,NONE
24,DB01_to_DB02,forward,backup,6268,300.0,3100.0,0.0,0.3097239748316907,0.085,0.7035878743456275,0.29641212565437247,0.0,0.0,0.0,0,0,0,NONE,NONE
25,DB01_to_DB02,forward,backup,6167,300.0,3050.0,0.0,0.20632493616754527,0.085,0.7359150228524268,0.2640849771475732,0.0,0.0,0.0,0,0,0,NONE,NONE
26,DB01_to_DB02,forward,backup,6066,300.0,3000.0,0.0,0.05893129573359211,0.085,0.76672659607082,0.23327340392917995,0.0,0.0,0.0,0,0,0,NONE,NONE
27,DB01_to_DB02,forward,backup,5966,350.0,2950.0,0.0,0.11196432203840508,0.085,0.812994243520487,0.187005756479513,0.0,0.0,0.0,0,0,0,NONE,NONE
28,DB01_to_DB02,forward,backup,5865,350.0,2900.0,0.0,0.15817813969776254,0.085,0.8404413361000395,0.15955866389996054,0.0,0.0,0.0,0,0,0,NONE,NONE
