seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DB01_to_DB02,forward,main,7798,1050.0,3850.0,0.0,0.7734092366832438,0.085,0.20555713592330557,0.7944428640766944,0.0,0.0,0.0,0,0,1,DB01,DB
1,DB01_to_DB02,forward,main,7797,1000.0,3850.0,0.0,0.7668162201090281,0.085,0.21249684771713506,0.7875031522828649,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DB01_to_DB02,forward,main,7796,950.0,3850.0,0.0,0.757790876463314,0.085,0.21881443218138405,0.7811855678186159,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DB01_to_DB02,forward,main,7694,900.0,3800.0,0.0,0.7339056709312023,0.085,0.2489196812036605,0.7510803187963395,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DB01_to_DB02,forward,main,7592,850.0,3750.0,0.0,0.6990101246707584,0.085,0.2809632924589932,0.7190367075410068,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DB01_to_DB02,forward,main,7490,800.0,3700.0,0.0,0.6455033366919802,0.085,0.314663961018459,0.685336038981541,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DB01_to_DB02,forward,main,7388,750.0,3650.0,0.0,0.5591080213406139,0.085,0.3496644670093831,0.6503355329906169,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DB01_to_DB02,forward,main,7286,700.0,3600.0,0.0,0.4190494697489911,0.085,0.3855343441745787,0.6144656558254213,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DB01_to_DB02,forward,main,7184,650.0,3550.0,0.0,0.17638222284440483,0.085,0.4217758572543825,0.5782241427456175,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DB01_to_DB02,forward,main,7083,650.0,3500.0,0.0,0.12379141614432573,0.085,0.45694002866649747,0.5430599713335025,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DB01_to_DB02,forward,main,6981,600.0,3450.0,0.0,0.1951841115636038,0.085,0.49406997353163834,0.5059300264683617,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DB01_to_DB02,forward,main,6880,600.0,3400.0,0.0,0.19625111986484717,0.085,0.5310959910353452,0.4689040089646548,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DB01_to_DB02,forward,main,6779,600.0,3350.0,0.0,0.17618889576828212,0.085,0.568671053718672,0.431328946281328,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DB01_to_DB02,forward,main,6678,600.0,3300.0,0.0,0.10815769912564392,0.085,0.6065306597126334,0.3934693402873666,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DB01_to_DB02,forward,main,6576,550.0,3250.0,0.0,0.2399084866726725,0.085,0.6431313813711866,0.35686861862881336,0.0,0.0,0.0,0,0,0,NONE,NONE
15,DB01_to_DB02,forward,main,6475,550.0,3200.0,0.0,0.17940192292212961,0.085,0.6806101355130432,0.31938986448695683,0.0,0.0,0.0,0,0,0,NONE,NONE
16,DB01_to_DB02,forward,main,6374,550.0,3150.0,0.0,0.12940128169190143,0.085,0.717464901725936,0.282535098274064,0.0,0.0,0.0,0,0,0,NONE,NONE
17,DB01_to_DB02,forward,main,6273,550.0,3100.0,0.0,0.12679502473795798,0.085,0.7533667446967807,0.24663325530321933,0.0,0.0,0.0,0,0,0,NONE,NONE
18,DB01_to_DB02,forward,main,6171,500.0,3050.0,0.0,0.17779067532220322,0.085,0.7833774640608182,0.2166225359391818,0.0,0.0,0.0,0,0,0,NONE,NONE
19,DB01_to_DB02,forward,main,6070,500.0,3000.0,0.0,0.11486322279132333,0.085,0.8161762130223398,0.18382378697766022,0.0,0.0,0.0,0,0,0,NONE,NONE
20,DB01_to_DB02,forward,main,5969,500.0,2950.0,0.0,0.09441985868675858,0.085,0.8470329991953891,0.1529670008046109,0.0,0.0,0.0,0,0,0,NONE,NONE
21,DB01_to_DB02,forward,main,5868,500.0,2900.0,0.0,0.1482434963628165,0.085,0.8756292572035382,0.12437074279646176,0.0,0.0,0.0,0,0,0,NONE,NONE
22,DB01_to_DB02,forward,main,5766,450.0,2850.0,0.0,0.12421372092758201,0.085,0.8928994968143528,0.10710050318564723,0.0,0.0,0.0,0,0,0,NONE,NONE
23,DB01_to_DB02,forward,main,5665,450.0,2800.0,0.0,0.05525000000000001,0.085,0.9158610435469906,0.0841389564530094,0.0,0.0,0.0,0,0,0,NONE,NONE
24,DB01_to_DB02,forward,main,5564,450.0,2750.0,0.0,0.1581182678885734,0.085,0.9357506383666208,0.06424936163337924,0.0,0.0,0.0,0,0,0,NONE,NONE
25,DB01_to_DB02,forward,main,5464,500.0,2700.0,0.0,0.10330662953796996,0.085,0.9616906016054253,0.0383093983945747,0.0,0.0,0.0,0,0,0,NONE,NONE
