seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DB01_to_DK01,forward,main,7798,1050.0,3850.0,0.0,0.7734092366832438,0.085,0.20555713592330557,0.7944428640766944,0.0,0.0,0.0,0,0,1,DB01,DB
1,DB01_to_DK01,forward,main,7900,1100.0,3900.0,0.0,0.781837684624796,0.085,0.17789487376266921,0.8221051262373308,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DB01_to_DK01,forward,main,8002,1150.0,3950.0,0.0,0.778008764936459,0.085,0.17789487376266921,0.8221051262373308,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DB01_to_DK01,forward,main,8104,1200.0,4000.0,0.0,0.7696748050795583,0.085,0.19010927320679125,0.8098907267932087,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DB01_to_DK01,forward,main,8105,1250.0,4000.0,0.0,0.7658767666844769,0.085,0.21084318412869668,0.7891568158713034,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DB01_to_DK01,forward,main,8005,1300.0,3950.0,0.0,0.7521581290215509,0.085,0.2426790173683525,0.7573209826316475,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DB01_to_DK01,forward,main,8006,1350.0,3950.0,0.0,0.7353279965582935,0.085,0.26705183522634335,0.7329481647736567,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DB01_to_DK01,forward,main,7906,1400.0,3900.0,0.0,0.7012091313812484,0.085,0.30379375357787425,0.6962062464221257,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DB01_to_DK01,forward,main,7907,1450.0,3900.0,0.0,0.6663076300877845,0.085,0.33170288846583895,0.668297111534161,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DB01_to_DK01,forward,main,7807,1500.0,3850.0,0.0,0.5892868520292446,0.085,0.3729435821753413,0.6270564178246587,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DB01_to_DK01,forward,main,7808,1550.0,3850.0,0.0,0.5029513781592196,0.085,0.4040365236633421,0.5959634763366579,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DB01_to_DK01,forward,main,7809,1600.0,3850.0,0.0,0.39034282494632344,0.085,0.4360152213017239,0.5639847786982761,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DB01_to_DK01,forward,main,7709,1650.0,3800.0,0.0,0.06859075493265696,0.085,0.4826248549218544,0.5173751450781456,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DB01_to_DK01,forward,main,7710,1700.0,3800.0,0.0,0.17048618001229557,0.085,0.5167705827795767,0.48322941722042334,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DB01_to_DK01,forward,main,7711,1750.0,3800.0,0.0,0.25160014550629095,0.085,0.5511748847488194,0.44882511525118063,0.0,0.0,0.0,0,0,0,NONE,NONE
15,DB01_to_DK01,forward,main,7611,1800.0,3750.0,0.0,0.10849439136964623,0.085,0.6006363364579423,0.39936366354205766,0.0,0.0,0.0,0,0,0,NONE,NONE
16,DB01_to_DK01,forward,main,7612,1850.0,3750.0,0.0,0.1904153322263912,0.085,0.635638673826052,0.364361326173948,0.0,0.0,0.0,0,0,0,NONE,NONE
17,DB01_to_DK01,forward,main,7512,1900.0,3700.0,0.0,0.12383811866025372,0.085,0.6846097918258168,0.3153902081741832,0.0,0.0,0.0,0,0,0,NONE,NONE
18,DB01_to_DK01,forward,main,7513,1950.0,3700.0,0.0,0.1398114536215676,0.085,0.7188675697091758,0.28113243029082424,0.0,0.0,0.0,0,0,0,NONE,NONE
19,DB01_to_DK01,forward,main,7514,2000.0,3700.0,0.0,0.20724683310462325,0.085,0.7518967612715286,0.2481032387284714,0.0,0.0,0.0,0,0,0,NONE,NONE
20,DB01_to_DK01,forward,main,7414,2050.0,3650.0,0.0,0.11615295672678012,0.085,0.7972695114113244,0.2027304885886756,0.0,0.0,0.0,0,0,0,NONE,NONE
21,DB01_to_DK01,forward,main,7415,2100.0,3650.0,0.0,0.16434042964201262,0.085,0.8274115009025538,0.17258849909744622,0.0,0.0,0.0,0,0,0,NONE,NONE
22,DB01_to_DK01,forward,main,7315,2150.0,3600.0,0.0,0.0932724712074757,0.085,0.8671198079109533,0.13288019208904667,0.0,0.0,0.0,0,0,0,NONE,NONE
23,DB01_to_DK01,forward,main,7316,2200.0,3600.0,0.0,0.11796518506308276,0.085,0.8928994968143528,0.10710050318564723,0.0,0.0,0.0,0,0,0,NONE,NONE
24,DB01_to_DK01,forward,main,7216,2250.0,3550.0,0.0,0.13969137413676702,0.085,0.9248488132162048,0.07515118678379518,0.0,0.0,0.0,0,0,0,NONE,NONE
25,DB01_to_DK01,forward,main,7116,2300.0,3500.0,0.0,0.05525000000000001,0.085,0.9504865667294234,0.04951343327057656,0.0,0.0,0.0,0,0,0,NONE,NONE
26,DB01_to_DK01,forward,main,7015,2300.0,3450.0,0.0,0.05525000000000001,0.085,0.9523447998951764,0.0476552001048236,0.0,0.0,0.0,0,0,0,NONE,NONE
27,DB01_to_DK01,forward,main,6914,2300.0,3400.0,0.0,0.05525000000000001,0.085,0.9504865667294234,0.04951343327057656,0.0,0.0,0.0,0,0,0,NONE,NONE
