seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DK02_to_DK06,backward,main,2496,3600.0,1200.0,0.0,0.7180171365454667,0.085,0.31961919737930994,0.6803808026206901,0.0,0.0,0.0,0,0,1,DK06,DK
1,DK02_to_DK06,backward,main,2597,3600.0,1250.0,0.0,0.7093360218328937,0.085,0.30677502273801827,0.6932249772619817,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DK02_to_DK06,backward,main,2698,3600.0,1300.0,0.0,0.694850383520434,0.085,0.29329906232102687,0.7067009376789731,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DK02_to_DK06,backward,main,2799,3600.0,1350.0,0.0,0.6735734033729657,0.085,0.2793218368155612,0.7206781631844388,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DK02_to_DK06,backward,main,2901,3650.0,1400.0,0.0,0.5995586272993855,0.085,0.2426790173683525,0.7573209826316475,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DK02_to_DK06,backward,main,3002,3650.0,1450.0,0.0,0.5410995574380443,0.085,0.2450605392455259,0.7549394607544742,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DK02_to_DK06,backward,main,3103,3650.0,1500.0,0.0,0.5074800092341212,0.085,0.2686211852886895,0.7313788147113105,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DK02_to_DK06,backward,main,3204,3650.0,1550.0,0.0,0.5295241497865745,0.085,0.29329906232102687,0.7067009376789731,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DK02_to_DK06,backward,main,3305,3650.0,1600.0,0.0,0.5792884769244231,0.085,0.31899555036296995,0.68100444963703,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DK02_to_DK06,backward,main,3406,3650.0,1650.0,0.0,0.6238280300338944,0.085,0.3455907525769745,0.6544092474230254,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DK02_to_DK06,backward,main,3508,3700.0,1700.0,0.0,0.6457213951695837,0.085,0.35517088113896567,0.6448291188610343,0.0,0.0,0.0,0,0,0,NONE,NONE
11,DK02_to_DK06,backward,main,3609,3700.0,1750.0,0.0,0.6695569445743637,0.085,0.3817876843578648,0.6182123156421352,0.0,0.0,0.0,0,0,0,NONE,NONE
12,DK02_to_DK06,backward,main,3710,3700.0,1800.0,0.0,0.6804406283397348,0.085,0.4087991783506979,0.5912008216493021,0.0,0.0,0.0,0,0,0,NONE,NONE
13,DK02_to_DK06,backward,main,3811,3700.0,1850.0,0.0,0.6833485860202277,0.085,0.4360152213017239,0.5639847786982761,0.0,0.0,0.0,0,0,0,NONE,NONE
14,DK02_to_DK06,backward,main,3912,3700.0,1900.0,0.0,0.6814363661574564,0.085,0.463230156563083,0.536769843436917,0.0,0.0,0.0,0,0,0,NONE,NONE
15,DK02_to_DK06,backward,main,4013,3700.0,1950.0,0.0,0.6766781331779792,0.085,0.4902250904938553,0.5097749095061447,0.0,0.0,0.0,0,0,0,NONE,NONE
16,DK02_to_DK06,backward,main,4115,3750.0,2000.0,0.0,0.6791796916450638,0.085,0.4902250904938553,0.5097749095061447,0.0,0.0,0.0,0,0,0,NONE,NONE
17,DK02_to_DK06,backward,main,4216,3750.0,2050.0,0.0,0.6725003479113809,0.085,0.514755885208607,0.48524411479139296,0.0,0.0,0.0,0,0,0,NONE,NONE
18,DK02_to_DK06,backward,main,4317,3750.0,2100.0,0.0,0.6651797476574826,0.085,0.5384069322954604,0.46159306770453956,0.0,0.0,0.0,0,0,0,NONE,NONE
19,DK02_to_DK06,backward,main,4418,3750.0,2150.0,0.0,0.6570614847884161,0.085,0.5609491608144708,0.43905083918552923,0.0,0.0,0.0,0,0,1,DK02,DK
