seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DK03_to_DK04,forward,main,2546,1050.0,1250.0,0.0,0.7597344308205574,0.085,0.25185386763737894,0.7481461323626211,0.0,0.0,0.0,0,0,1,DK03,DK
1,DK03_to_DK04,forward,main,2545,1000.0,1250.0,0.0,0.7553505006150654,0.085,0.2603565802662259,0.7396434197337741,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DK03_to_DK04,forward,main,2544,950.0,1250.0,0.0,0.7510456002221888,0.085,0.2680970465570219,0.7319029534429782,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DK03_to_DK04,forward,main,2543,900.0,1250.0,0.0,0.7470024437162337,0.085,0.27499135312272616,0.7250086468772738,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DK03_to_DK04,forward,main,2542,850.0,1250.0,0.0,0.7434762486313873,0.085,0.2809632924589932,0.7190367075410068,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DK03_to_DK04,forward,main,2642,800.0,1300.0,0.0,0.7342430726004785,0.085,0.314663961018459,0.685336038981541,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DK03_to_DK04,forward,main,2742,750.0,1350.0,0.0,0.7138952112946115,0.085,0.3496644670093831,0.6503355329906169,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DK03_to_DK04,forward,main,2842,700.0,1400.0,0.0,0.6852359719675937,0.085,0.3855343441745787,0.6144656558254213,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DK03_to_DK04,forward,main,2942,650.0,1450.0,0.0,0.6404150121794575,0.085,0.4217758572543825,0.5782241427456175,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DK03_to_DK04,forward,main,3042,600.0,1500.0,0.0,0.5648309330853714,0.085,0.45783336177161427,0.5421666382283857,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DK03_to_DK04,forward,main,3142,550.0,1550.0,0.0,0.4291123251019846,0.085,0.49310593486505433,0.5068940651349456,0.0,0.0,0.0,0,0,0,NONE,NONE
