route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DB02_to_DK02_backward,0,0,,,
DB02_to_DK02_backward,1,0,,,
DB02_to_DK02_backward,2,0,,,
DB02_to_DK02_backward,3,0,,,
DB02_to_DK02_backward,4,0,,,
DB02_to_DK02_backward,5,0,,,
DB02_to_DK02_backward,6,0,,,
DB02_to_DK02_backward,7,0,,,
DB02_to_DK02_backward,8,0,,,
DB02_to_DK02_backward,9,0,,,
DB02_to_DK02_backward,10,0,,,
DB02_to_DK02_backward,11,0,,,
DB02_to_DK02_backward,12,0,,,
DB02_to_DK02_backward,13,0,,,
DB02_to_DK02_backward,14,0,,,
DB02_to_DK02_backward,15,0,,,
DB02_to_DK02_backward,16,0,,,
DB02_to_DK02_backward,17,0,,,
DB02_to_DK02_backward,18,0,,,
DB02_to_DK02_backward,19,0,,,
DB02_to_DK02_backward,20,0,,,
DB02_to_DK02_backward,21,0,,,
DB02_to_DK02_backward,22,0,,,
DB02_to_DK02_backward,23,0,,,
DB02_to_DK02_backward,24,0,,,
DB02_to_DK02_backward,25,0,,,
DB02_to_DK02_backward,26,0,,,
DB02_to_DK02_backward,27,0,,,
DB02_to_DK02_backward,28,0,,,
DB02_to_DK02_backward,29,0,,,
