route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DB02_to_DK05_backward,0,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,1,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,2,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,3,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,4,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,5,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,6,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,7,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,8,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,9,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,10,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,11,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,12,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,13,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,14,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,15,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,16,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,17,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,18,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,19,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,20,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,21,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,22,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,23,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,24,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,25,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,26,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,27,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,28,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
DB02_to_DK05_backward,29,250,55.649555466438215,12042.51263003508,2711;3996;2956;3058;4103;7231;7208;8533;6708;8127;9105;9104
