route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DK01_to_DB02_forward,0,200,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,1,249,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,2,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,3,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,4,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,5,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,6,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,7,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,8,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,9,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,10,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,11,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,12,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,13,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,14,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,15,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,16,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,17,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,18,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,19,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,20,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,21,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,22,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,23,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,24,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,25,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,26,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,27,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,28,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
DK01_to_DB02_forward,29,250,51.534452298389944,10017.891780251268,7213;6728;4805;3615;4494;3996;2956;4103;2711
