route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DK02_to_DB01_forward,0,0,,,
DK02_to_DB01_forward,1,0,,,
DK02_to_DB01_forward,2,0,,,
DK02_to_DB01_forward,3,0,,,
DK02_to_DB01_forward,4,0,,,
DK02_to_DB01_forward,5,0,,,
DK02_to_DB01_forward,6,0,,,
DK02_to_DB01_forward,7,0,,,
DK02_to_DB01_forward,8,0,,,
DK02_to_DB01_forward,9,0,,,
DK02_to_DB01_forward,10,0,,,
DK02_to_DB01_forward,11,0,,,
DK02_to_DB01_forward,12,0,,,
DK02_to_DB01_forward,13,0,,,
DK02_to_DB01_forward,14,0,,,
DK02_to_DB01_forward,15,0,,,
DK02_to_DB01_forward,16,0,,,
DK02_to_DB01_forward,17,0,,,
DK02_to_DB01_forward,18,0,,,
DK02_to_DB01_forward,19,0,,,
DK02_to_DB01_forward,20,0,,,
DK02_to_DB01_forward,21,0,,,
DK02_to_DB01_forward,22,0,,,
DK02_to_DB01_forward,23,0,,,
DK02_to_DB01_forward,24,0,,,
DK02_to_DB01_forward,25,0,,,
DK02_to_DB01_forward,26,0,,,
DK02_to_DB01_forward,27,0,,,
DK02_to_DB01_forward,28,0,,,
DK02_to_DB01_forward,29,0,,,
