route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,0,21,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,1,49,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,2,59,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,3,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,4,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,5,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,6,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,7,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,8,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,9,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,10,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,11,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,12,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,13,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,14,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,15,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,16,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,17,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,18,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,19,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
DK03_to_DB01_forward_to_FLZ04_FLZ_branch,20,60,17.05991449660392,4684.65688351081,4103;3204;3996;5615;3406;4805
