route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,0,18,35.03644500397363,22919.466562326288,4103;3008;6728;7214;7213;5615;8719;8722;8425;8533;9104;9105;8141;9253;9151;6291;5292;4479;8943;6708;7231;3996;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,1,22,26.424827159032382,16180.390567841343,4103;7231;6708;3476;3615;5615;8719;8722;8425;8533;7214;7213;8026;6728;3008;3204;3996;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,2,32,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,3,32,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,4,44,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,5,49,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,6,51,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,7,59,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,8,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,9,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,10,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,11,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,12,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,13,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,14,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,15,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,16,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,17,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,18,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,19,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,20,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,21,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,22,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,23,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,24,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,25,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,26,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,27,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
TA011_MAJ006_DK06_to_DB01_to_FLZ04_FLZ_branch,28,60,25.899324704289057,15818.322987267362,4103;7231;6708;6728;8026;7213;7214;8533;8425;8722;8719;9312;8141;9253;9151;8943;5693;1955;4805
