edge_id,u,v,u_name,v_name,u_role,v_role,x1,y1,x2,y2,distance_m,nofly_clearance_m,route_hit_density,nearest_flz_distance_m,emergency_support,is_tn_edge,is_flz_edge,u_is_outer_zone,v_is_outer_zone,is_outer_zone_edge,edge_cost,aco_initial_desirability,edge_cost_distance_component,edge_cost_density_component,edge_cost_clearance_risk_component,edge_cost_outer_zone_component
0,2956,4805,DB01,FLZ04,DB,FLZ,1350.0,1450.0,2900.0,2350.0,1792.3448328934921,82.64764192673242,12.594594594594595,0.0,1.0,0,1,False,False,0,7.61088995408658,0.1313906791495601,0.8046698756129465,0.5797281746648837,0.8622539301221126,0.0
1,2956,4494,DB01,MAJ003,DB,TN_major,1350.0,1450.0,2500.0,2200.0,1372.953021774598,100.0,12.172413793103448,427.20018726587654,0.8671198079109533,1,0,False,False,0,1.8119639663275346,0.5518873545961221,0.6163847028645043,0.5602952263799057,0.8333333333333334,0.0
2,2956,4479,DB01,MAJ011,DB,TN_major,1350.0,1450.0,1750.0,2200.0,850.0,88.28430011649193,12.055555555555555,1159.7413504743201,0.34966446700938314,1,0,False,False,0,2.034212594517714,0.49159070329966537,0.38160591740978256,0.554916251118783,0.8528594998058467,0.0
3,2956,3058,DB01,MAJ015,DB,TN_major,1350.0,1450.0,1400.0,1500.0,70.71067811865476,100.0,66.0,1724.0939649566667,0.09805118654354501,1,0,False,False,0,0.811498729534718,1.2322878195673348,0.0317454272872201,3.0379746835443044,0.8333333333333334,0.0
4,2956,3996,DB01,MAJ022,DB,TN_major,1350.0,1450.0,2850.0,1950.0,1581.1388300841897,100.0,5.242424242424242,403.11288741492746,0.880774957955678,1,0,False,False,0,1.987995979456927,0.503019125960796,0.7098493338900089,0.24130836558914814,0.8333333333333334,0.0
5,2956,5292,DB01,MIN001,DB,TN_minor,1350.0,1450.0,2000.0,2600.0,1320.9844813622906,100.0,10.214285714285714,934.0770846134702,0.5057865053076862,1,0,False,False,0,2.0318640616323913,0.4921589090938515,0.5930535234051091,0.4701627486437614,0.8333333333333334,0.0
6,2956,5701,DB01,MIN002,DB,TN_minor,1350.0,1450.0,2250.0,2800.0,1622.4980739587952,100.0,11.5,790.5694150420949,0.6136802511983585,1,0,False,False,0,1.9821675176892086,0.5044982278620881,0.7284174894219427,0.5293440736478713,0.8333333333333334,0.0
7,2956,4103,DB01,MIN006,DB,TN_minor,1350.0,1450.0,3150.0,2000.0,1882.1530224718713,100.0,5.102564102564102,407.94778941914467,0.8780807511454075,1,0,False,False,0,2.0263468986536366,0.49349891702374793,0.8449890951129101,0.2348706146174501,0.8333333333333334,0.0
8,2956,3865,DB01,MIN011,DB,TN_minor,1350.0,1450.0,1350.0,1900.0,450.0,100.0,12.3,1614.0012391568973,0.13066006527377144,1,0,False,False,0,2.07366793605649,0.4822372871819138,0.20202666215812018,0.5661680092059841,0.8333333333333334,0.0
9,2956,6073,DB01,MIN017,DB,TN_minor,1350.0,1450.0,650.0,3000.0,1700.735135169495,91.43973146174442,4.0,1783.093505394373,0.08341527872411353,1,0,False,True,1,2.4429604118262205,0.40933942079415686,0.7635418723851831,0.1841196777905639,0.8476004475637593,1.0
