node_id,model_row,name,role,label,label_prefix,x,y,x_m,y_m,route_hit_count,nofly,ra,is_outer_zone_node,outer_boundary_distance_m,outer_radial_score
2956,2956,DB01,DB,DB01,DB,1350.0,1450.0,1350.0,1450.0,75.0,False,False,False,1350.0,0.5463163355250679
2711,2711,DB02,DB,DB02,DB,4250.0,1300.0,4250.0,1300.0,73.0,False,False,False,750.0,0.7444151033891281
7213,7213,DK01,DK,DK01,DK,2100.0,3550.0,2100.0,3550.0,86.0,False,False,False,1450.0,0.3941885530867371
8086,8086,DK02,DK,DK02,DK,300.0,4000.0,300.0,4000.0,66.0,False,False,False,300.0,0.9341388465401621
9253,9253,DK03,DK,DK03,DK,3100.0,4550.0,3100.0,4550.0,74.0,False,False,False,450.0,0.7493587001820033
2329,2329,DK04,DK,DK04,DK,300.0,1150.0,300.0,1150.0,68.0,False,False,False,300.0,0.9055385138137417
9104,9104,DK05,DK,DK05,DK,700.0,4500.0,700.0,4500.0,73.0,False,False,False,500.0,0.9439687087382309
8719,8719,DK06,DK,DK06,DK,1650.0,4300.0,1650.0,4300.0,79.0,False,False,False,700.0,0.6983497030086772
3406,3406,FLZ01,FLZ,FLZ01,FLZ,3650.0,1650.0,3650.0,1650.0,10.0,False,False,False,1350.0,0.5016894534393839
590,590,FLZ02,FLZ,FLZ02,FLZ,4250.0,250.0,4250.0,250.0,3.0,False,False,False,250.0,1.0
8127,8127,FLZ03,FLZ,FLZ03,FLZ,2350.0,4000.0,2350.0,4000.0,42.0,False,False,False,1000.0,0.5288594403925372
4805,4805,FLZ04,FLZ,FLZ04,FLZ,2900.0,2350.0,2900.0,2350.0,36.0,False,False,False,2100.0,0.14987174003640066
4893,4893,MAJ002,TN_major,NONE,NONE,2250.0,2400.0,2250.0,2400.0,26.0,False,False,False,2250.0,0.09446203958774615
4494,4494,MAJ003,TN_major,NONE,NONE,2500.0,2200.0,2500.0,2200.0,26.0,False,False,False,2200.0,0.10524696231684351
8026,8026,MAJ004,TN_major,NONE,NONE,2350.0,3950.0,2350.0,3950.0,36.0,False,False,False,1050.0,0.5114083119567588
7214,7214,MAJ005,TN_major,NONE,NONE,2150.0,3550.0,2150.0,3550.0,28.0,False,False,False,1450.0,0.3882901373576603
8413,8413,MAJ006,TN_major,NONE,NONE,1500.0,4150.0,1500.0,4150.0,22.0,False,False,False,850.0,0.6768706273386711
8722,8722,MAJ007,TN_major,NONE,NONE,1800.0,4300.0,1800.0,4300.0,25.0,False,False,True,700.0,0.6775521552448365
