route_key,direction,dk_name,db_name,success,message,path_node_ids,path_node_names,path_node_roles,tn_nodes,flz_nodes_on_route,n_nodes,n_edges,n_tn_nodes,n_flz_nodes_on_route,outer_zone_nodes_on_route,n_outer_zone_nodes,total_cost,total_distance_m,min_nofly_clearance_m,nearest_flz_distance_m,flz_buffer_required,flz_buffer_ok,flz_buffer_min_distance_m,flz_buffer_forced,flz_buffer_forced_ok,flz_buffer_via,tn_hard_required,tn_hard_ok,tn_hard_count,tn_hard_forced,tn_hard_forced_ok,tn_hard_via,hard_requirement_message
DK01_to_DB01_forward_forced,forward,DK01,DB01,True,Path found by ACO through an outer-zone waypoint. Forced via TN=- FLZ=FLZ04.,7213;7214;3476;3058;2956;4805;3615;4494;3996;2956,DK01;MAJ005;MIN018;MAJ015;DB01;FLZ04;MIN014;MAJ003;MAJ022;DB01,DK;TN_major;TN_minor;TN_major;DB;FLZ;TN_minor;TN_major;TN_major;DB,MAJ005;MIN018;MAJ015;MIN014;MAJ003;MAJ022,FLZ04,10,9,6,1,,0,23.08163846112364,9322.039530659444,82.64764192673242,0.0,True,True,0.0,True,True,FLZ04,True,True,6.0,False,,,Forced via TN=- FLZ=FLZ04.
DB01_to_DK01_backward,backward,DK01,DB01,True,Path found by ACO.,2956;3996;4494;3615;4805;6728;7213,DB01;MAJ022;MAJ003;MIN014;FLZ04;MAJ017;DK01,DB;TN_major;TN_major;TN_minor;FLZ;TN_major;DK,MAJ022;MAJ003;MIN014;MAJ017,FLZ04,7,6,4,1,,0,42.43796708778448,6831.898276738865,100.0,0.0,True,True,0.0,False,,,True,True,4.0,False,,,
DK01_to_DB01_outer_backup,outer_backup,DK01,DB01,True,Path found by ACO through an outer-zone waypoint.,7213;9151;9253;8722;8026;8943;9105;9253;9151;7214;7213;8943;4103;3865;4046;2329;2431;4354;2739;6073;2956,DK01;MAJ019;DK03;MAJ007;MAJ004;MAJ009;MAJ013;DK03;MAJ019;MAJ005;DK01;MAJ009;MIN006;MIN011;MAJ020;DK04;MAJ014;MIN016;MIN010;MIN017;DB01,DK;TN_major;DK;TN_major;TN_major;TN_major;TN_major;DK;TN_major;TN_major;DK;TN_major;TN_minor;TN_minor;TN_major;DK;TN_major;TN_minor;TN_minor;TN_minor;DB,MAJ019;MAJ007;MAJ004;MAJ009;MAJ013;MAJ019;MAJ005;MAJ009;MIN006;MIN011;MAJ020;MAJ014;MIN016;MIN010;MIN017,,21,20,15,0,MAJ019;MAJ007;MAJ009;MAJ013;MAJ019;MAJ009;MAJ020;MAJ014;MIN016;MIN010;MIN017,11,42.352459045110145,22179.667083968834,91.43973146174442,34.401045807689165,True,True,34.401045807689165,False,,,True,True,15.0,False,,,
DK01_to_DB02_forward,forward,DK01,DB02,True,Path found by ACO.,7213;6728;4805;3615;4494;3996;2956;4103;2711,DK01;MAJ017;FLZ04;MIN014;MAJ003;MAJ022;DB01;MIN006;DB02,DK;TN_major;FLZ;TN_minor;TN_major;TN_major;DB;TN_minor;DB,MAJ017;MIN014;MAJ003;MAJ022;MIN006,FLZ04,9,8,5,1,,0,51.534452298389944,10017.891780251268,100.0,0.0,True,True,0.0,False,,,True,True,5.0,False,,,
DB02_to_DK01_backward,backward,DK01,DB02,True,Path found by ACO.,2711;3008;4479;3058;2956;3996;4494;3615;4805;6728;7213,DB02;MIN008;MAJ011;MAJ015;DB01;MAJ022;MAJ003;MIN014;FLZ04;MAJ017;DK01,DB;TN_minor;TN_major;TN_major;DB;TN_major;TN_major;TN_minor;FLZ;TN_major;DK,MIN008;MAJ011;MAJ015;MAJ022;MAJ003;MIN014;MAJ017,FLZ04,11,10,7,1,,0,55.1283817575147,10344.970803441309,89.54092988684002,0.0,True,True,0.0,False,,,True,True,7.0,False,,,
DK01_to_DB02_outer_backup,outer_backup,DK01,DB02,True,Path found by ACO through an outer-zone waypoint.,7213;7214;9151;7214;7213;8722;8719;9312;8141;5615;3204;2811;2711,DK01;MAJ005;MAJ019;MAJ005;DK01;MAJ007;DK06;MIN004;MIN015;MAJ010;MAJ012;MAJ018;DB02,DK;TN_major;TN_major;TN_major;DK;TN_major;DK;TN_minor;TN_minor;TN_major;TN_major;TN_major;DB,MAJ005;MAJ019;MAJ005;MAJ007;MIN004;MIN015;MAJ010;MAJ012;MAJ018,,13,12,9,0,MAJ019;MAJ007;MIN004,3,53.441207866464126,9798.59685659379,130.21143306575672,48.57668038834054,True,True,48.57668038834054,False,,,True,True,9.0,False,,,
DK02_to_DB01_forward,forward,DK02,DB01,False,No ACO/Dijkstra path found.,,,,,,0,0,0,0,,0,inf,inf,,,True,True,,False,,,True,True,0.0,False,,,
DB01_to_DK02_backward,backward,DK02,DB01,False,No ACO/Dijkstra path found.,,,,,,0,0,0,0,,0,inf,inf,,,True,True,,False,,,True,True,0.0,False,,,
DK02_to_DB01_outer_backup,outer_backup,DK02,DB01,False,No ACO/Dijkstra path found.,,,,,,0,0,0,0,,0,inf,inf,,,True,True,,False,,,True,True,0.0,False,,,
DK02_to_DB02_forward,forward,DK02,DB02,False,No ACO/Dijkstra path found.,,,,,,0,0,0,0,,0,inf,inf,,,True,True,,False,,,True,True,0.0,False,,,
