iteration,best_fitness,mean_particle_best_fitness,best_aco_alpha,best_aco_beta,best_aco_evaporation,best_aco_pheromone_q,best_distance_weight,best_density_weight,best_clearance_weight,best_emergency_weight,best_tn_bonus,best_flz_penalty
0,-19992252.284422874,-19992690.081948105,1.7133545162067367,5.088433596417522,0.47924831359145487,2.594950546638458,0.30018912443383305,0.8026731660785831,1.3123091982641077,1.509061980385973,3.2355643849865334,2.890035533729196
1,-19992107.06569365,-19992401.72108813,1.0649855313933374,5.352985245376846,0.38508740908094286,2.8401123003907727,0.3646307925554376,0.5401363761528374,1.1713227985935686,1.4847511281116743,3.3704119646616073,2.1413047710723307
2,-19992032.95909955,-19992158.05301674,1.4278305549725665,4.289259756719746,0.3141913480131282,3.0,0.2808490656068068,0.5,1.0,0.5,3.117504020517395,1.522733021300302
3,-19992032.95909955,-19992106.547553018,1.4278305549725665,4.289259756719746,0.3141913480131282,3.0,0.2808490656068068,0.5,1.0,0.5,3.117504020517395,1.522733021300302
4,-19992032.95909955,-19992088.854987025,1.4278305549725665,4.289259756719746,0.3141913480131282,3.0,0.2808490656068068,0.5,1.0,0.5,3.117504020517395,1.522733021300302
5,-19992029.04693417,-19992078.04315626,1.6052164085435572,4.5422704709008626,0.3045442410070667,2.7450317088576828,0.25,0.5,1.0,0.556643358088358,3.8974990648129593,2.4625034589163204
6,-19992029.04693417,-19992073.854271635,1.6052164085435572,4.5422704709008626,0.3045442410070667,2.7450317088576828,0.25,0.5,1.0,0.556643358088358,3.8974990648129593,2.4625034589163204
7,-19992028.721145786,-19992064.669583127,1.521722640973304,5.235459265759175,0.6,1.8974705633626059,0.25,0.5,1.0,0.5427705056861918,3.4455758525155917,3.95519548798367
8,-19992028.02121093,-19992059.59823967,1.8,4.05923824086617,0.5559638534989874,2.318404506048958,0.25,0.5,1.0,0.5129655966793393,3.2912743169076313,4.0
9,-19992028.02121093,-19992054.522393603,1.8,4.05923824086617,0.5559638534989874,2.318404506048958,0.25,0.5,1.0,0.5129655966793393,3.2912743169076313,4.0
10,-19992027.716728445,-19992048.068418734,1.8,3.5334551694944536,0.6,2.635348202613581,0.25,0.5,1.0,0.5,2.3756911015524302,3.4233995664177375
11,-19992027.716728445,-19992044.600696113,1.8,3.5334551694944536,0.6,2.635348202613581,0.25,0.5,1.0,0.5,2.3756911015524302,3.4233995664177375
12,-19992027.716728445,-19992043.557936322,1.8,3.5334551694944536,0.6,2.635348202613581,0.25,0.5,1.0,0.5,2.3756911015524302,3.4233995664177375
13,-19992027.716728445,-19992041.15553171,1.8,3.5334551694944536,0.6,2.635348202613581,0.25,0.5,1.0,0.5,2.3756911015524302,3.4233995664177375
14,-19992027.716728445,-19992039.759777132,1.8,3.5334551694944536,0.6,2.635348202613581,0.25,0.5,1.0,0.5,2.3756911015524302,3.4233995664177375
