net_node,net_id,kind,label_prefix,model_idx,x,y,x_orig,y_orig,node_shift_m,gap_to_network_m
0,DK04,objective,DK,2329,300.0,1150.0,300.0,1150.0,0.0,
1,DB02,objective,DB,2711,4224.47792981109,1315.7630932901477,4250.0,1300.0,29.997519510812214,
2,DB01,objective,DB,2956,1370.4386539535965,1471.934917957758,1350.0,1450.0,29.981314201489553,
3,DK01,objective,DK,7213,2100.0,3550.0,2100.0,3550.0,0.0,
4,DK02,objective,DK,8086,276.5605724709622,4018.7025510979274,300.0,4000.0,29.986533318468165,
5,DK06,objective,DK,8719,1622.748278782983,4312.503383347451,1650.0,4300.0,29.98317702351303,
6,DK05,objective,DK,9104,674.391547132067,4515.577467414191,700.0,4500.0,29.974161361568335,
7,DK03,objective,DK,9253,3100.0,4550.0,3100.0,4550.0,0.0,
8,MIN014,tn_minor,TN,477,3645.0127065008464,199.64376475006046,3650.0,200.0,4.999999999999891,
9,MIN016,tn_minor,TN,1197,4314.92555785315,551.492555785315,4300.0,550.0,15.000000000000325,
10,MIN015,tn_minor,TN,1555,1972.051096720815,739.1904036834876,2000.0,750.0,29.966457365447784,
11,MIN017,tn_minor,TN,1955,1800.0,950.0,1800.0,950.0,0.0,
12,MIN009,tn_minor,TN,2739,579.9646847460506,1372.2727647996858,600.0,1350.0,29.95813594246578,
13,MAJ010,tn_major,TN,3212,4055.6301874757746,1553.0007593577566,4050.0,1550.0,6.3799347751785875,
14,MIN003,tn_minor,TN,3476,2100.0,1700.0,2100.0,1700.0,0.0,
15,MIN002,tn_minor,TN,3499,3245.726781559671,1729.68885967577,3250.0,1700.0,29.99481262962519,
16,MIN006,tn_minor,TN,3715,3935.2010591871385,1785.5242167915449,3950.0,1800.0,20.70161705473195,
17,MAJ006,tn_major,TN,3743,300.0,1850.0,300.0,1850.0,0.0,
18,MIN005,tn_minor,TN,3865,1325.4825112378592,1882.7348638795434,1350.0,1900.0,29.98653331846812,
19,MAJ013,tn_major,TN,3996,2850.0,1950.0,2850.0,1950.0,0.0,
20,MIN001,tn_minor,TN,4103,3150.0,2000.0,3150.0,2000.0,0.0,
21,MIN011,tn_minor,TN,4150,450.0,2050.0,450.0,2050.0,0.0,
22,MAJ002,tn_major,TN,4494,2510.8095963165124,2172.0510967208147,2500.0,2200.0,29.966457365447997,
23,MAJ001,tn_major,TN,4792,2250.0,2350.0,2250.0,2350.0,0.0,
24,MAJ003,tn_major,TN,5612,2879.9812850831677,2749.2509357458416,2850.0,2750.0,29.990641081761332,
25,MAJ007,tn_major,TN,5680,1170.6326057216827,2795.689781716505,1200.0,2800.0,29.6820118649245,
26,MAJ012,tn_major,TN,5776,938.1514485405957,2836.111115901921,950.0,2850.0,18.256211906527145,
27,MAJ005,tn_major,TN,5920,3100.0,2900.0,3100.0,2900.0,0.0,
28,MIN013,tn_minor,TN,6073,650.0,3000.0,650.0,3000.0,0.0,
29,MIN007,tn_minor,TN,6088,1397.7748932060463,2970.1659547069758,1400.0,3000.0,29.91690757399102,
30,MAJ011,tn_major,TN,6680,671.1981010430276,3291.6774914296802,700.0,3300.0,29.980219019058136,
31,MAJ009,tn_major,TN,6695,1420.0034426919754,3300.321354799458,1450.0,3300.0,29.998278604625657,
32,MAJ008,tn_major,TN,6728,3100.0,3300.0,3100.0,3300.0,0.0,
33,MIN004,tn_minor,TN,7231,3000.0,3550.0,3000.0,3550.0,0.0,
34,MIN008,tn_minor,TN,8141,3050.041665219983,3990.0001736020695,3050.0,4000.0,9.99991319858849,
35,MIN012,tn_minor,TN,8322,2000.0,4100.0,2000.0,4100.0,0.0,
36,MAJ004,tn_major,TN,8606,1050.0,4250.0,1050.0,4250.0,0.0,
37,MIN010,tn_minor,TN,8694,400.0,4300.0,400.0,4300.0,0.0,
38,BAK01,tn_backup,TN,1871,2620.005575402344,900.4089388526634,2650.0,900.0,29.997212169294595,631.0952780682169
39,BAK02,tn_backup,TN,2037,820.6240485671179,1005.990521445725,850.0,1000.0,29.9805415191043,430.11626335213134
40,EXT01,tn_ext,TN,10200,5024.821338713665,4983.152482387393,5000.0,5000.0,29.998961736126233,1952.5624189766636
41,EXT02,tn_ext,TN,6766,4986.341622604577,3295.906860343088,5000.0,3300.0,14.258508523922742,1653.0423405320978
42,EXT03,tn_ext,TN,0,0.0,0.0,0.0,0.0,0.0,1188.4864324004714
43,EXT04,tn_ext,TN,4544,4998.344275560623,2198.8487493269913,5000.0,2200.0,2.016631233332835,1100.0
44,EXT05,tn_ext,TN,8366,4194.0942987089165,4079.0158239796074,4200.0,4100.0,21.799379601133737,1100.0
45,EXT06,tn_ext,TN,21,1038.0922431386791,-27.522875427085932,1050.0,0.0,29.988386839628856,1019.803902718557
46,EXT07,tn_ext,TN,10179,3927.727235200314,5020.035315253949,3950.0,5000.0,29.958135942465628,934.0770846134702
47,EXT08,tn_ext,TN,51,2526.0813060513356,-18.103601613847168,2550.0,0.0,29.997405081152714,905.5385138137417
