pair,success,n_legs,length_m,via,legs,leg_directions
DK04_to_DB02,True,5,4278.036296119824,DK04-MIN009-MIN005-MIN003-MIN002-DB02,DK04__MIN009;MIN009__MIN005;MIN003__MIN005;MIN003__MIN002;DB02__MIN002,fwd;fwd;rev;fwd;rev
DK04_to_DB01,True,3,1686.7154111186137,DK04-MIN009-MIN005-DB01,DK04__MIN009;MIN009__MIN005;DB01__MIN005,fwd;fwd;rev
DK04_to_DK01,True,5,3184.090640996754,DK04-MAJ006-MIN011-MAJ007-MIN007-DK01,DK04__MAJ006;MAJ006__MIN011;MIN011__MAJ007;MAJ007__MIN007;DK01__MIN007,fwd;fwd;fwd;fwd;rev
DK04_to_DK02,True,4,3066.8754995602,DK04-MAJ006-MIN013-MAJ011-DK02,DK04__MAJ006;MAJ006__MIN013;MIN013__MAJ011;DK02__MAJ011,fwd;fwd;fwd;rev
DK04_to_DK06,True,6,3670.6727101619563,DK04-MAJ006-MIN011-MAJ007-MIN007-MAJ009-DK06,DK04__MAJ006;MAJ006__MIN011;MIN011__MAJ007;MAJ007__MIN007;MIN007__MAJ009;DK06__MAJ009,fwd;fwd;fwd;fwd;fwd;rev
DK04_to_DK05,True,5,3703.3927160312855,DK04-MAJ006-MIN013-MAJ011-DK02-DK05,DK04__MAJ006;MAJ006__MIN013;MIN013__MAJ011;DK02__MAJ011;DK02__DK05,fwd;fwd;fwd;rev;fwd
DK04_to_DK03,True,7,4793.300301440463,DK04-MAJ006-MIN011-MAJ007-MIN007-DK01-MIN008-DK03,DK04__MAJ006;MAJ006__MIN011;MIN011__MAJ007;MAJ007__MIN007;DK01__MIN007;DK01__MIN008;DK03__MIN008,fwd;fwd;fwd;fwd;rev;fwd;rev
DB02_to_DB01,True,3,2973.168984639353,DB02-MIN002-MIN003-DB01,DB02__MIN002;MIN003__MIN002;DB01__MIN003,fwd;rev;rev
DB02_to_DK01,True,4,3263.7035766830077,DB02-MIN002-MIN001-MAJ003-DK01,DB02__MIN002;MIN002__MIN001;MIN001__MAJ003;DK01__MAJ003,fwd;fwd;fwd;rev
DB02_to_DK02,True,8,5207.529181228068,DB02-MIN002-MAJ013-MAJ002-MAJ001-MIN007-MAJ012-MAJ011-DK02,DB02__MIN002;MIN002__MAJ013;MAJ013__MAJ002;MAJ002__MAJ001;MAJ001__MIN007;MAJ012__MIN007;MAJ012__MAJ011;DK02__MAJ011,fwd;fwd;fwd;fwd;fwd;rev;fwd;rev
DB02_to_DK06,True,5,4169.299877127202,DB02-MIN002-MIN001-MAJ003-DK01-DK06,DB02__MIN002;MIN002__MIN001;MIN001__MAJ003;DK01__MAJ003;DK01__DK06,fwd;fwd;fwd;rev;fwd
DB02_to_DK05,True,6,5139.155316915603,DB02-MIN002-MIN001-MAJ003-DK01-DK06-DK05,DB02__MIN002;MIN002__MIN001;MIN001__MAJ003;DK01__MAJ003;DK01__DK06;DK06__DK05,fwd;fwd;fwd;rev;fwd;fwd
DB02_to_DK03,True,6,3599.7803643209054,DB02-MAJ010-MIN006-MAJ005-MAJ008-MIN008-DK03,DB02__MAJ010;MAJ010__MIN006;MIN006__MAJ005;MAJ005__MAJ008;MAJ008__MIN008;DK03__MIN008,fwd;fwd;fwd;fwd;fwd;rev
DB01_to_DK01,True,3,2640.799677329476,DB01-MIN003-MAJ001-DK01,DB01__MIN003;MIN003__MAJ001;DK01__MAJ001,fwd;fwd;rev
DB01_to_DK02,True,5,3128.97422976616,DB01-MIN005-MAJ007-MAJ012-MAJ011-DK02,DB01__MIN005;MIN005__MAJ007;MAJ007__MAJ012;MAJ012__MAJ011;DK02__MAJ011,fwd;fwd;fwd;fwd;rev
DB01_to_DK06,True,5,3149.2680429579614,DB01-MIN005-MAJ007-MIN007-MAJ009-DK06,DB01__MIN005;MIN005__MAJ007;MAJ007__MIN007;MIN007__MAJ009;DK06__MAJ009,fwd;fwd;fwd;fwd;rev
DB01_to_DK05,True,6,3765.491446237246,DB01-MIN005-MAJ007-MAJ012-MAJ011-DK02-DK05,DB01__MIN005;MIN005__MAJ007;MAJ007__MAJ012;MAJ012__MAJ011;DK02__MAJ011;DK02__DK05,fwd;fwd;fwd;fwd;rev;fwd
DB01_to_DK03,True,6,3948.0310829626796,DB01-MIN003-MAJ002-MAJ003-MIN004-MIN008-DK03,DB01__MIN003;MIN003__MAJ002;MAJ002__MAJ003;MAJ003__MIN004;MIN004__MIN008;DK03__MIN008,fwd;fwd;fwd;fwd;fwd;rev
DK01_to_DK02,True,3,2511.968956703681,DK01-DK06-DK05-DK02,DK01__DK06;DK06__DK05;DK02__DK05,fwd;fwd;rev
DK01_to_DK06,True,1,905.5963004441944,DK01-DK06,DK01__DK06,fwd
DK01_to_DK05,True,2,1875.4517402325957,DK01-DK06-DK05,DK01__DK06;DK06__DK05,fwd;fwd
DK01_to_DK03,True,2,1609.2096604437097,DK01-MIN008-DK03,DK01__MIN008;DK03__MIN008,fwd;rev
DK02_to_DK06,True,2,1606.372656259487,DK02-DK05-DK06,DK02__DK05;DK06__DK05,fwd;rev
DK02_to_DK05,True,1,636.5172164710856,DK02-DK05,DK02__DK05,fwd
DK02_to_DK03,True,2,3062.3699072530276,DK02-DK05-DK03,DK02__DK05;DK05__DK03,fwd;fwd
DK06_to_DK05,True,1,969.8554397884013,DK06-DK05,DK06__DK05,fwd
DK06_to_DK03,True,1,1496.2210033146998,DK06-DK03,DK06__DK03,fwd
DK05_to_DK03,True,1,2425.852690781942,DK05-DK03,DK05__DK03,fwd
