leg_id,net_a,net_b,a_id,b_id,leg_type,length_m,straight_m,two_lanes,lane_b_method,lane_shift_m,lane_b_length_m,centerline_min_separation_m,separation_ok,n_narrow_samples,n_crossings
DK04__BAK02,0,19,DK04,BAK02,straight,540.1741662277926,540.1741662277926,True,tangent_pair,0.0,540.1741662277926,49.99999999999981,True,0,0
DK04__EXT03,0,22,DK04,EXT03,straight,1188.4864324004714,1188.4864324004714,True,tangent_pair,0.0,1188.4864324004714,50.0,True,0,0
DK04__RBT05,0,32,DK04,RBT05,straight,96.98962189317264,306.98962189317257,True,tangent_pair,0.0,306.9896218931725,49.999999999999986,True,0,0
DB02__MIN016,1,9,DB02,MIN016,straight,769.603942243256,769.603942243256,True,tangent_pair,0.0,769.603942243256,50.00000000000045,True,0,0
DB02__EXT04,1,23,DB02,EXT04,theta,1184.4678026781064,1174.1845668300016,True,shifted_pair,15.0,1181.4228129772966,49.97012171958557,True,0,0
DB02__RBT07,1,34,DB02,RBT07,straight,100.48743636085236,363.1576204917872,True,tangent_pair,0.0,363.1576204917872,49.99999999999968,True,0,0
DB01__MIN017,2,11,DB01,MIN017,straight,675.9726389438922,675.9726389438922,True,tangent_pair,0.0,675.9726389438922,49.99999999999985,True,0,0
DB01__RBT05,2,32,DB01,RBT05,theta,775.8591751368017,874.4155201804047,True,shifted_pair,-15.0,1022.9674293275766,49.999999999999794,True,0,0
DB01__RBT06,2,33,DB01,RBT06,straight,442.85162625453853,706.8516262545385,True,tangent_pair,0.0,706.8516262545387,49.99999999999978,True,0,0
DB01__RBT08,2,35,DB01,RBT08,straight,138.2060595481255,365.26186391987477,True,tangent_pair,0.0,365.26186391987477,50.00000000000002,True,0,0
DK01__DK06,3,5,DK01,DK06,theta,905.5963004441944,899.5446709424245,True,tangent_pair,0.0,914.8777849201983,49.9999999999992,True,0,0
DK01__MAJ009,3,14,DK01,MAJ009,straight,724.3857700286111,724.3857700286111,True,tangent_pair,0.0,724.3857700286111,49.99999999999937,True,0,0
DK01__MIN012,3,15,DK01,MIN012,straight,559.0169943749474,559.0169943749474,True,tangent_pair,0.0,559.0169943749474,49.99999999999976,True,0,0
DK01__RBT03,3,30,DK01,RBT03,straight,1131.1598571088311,1448.0264603764692,True,tangent_pair,0.0,1448.0264603764692,49.99999999999977,True,0,0
DK01__RBT04,3,31,DK01,RBT04,straight,895.5618656843311,1205.7029853219187,True,tangent_pair,0.0,1205.7029853219187,49.99999999999945,True,0,0
DK01__RBT10,3,37,DK01,RBT10,straight,576.2207552758033,774.6719508225174,True,tangent_pair,0.0,774.6719508225174,49.99999999999964,True,0,0
DK01__RBT11,3,38,DK01,RBT11,straight,673.8079083941534,949.4370285725158,True,tangent_pair,0.0,949.4370285725158,49.99999999999956,True,0,0
DK01__RBT12,3,39,DK01,RBT12,straight,823.3751186768334,1069.3751186768336,True,tangent_pair,0.0,1069.3751186768336,49.99999999999967,True,0,0
DK02__DK05,4,6,DK02,DK05,straight,636.5172164710856,636.5172164710856,True,tangent_pair,0.0,636.5172164710856,50.00000000000007,True,0,0
DK02__MAJ011,4,13,DK02,MAJ011,theta,872.3471926335698,827.2268227899082,True,centerline+soft_buffer,,924.2640687119285,1.1989569465095542,False,57,2
DK02__MIN010,4,17,DK02,MIN010,straight,307.18975736100106,307.18975736100106,True,tangent_pair,0.0,307.18975736100106,49.99999999999954,True,0,0
DK06__DK05,5,6,DK06,DK05,straight,969.8554397884013,969.8554397884013,True,tangent_pair,0.0,969.8554397884013,49.999999999999794,True,0,0
DK06__DK03,5,7,DK06,DK03,straight,1496.2210033146998,1496.2210033146998,True,tangent_pair,0.0,1496.2210033146996,49.99999999999916,True,0,0
DK06__MAJ009,5,14,DK06,MAJ009,theta,1066.3534854973916,1032.2877154539328,True,shifted_pair,-15.0,1077.5005187889692,49.9999999999996,True,0,0
DK06__MIN012,5,15,DK06,MIN012,straight,432.98562227320605,432.98562227320605,True,tangent_pair,0.0,432.9856222732063,49.99999999999918,True,0,0
DK06__MAJ004,5,16,DK06,MAJ004,straight,576.1486472940366,576.1486472940366,True,tangent_pair,0.0,576.1486472940366,49.999999999999446,True,0,0
DK05__DK03,6,7,DK05,DK03,straight,2425.852690781942,2425.852690781942,True,tangent_pair,0.0,2425.852690781942,49.99999999999972,True,0,0
DK05__MAJ004,6,16,DK05,MAJ004,theta,461.21613139141715,460.0142400665202,True,tangent_pair,0.0,456.1847359752942,49.99999999999976,True,0,0
