net_node,net_id,kind,label_prefix,model_idx,x,y,x_orig,y_orig,node_shift_m,gap_to_network_m,radius_m,members
0,DK04,objective,DK,2329,300.0,1150.0,300.0,1150.0,0.0,,0.0,
1,DB02,objective,DB,2711,4224.47792981109,1315.7630932901477,4250.0,1300.0,29.997519510812214,,0.0,
2,DB01,objective,DB,2956,1370.4386539535965,1471.934917957758,1350.0,1450.0,29.981314201489553,,0.0,
3,DK01,objective,DK,7213,2100.0,3550.0,2100.0,3550.0,0.0,,0.0,
4,DK02,objective,DK,8086,276.5605724709622,4018.7025510979274,300.0,4000.0,29.986533318468165,,0.0,
5,DK06,objective,DK,8719,1622.748278782983,4312.503383347451,1650.0,4300.0,29.98317702351303,,0.0,
6,DK05,objective,DK,9104,674.391547132067,4515.577467414191,700.0,4500.0,29.974161361568335,,0.0,
7,DK03,objective,DK,9253,3100.0,4550.0,3100.0,4550.0,0.0,,0.0,
8,MIN014,tn_minor,TN,477,3645.0127065008464,199.64376475006046,3650.0,200.0,4.999999999999891,,0.0,
9,MIN016,tn_minor,TN,1197,4314.92555785315,551.492555785315,4300.0,550.0,15.000000000000325,,0.0,
10,MIN015,tn_minor,TN,1555,1972.051096720815,739.1904036834876,2000.0,750.0,29.966457365447784,,0.0,
11,MIN017,tn_minor,TN,1955,1800.0,950.0,1800.0,950.0,0.0,,0.0,
12,MIN013,tn_minor,TN,6073,650.0,3000.0,650.0,3000.0,0.0,,0.0,
13,MAJ011,tn_major,TN,6680,671.1981010430276,3291.6774914296802,700.0,3300.0,29.980219019058136,,0.0,
14,MAJ009,tn_major,TN,6695,1420.0034426919754,3300.321354799458,1450.0,3300.0,29.998278604625657,,0.0,
15,MIN012,tn_minor,TN,8322,2000.0,4100.0,2000.0,4100.0,0.0,,0.0,
16,MAJ004,tn_major,TN,8606,1050.0,4250.0,1050.0,4250.0,0.0,,0.0,
17,MIN010,tn_minor,TN,8694,400.0,4300.0,400.0,4300.0,0.0,,0.0,
18,BAK01,tn_backup,TN,1871,2620.005575402344,900.4089388526634,2650.0,900.0,29.997212169294595,631.0952780682169,0.0,
19,BAK02,tn_backup,TN,2037,820.6240485671179,1005.990521445725,850.0,1000.0,29.9805415191043,430.11626335213134,0.0,
20,EXT01,tn_ext,TN,10200,5024.821338713665,4983.152482387393,5000.0,5000.0,29.998961736126233,1952.5624189766636,0.0,
21,EXT02,tn_ext,TN,6766,4986.341622604577,3295.906860343088,5000.0,3300.0,14.258508523922742,1653.0423405320978,0.0,
22,EXT03,tn_ext,TN,0,0.0,0.0,0.0,0.0,0.0,1188.4864324004714,0.0,
23,EXT04,tn_ext,TN,4544,4998.344275560623,2198.8487493269913,5000.0,2200.0,2.016631233332835,1100.0,0.0,
24,EXT05,tn_ext,TN,8366,4194.0942987089165,4079.0158239796074,4200.0,4100.0,21.799379601133737,1100.0,0.0,
25,EXT06,tn_ext,TN,21,1038.0922431386791,-27.522875427085932,1050.0,0.0,29.988386839628856,1019.803902718557,0.0,
26,EXT07,tn_ext,TN,10179,3927.727235200314,5020.035315253949,3950.0,5000.0,29.958135942465628,934.0770846134702,0.0,
27,EXT08,tn_ext,TN,51,2526.0813060513356,-18.103601613847168,2550.0,0.0,29.997405081152714,905.5385138137417,0.0,
28,RBT01,roundabout,RBT,3499,3096.852539727079,1946.7269610924632,3096.852539727079,1946.7269610924632,0.0,,319.9999999999999,MAJ013+MIN001+MIN002
29,RBT02,roundabout,RBT,4150,375.0,1950.0,375.0,1950.0,0.0,,302.0,MAJ006+MIN011
30,RBT03,roundabout,RBT,4494,2142.80331916883,2102.606305866114,2142.80331916883,2102.606305866114,0.0,,316.8666032676377,MAJ001+MAJ002
31,RBT04,roundabout,RBT,5612,3084.5533477507183,2854.0298898321566,3084.5533477507183,2854.0298898321566,0.0,,310.1411196375873,MAJ003+MAJ005
32,RBT05,roundabout,RBT,2739,500.62282012714996,1382.3641796713562,500.62282012714996,1382.3641796713562,0.0,,210.0,MIN009
33,RBT06,roundabout,RBT,3476,2077.1654420688524,1485.219062603911,2077.1654420688524,1485.219062603911,0.0,,264.0,MIN003
34,RBT07,roundabout,RBT,3715,3957.4035584109347,1561.8418153740959,3957.4035584109347,1561.8418153740959,0.0,,262.6701841309346,MAJ010+MIN006
35,RBT08,roundabout,RBT,3865,1319.9480264864196,1833.6902576173018,1319.9480264864196,1833.6902576173018,0.0,,227.05580437174922,MIN005
36,RBT09,roundabout,RBT,5776,825.5389969037817,2668.5870624875347,825.5389969037817,2668.5870624875347,0.0,,258.9845039630061,MAJ007+MAJ012
37,RBT10,roundabout,RBT,6088,1562.6081168776032,2992.0335177223196,1562.6081168776032,2992.0335177223196,0.0,,198.451195546714,MIN007
38,RBT11,roundabout,RBT,6728,3046.752820504455,3478.6573893702544,3046.752820504455,3478.6573893702544,0.0,,275.6291201783626,MAJ008+MIN004
39,RBT12,roundabout,RBT,8141,3050.3650211977388,4040.2748932271707,3050.3650211977388,4040.2748932271707,0.0,,246.0,MIN008
