pair,success,n_legs,length_m,via,legs,leg_directions
DK04_to_DB02,True,6,1708.4299186913793,DK04-RBT05-RBT08-RBT03-RBT01-RBT07-DB02,DK04__RBT05;RBT05__RBT08;RBT03__RBT08;RBT01__RBT03;RBT01__RBT07;DB02__RBT07,fwd;fwd;rev;rev;fwd;rev
DK04_to_DB01,True,3,734.524559397584,DK04-RBT05-RBT08-DB01,DK04__RBT05;RBT05__RBT08;DB01__RBT08,fwd;fwd;rev
DK04_to_DK01,True,5,1377.2224220392159,DK04-RBT05-RBT02-RBT09-RBT10-DK01,DK04__RBT05;RBT02__RBT05;RBT02__RBT09;RBT09__RBT10;DK01__RBT10,fwd;rev;fwd;fwd;rev
DK04_to_DK02,True,5,1708.8060187585725,DK04-RBT05-RBT02-RBT09-MAJ011-DK02,DK04__RBT05;RBT02__RBT05;RBT02__RBT09;MAJ011__RBT09;DK02__MAJ011,fwd;rev;fwd;rev;rev
DK04_to_DK06,True,6,2008.5765690767728,DK04-RBT05-RBT02-RBT09-RBT10-MAJ009-DK06,DK04__RBT05;RBT02__RBT05;RBT02__RBT09;RBT09__RBT10;MAJ009__RBT10;DK06__MAJ009,fwd;rev;fwd;fwd;rev;rev
DK04_to_DK05,True,6,2345.323235229658,DK04-RBT05-RBT02-RBT09-MAJ011-DK02-DK05,DK04__RBT05;RBT02__RBT05;RBT02__RBT09;MAJ011__RBT09;DK02__MAJ011;DK02__DK05,fwd;rev;fwd;rev;rev;fwd
DK04_to_DK03,True,8,1871.2931552370933,DK04-RBT05-RBT08-RBT03-RBT01-RBT04-RBT11-RBT12-DK03,DK04__RBT05;RBT05__RBT08;RBT03__RBT08;RBT01__RBT03;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;DK03__RBT12,fwd;fwd;rev;rev;fwd;fwd;fwd;rev
DB02_to_DB01,True,5,1250.3174783900463,DB02-RBT07-RBT01-RBT03-RBT08-DB01,DB02__RBT07;RBT01__RBT07;RBT01__RBT03;RBT03__RBT08;DB01__RBT08,fwd;rev;fwd;fwd;rev
DB02_to_DK01,True,5,1451.571039755792,DB02-RBT07-RBT01-RBT04-RBT11-DK01,DB02__RBT07;RBT01__RBT07;RBT01__RBT04;RBT04__RBT11;DK01__RBT11,fwd;rev;fwd;fwd;rev
DB02_to_DK02,True,7,2939.7322330229777,DB02-RBT07-RBT01-RBT03-RBT10-RBT09-MAJ011-DK02,DB02__RBT07;RBT01__RBT07;RBT01__RBT03;RBT03__RBT10;RBT09__RBT10;MAJ011__RBT09;DK02__MAJ011,fwd;rev;fwd;fwd;rev;rev;rev
DB02_to_DK06,True,7,2056.810427746563,DB02-RBT07-RBT01-RBT04-RBT11-RBT12-MIN012-DK06,DB02__RBT07;RBT01__RBT07;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;MIN012__RBT12;DK06__MIN012,fwd;rev;fwd;fwd;fwd;rev;rev
DB02_to_DK05,True,8,3026.6658675349645,DB02-RBT07-RBT01-RBT04-RBT11-RBT12-MIN012-DK06-DK05,DB02__RBT07;RBT01__RBT07;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;MIN012__RBT12;DK06__MIN012;DK06__DK05,fwd;rev;fwd;fwd;fwd;rev;rev;fwd
DB02_to_DK03,True,6,1083.8991636765634,DB02-RBT07-RBT01-RBT04-RBT11-RBT12-DK03,DB02__RBT07;RBT01__RBT07;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;DK03__RBT12,fwd;rev;fwd;fwd;fwd;rev
DB01_to_DK01,True,4,1582.8049964165941,DB01-RBT08-RBT03-RBT10-DK01,DB01__RBT08;RBT03__RBT08;RBT03__RBT10;DK01__RBT10,fwd;rev;fwd;rev
DB01_to_DK02,True,6,2249.3513343698114,DB01-RBT08-RBT05-RBT02-RBT09-MAJ011-DK02,DB01__RBT08;RBT05__RBT08;RBT02__RBT05;RBT02__RBT09;MAJ011__RBT09;DK02__MAJ011,fwd;rev;rev;fwd;rev;rev
DB01_to_DK06,True,5,2214.1591434541506,DB01-RBT08-RBT03-RBT10-MAJ009-DK06,DB01__RBT08;RBT03__RBT08;RBT03__RBT10;MAJ009__RBT10;DK06__MAJ009,fwd;rev;fwd;rev;rev
DB01_to_DK05,True,7,2885.868550840897,DB01-RBT08-RBT05-RBT02-RBT09-MAJ011-DK02-DK05,DB01__RBT08;RBT05__RBT08;RBT02__RBT05;RBT02__RBT09;MAJ011__RBT09;DK02__MAJ011;DK02__DK05,fwd;rev;rev;fwd;rev;rev;fwd
DB01_to_DK03,True,7,1413.1807149357603,DB01-RBT08-RBT03-RBT01-RBT04-RBT11-RBT12-DK03,DB01__RBT08;RBT03__RBT08;RBT01__RBT03;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;DK03__RBT12,fwd;rev;rev;fwd;fwd;fwd;rev
DK01_to_DK02,True,4,2178.9841304052743,DK01-RBT10-RBT09-MAJ011-DK02,DK01__RBT10;RBT09__RBT10;MAJ011__RBT09;DK02__MAJ011,fwd;rev;rev;rev
DK01_to_DK06,True,1,905.5963004441944,DK01-DK06,DK01__DK06,fwd
DK01_to_DK05,True,2,1875.4517402325957,DK01-DK06-DK05,DK01__DK06;DK06__DK05,fwd;fwd
DK01_to_DK03,True,3,979.9439407090781,DK01-RBT11-RBT12-DK03,DK01__RBT11;RBT11__RBT12;DK03__RBT12,fwd;fwd;rev
DK02_to_DK06,True,2,1606.372656259487,DK02-DK05-DK06,DK02__DK05;DK06__DK05,fwd;rev
DK02_to_DK05,True,1,636.5172164710856,DK02-DK05,DK02__DK05,fwd
DK02_to_DK03,True,2,3062.3699072530276,DK02-DK05-DK03,DK02__DK05;DK05__DK03,fwd;fwd
DK06_to_DK05,True,1,969.8554397884013,DK06-DK05,DK06__DK05,fwd
DK06_to_DK03,True,1,1496.2210033146998,DK06-DK03,DK06__DK03,fwd
DK05_to_DK03,True,1,2425.852690781942,DK05-DK03,DK05__DK03,fwd
