rbt_id,center_x,center_y,radius_m,n_members,n_entries,members,cost_from,model_idx
RBT01,3096.852539727079,1946.7269610924632,319.9999999999999,3,11,MAJ013+MIN001+MIN002,MIN002,3499
RBT02,375.0,1950.0,302.0,2,9,MAJ006+MIN011,MIN011,4150
RBT03,2142.80331916883,2102.606305866114,316.8666032676377,2,8,MAJ001+MAJ002,MAJ002,4494
RBT04,3084.5533477507183,2854.0298898321566,310.1411196375873,2,9,MAJ003+MAJ005,MAJ003,5612
RBT05,500.62282012714996,1382.3641796713562,210.0,1,5,MIN009,MIN009,2739
RBT06,2077.1654420688524,1485.219062603911,264.0,1,8,MIN003,MIN003,3476
RBT07,3957.4035584109347,1561.8418153740959,262.6701841309346,2,7,MAJ010+MIN006,MIN006,3715
RBT08,1319.9480264864196,1833.6902576173018,227.05580437174922,1,6,MIN005,MIN005,3865
RBT09,825.5389969037817,2668.5870624875347,258.9845039630061,2,7,MAJ007+MAJ012,MAJ012,5776
RBT10,1562.6081168776032,2992.0335177223196,198.451195546714,1,5,MIN007,MIN007,6088
RBT11,3046.752820504455,3478.6573893702544,275.6291201783626,2,7,MAJ008+MIN004,MAJ008,6728
RBT12,3050.3650211977388,4040.2748932271707,246.0,1,7,MIN008,MIN008,8141
