pair,success,n_legs,length_m,via,legs,leg_directions
DK04_to_DB02,True,7,1823.1707647239223,DK04-RBT05-RBT02-RBT08-RBT03-RBT01-RBT07-DB02,DK04__RBT05;RBT02__RBT05;RBT02__RBT08;RBT03__RBT08;RBT01__RBT03;RBT01__RBT07;DB02__RBT07,fwd;rev;fwd;rev;rev;fwd;rev
DK04_to_DB01,True,2,881.1117051841994,DK04-RBT05-DB01,DK04__RBT05;DB01__RBT05,fwd;rev
DK04_to_DK01,True,5,1541.2016465937008,DK04-RBT05-RBT02-RBT09-RBT10-DK01,DK04__RBT05;RBT02__RBT05;RBT02__RBT09;RBT09__RBT10;DK01__RBT10,fwd;rev;fwd;fwd;rev
DK04_to_DK02,True,5,1860.0708212743632,DK04-RBT05-RBT02-RBT09-MAJ011-DK02,DK04__RBT05;RBT02__RBT05;RBT02__RBT09;MAJ011__RBT09;DK02__MAJ011,fwd;rev;fwd;rev;rev
DK04_to_DK06,True,6,2223.1387688211535,DK04-RBT05-RBT02-RBT09-RBT10-MAJ009-DK06,DK04__RBT05;RBT02__RBT05;RBT02__RBT09;RBT09__RBT10;MAJ009__RBT10;DK06__MAJ009,fwd;rev;fwd;fwd;rev;rev
DK04_to_DK05,True,6,2496.5880377454487,DK04-RBT05-RBT02-RBT09-MAJ011-DK02-DK05,DK04__RBT05;RBT02__RBT05;RBT02__RBT09;MAJ011__RBT09;DK02__MAJ011;DK02__DK05,fwd;rev;fwd;rev;rev;fwd
DK04_to_DK03,True,9,1824.1417339395518,DK04-RBT05-RBT02-RBT08-RBT03-RBT01-RBT04-RBT11-RBT12-DK03,DK04__RBT05;RBT02__RBT05;RBT02__RBT08;RBT03__RBT08;RBT01__RBT03;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;DK03__RBT12,fwd;rev;fwd;rev;rev;fwd;fwd;fwd;rev
DB02_to_DB01,True,5,1300.1657304084843,DB02-RBT07-RBT01-RBT03-RBT06-DB01,DB02__RBT07;RBT01__RBT07;RBT01__RBT03;RBT03__RBT06;DB01__RBT06,fwd;rev;fwd;fwd;rev
DB02_to_DK01,True,5,1375.3207472830813,DB02-RBT07-RBT01-RBT04-RBT11-DK01,DB02__RBT07;RBT01__RBT07;RBT01__RBT04;RBT04__RBT11;DK01__RBT11,fwd;rev;fwd;fwd;rev
DB02_to_DK02,True,7,3042.0397652257875,DB02-RBT07-RBT01-RBT03-RBT10-RBT09-MAJ011-DK02,DB02__RBT07;RBT01__RBT07;RBT01__RBT03;RBT03__RBT10;RBT09__RBT10;MAJ011__RBT09;DK02__MAJ011,fwd;rev;fwd;fwd;rev;rev;rev
DB02_to_DK06,True,7,1984.1299643826214,DB02-RBT07-RBT01-RBT04-RBT11-RBT12-MIN012-DK06,DB02__RBT07;RBT01__RBT07;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;MIN012__RBT12;DK06__MIN012,fwd;rev;fwd;fwd;fwd;rev;rev
DB02_to_DK05,True,8,2953.9854041710228,DB02-RBT07-RBT01-RBT04-RBT11-RBT12-MIN012-DK06-DK05,DB02__RBT07;RBT01__RBT07;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;MIN012__RBT12;DK06__MIN012;DK06__DK05,fwd;rev;fwd;fwd;fwd;rev;rev;fwd
DB02_to_DK03,True,6,1005.0897732877024,DB02-RBT07-RBT01-RBT04-RBT11-RBT12-DK03,DB02__RBT07;RBT01__RBT07;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;DK03__RBT12,fwd;rev;fwd;fwd;fwd;rev
DB01_to_DK01,True,4,1543.0469310942638,DB01-RBT06-RBT03-RBT10-DK01,DB01__RBT06;RBT03__RBT06;RBT03__RBT10;DK01__RBT10,fwd;rev;fwd;rev
DB01_to_DK02,True,5,2489.2215719378696,DB01-RBT08-RBT02-RBT09-MAJ011-DK02,DB01__RBT08;RBT02__RBT08;RBT02__RBT09;MAJ011__RBT09;DK02__MAJ011,fwd;rev;fwd;rev;rev
DB01_to_DK06,True,5,2224.9840533217166,DB01-RBT06-RBT03-RBT10-MAJ009-DK06,DB01__RBT06;RBT03__RBT06;RBT03__RBT10;MAJ009__RBT10;DK06__MAJ009,fwd;rev;fwd;rev;rev
DB01_to_DK05,True,6,3125.7387884089553,DB01-RBT08-RBT02-RBT09-MAJ011-DK02-DK05,DB01__RBT08;RBT02__RBT08;RBT02__RBT09;MAJ011__RBT09;DK02__MAJ011;DK02__DK05,fwd;rev;fwd;rev;rev;fwd
DB01_to_DK03,True,7,1301.1366996241138,DB01-RBT06-RBT03-RBT01-RBT04-RBT11-RBT12-DK03,DB01__RBT06;RBT03__RBT06;RBT01__RBT03;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;DK03__RBT12,fwd;rev;rev;fwd;fwd;fwd;rev
DK01_to_DK02,True,4,2231.69680236956,DK01-RBT10-RBT09-MAJ011-DK02,DK01__RBT10;RBT09__RBT10;MAJ011__RBT09;DK02__MAJ011,fwd;rev;rev;rev
DK01_to_DK06,True,1,905.5963004441944,DK01-DK06,DK01__DK06,fwd
DK01_to_DK05,True,2,1875.4517402325957,DK01-DK06-DK05,DK01__DK06;DK06__DK05,fwd;fwd
DK01_to_DK03,True,3,970.3642418084582,DK01-RBT11-RBT12-DK03,DK01__RBT11;RBT11__RBT12;DK03__RBT12,fwd;fwd;rev
DK02_to_DK06,True,2,1606.372656259487,DK02-DK05-DK06,DK02__DK05;DK06__DK05,fwd;rev
DK02_to_DK05,True,1,636.5172164710856,DK02-DK05,DK02__DK05,fwd
DK02_to_DK03,True,9,3043.0107344414173,DK02-MAJ011-RBT09-RBT10-RBT03-RBT01-RBT04-RBT11-RBT12-DK03,DK02__MAJ011;MAJ011__RBT09;RBT09__RBT10;RBT03__RBT10;RBT01__RBT03;RBT01__RBT04;RBT04__RBT11;RBT11__RBT12;DK03__RBT12,fwd;fwd;fwd;rev;rev;fwd;fwd;fwd;rev
DK06_to_DK05,True,1,969.8554397884013,DK06-DK05,DK06__DK05,fwd
DK06_to_DK03,True,1,1496.2210033146998,DK06-DK03,DK06__DK03,fwd
DK05_to_DK03,True,1,2425.852690781942,DK05-DK03,DK05__DK03,fwd
