rbt_id,center_x,center_y,radius_m,n_members,n_entries,members,cost_from,model_idx
RBT01,3117.030152170221,2018.961744653393,369.99999999999994,3,11,MAJ013+MIN001+MIN002,MIN002,3499
RBT02,375.0,1950.0,302.0,2,9,MAJ006+MIN011,MIN011,4150
RBT03,2124.785614620677,2085.2753415878205,316.8666032676378,2,8,MAJ001+MAJ002,MAJ001,4792
RBT04,3109.583773765867,2862.246941721905,310.3543355942719,2,9,MAJ003+MAJ005,MAJ003,5612
RBT05,475.3765126939311,1385.6145830837822,210.0,1,5,MIN009,MIN009,2739
RBT06,2084.926289614303,1465.6895337588076,263.99999999999994,1,8,MIN003,MIN003,3476
RBT07,3930.558989336685,1586.3683427677963,224.42668453905947,2,7,MAJ010+MIN006,MIN006,3715
RBT08,1325.4825112378592,1882.7348638795434,145.0,1,6,MIN005,MIN005,3865
RBT09,837.4469757672922,2739.820621309736,173.4188635375857,2,7,MAJ007+MAJ012,MAJ012,5776
RBT10,1607.6114965170339,3003.0706735624744,210.0,1,5,MIN007,MIN007,6088
RBT11,3043.673633139607,3484.7508696321443,275.62912017836254,2,7,MAJ008+MIN004,MAJ008,6728
RBT12,3050.7516997322186,4046.3353865177437,246.0,1,7,MIN008,MIN008,8141
