rbt_id,lane,seq,x,y
RBT01,0,0,1157.014,2792.322
RBT01,0,1,1156.849,2798.553
RBT01,0,2,1156.356,2804.767
RBT01,0,3,1155.536,2810.946
RBT01,0,4,1154.39,2817.072
RBT01,0,5,1152.923,2823.13
RBT01,0,6,1151.138,2829.103
RBT01,0,7,1149.041,2834.972
RBT01,0,8,1146.637,2840.723
RBT01,0,9,1143.932,2846.339
RBT01,0,10,1140.935,2851.804
RBT01,0,11,1137.654,2857.103
RBT01,0,12,1134.098,2862.222
RBT01,0,13,1130.276,2867.146
RBT01,0,14,1126.2,2871.862
RBT01,0,15,1121.881,2876.356
RBT01,0,16,1117.33,2880.615
RBT01,0,17,1112.561,2884.629
RBT01,0,18,1107.587,2888.385
RBT01,0,19,1102.422,2891.874
RBT01,0,20,1097.079,2895.085
RBT01,0,21,1091.575,2898.009
RBT01,0,22,1085.924,2900.639
RBT01,0,23,1080.142,2902.968
RBT01,0,24,1074.245,2904.987
RBT01,0,25,1068.25,2906.693
RBT01,0,26,1062.173,2908.08
RBT01,0,27,1056.032,2909.144
RBT01,0,28,1049.843,2909.883
RBT01,0,29,1043.623,2910.294
RBT01,0,30,1037.391,2910.376
RBT01,0,31,1031.163,2910.13
RBT01,0,32,1024.956,2909.555
RBT01,0,33,1018.789,2908.653
RBT01,0,34,1012.677,2907.427
RBT01,0,35,1006.639,2905.88
RBT01,0,36,1000.691,2904.016
RBT01,0,37,994.85,2901.842
RBT01,0,38,989.131,2899.362
RBT01,0,39,983.552,2896.583
RBT01,0,40,978.127,2893.514
RBT01,0,41,972.871,2890.163
RBT01,0,42,967.799,2886.54
RBT01,0,43,962.926,2882.654
RBT01,0,44,958.265,2878.516
RBT01,0,45,953.828,2874.137
RBT01,0,46,949.629,2869.531
RBT01,0,47,945.679,2864.709
RBT01,0,48,941.989,2859.686
RBT01,0,49,938.569,2854.475
RBT01,0,50,935.428,2849.091
RBT01,0,51,932.577,2843.549
RBT01,0,52,930.021,2837.863
RBT01,0,53,927.77,2832.051
RBT01,0,54,925.828,2826.128
RBT01,0,55,924.202,2820.111
RBT01,0,56,922.895,2814.017
RBT01,0,57,921.912,2807.862
RBT01,0,58,921.255,2801.663
RBT01,0,59,920.926,2795.439
RBT01,0,60,920.926,2789.206
RBT01,0,61,921.255,2782.981
RBT01,0,62,921.912,2776.783
RBT01,0,63,922.895,2770.628
RBT01,0,64,924.202,2764.533
RBT01,0,65,925.828,2758.516
RBT01,0,66,927.77,2752.593
RBT01,0,67,930.021,2746.781
RBT01,0,68,932.577,2741.096
RBT01,0,69,935.428,2735.554
RBT01,0,70,938.569,2730.169
RBT01,0,71,941.989,2724.958
RBT01,0,72,945.679,2719.935
RBT01,0,73,949.629,2715.114
RBT01,0,74,953.828,2710.507
RBT01,0,75,958.265,2706.129
RBT01,0,76,962.926,2701.991
RBT01,0,77,967.799,2698.105
RBT01,0,78,972.871,2694.481
RBT01,0,79,978.127,2691.13
RBT01,0,80,983.552,2688.061
RBT01,0,81,989.131,2685.283
RBT01,0,82,994.85,2682.803
RBT01,0,83,1000.691,2680.628
RBT01,0,84,1006.639,2678.765
RBT01,0,85,1012.677,2677.218
RBT01,0,86,1018.789,2675.992
RBT01,0,87,1024.956,2675.09
RBT01,0,88,1031.163,2674.515
RBT01,0,89,1037.391,2674.268
RBT01,0,90,1043.623,2674.35
RBT01,0,91,1049.843,2674.761
RBT01,0,92,1056.032,2675.5
RBT01,0,93,1062.173,2676.565
RBT01,0,94,1068.25,2677.952
RBT01,0,95,1074.245,2679.657
RBT01,0,96,1080.142,2681.677
RBT01,0,97,1085.924,2684.005
RBT01,0,98,1091.575,2686.635
RBT01,0,99,1097.079,2689.56
RBT01,0,100,1102.422,2692.771
RBT01,0,101,1107.587,2696.259
RBT01,0,102,1112.561,2700.016
RBT01,0,103,1117.33,2704.029
RBT01,0,104,1121.881,2708.289
RBT01,0,105,1126.2,2712.783
RBT01,0,106,1130.276,2717.498
RBT01,0,107,1134.098,2722.422
RBT01,0,108,1137.654,2727.541
RBT01,0,109,1140.935,2732.841
RBT01,0,110,1143.932,2738.306
RBT01,0,111,1146.637,2743.922
RBT01,0,112,1149.041,2749.672
RBT01,0,113,1151.138,2755.542
RBT01,0,114,1152.923,2761.514
RBT01,0,115,1154.39,2767.572
RBT01,0,116,1155.536,2773.699
RBT01,0,117,1156.356,2779.878
RBT01,0,118,1156.849,2786.091
RBT01,0,119,1157.014,2792.322
RBT02,0,0,3419.488,2038.118
RBT02,0,1,3419.072,2053.885
RBT02,0,2,3417.824,2069.608
RBT02,0,3,3415.748,2085.244
RBT02,0,4,3412.85,2100.748
RBT02,0,5,3409.138,2116.077
RBT02,0,6,3404.621,2131.189
RBT02,0,7,3399.314,2146.042
RBT02,0,8,3393.23,2160.594
RBT02,0,9,3386.387,2174.804
RBT02,0,10,3378.803,2188.634
RBT02,0,11,3370.5,2202.044
RBT02,0,12,3361.5,2214.997
RBT02,0,13,3351.83,2227.457
RBT02,0,14,3341.515,2239.389
RBT02,0,15,3330.586,2250.761
RBT02,0,16,3319.071,2261.54
RBT02,0,17,3307.003,2271.696
RBT02,0,18,3294.417,2281.201
RBT02,0,19,3281.346,2290.028
RBT02,0,20,3267.827,2298.154
RBT02,0,21,3253.899,2305.554
RBT02,0,22,3239.599,2312.21
RBT02,0,23,3224.968,2318.101
RBT02,0,24,3210.047,2323.212
RBT02,0,25,3194.877,2327.528
RBT02,0,26,3179.5,2331.038
RBT02,0,27,3163.959,2333.731
RBT02,0,28,3148.298,2335.6
RBT02,0,29,3132.559,2336.641
RBT02,0,30,3116.788,2336.849
RBT02,0,31,3101.028,2336.224
RBT02,0,32,3085.323,2334.769
RBT02,0,33,3069.717,2332.487
RBT02,0,34,3054.252,2329.384
RBT02,0,35,3038.973,2325.47
RBT02,0,36,3023.922,2320.755
RBT02,0,37,3009.141,2315.252
RBT02,0,38,2994.67,2308.976
RBT02,0,39,2980.552,2301.946
RBT02,0,40,2966.823,2294.18
RBT02,0,41,2953.524,2285.701
RBT02,0,42,2940.691,2276.531
RBT02,0,43,2928.359,2266.697
RBT02,0,44,2916.564,2256.226
RBT02,0,45,2905.338,2245.147
RBT02,0,46,2894.712,2233.491
RBT02,0,47,2884.716,2221.291
RBT02,0,48,2875.378,2208.58
RBT02,0,49,2866.724,2195.393
RBT02,0,50,2858.778,2181.769
RBT02,0,51,2851.562,2167.744
RBT02,0,52,2845.096,2153.358
RBT02,0,53,2839.398,2138.65
RBT02,0,54,2834.484,2123.663
RBT02,0,55,2830.369,2108.437
RBT02,0,56,2827.062,2093.015
RBT02,0,57,2824.574,2077.44
RBT02,0,58,2822.912,2061.755
RBT02,0,59,2822.079,2046.005
RBT02,0,60,2822.079,2030.232
RBT02,0,61,2822.912,2014.482
RBT02,0,62,2824.574,1998.797
RBT02,0,63,2827.062,1983.222
RBT02,0,64,2830.369,1967.8
RBT02,0,65,2834.484,1952.574
RBT02,0,66,2839.398,1937.587
RBT02,0,67,2845.096,1922.879
RBT02,0,68,2851.562,1908.493
RBT02,0,69,2858.778,1894.468
RBT02,0,70,2866.724,1880.844
RBT02,0,71,2875.378,1867.657
RBT02,0,72,2884.716,1854.946
RBT02,0,73,2894.712,1842.746
RBT02,0,74,2905.338,1831.09
RBT02,0,75,2916.564,1820.011
RBT02,0,76,2928.359,1809.54
RBT02,0,77,2940.691,1799.706
RBT02,0,78,2953.524,1790.536
RBT02,0,79,2966.823,1782.057
RBT02,0,80,2980.552,1774.291
RBT02,0,81,2994.67,1767.261
RBT02,0,82,3009.141,1760.985
RBT02,0,83,3023.922,1755.482
