rbt_id,from_node,source_leg,route_cost_m,angle_deg,lane,merge_x,merge_y
RBT01,MAJ009,MIN007__MAJ009,330.9,53.1,0,1109.79,2886.77
RBT01,MIN013,MAJ012__MIN013,331.5,151.9,0,934.8,2847.93
RBT01,MAJ011,MAJ012__MAJ011,555.1,126.4,0,968.94,2887.39
RBT01,DK01,DK01__MIN007,910.7,35.5,0,1135.03,2860.93
RBT01,MIN011,MIN011__MAJ012,925.3,231.6,0,965.57,2699.83
RBT01,MIN011,MIN011__MAJ007,1037.0,231.6,0,965.57,2699.83
RBT01,MIN005,MIN005__MAJ007,1052.3,287.5,0,1074.42,2679.71
RBT01,MAJ001,MAJ001__MIN007,1054.0,339.9,0,1149.85,2751.82
RBT02,MAJ002,MAJ013__MAJ002,405.4,167.6,0,2828.93,2102.2
RBT02,MAJ002,MIN001__MAJ002,661.9,167.6,0,2828.93,2102.2
RBT02,MIN006,MIN002__MIN006,691.7,342.8,0,3406.08,1949.62
RBT02,MIN003,MIN003__MAJ013,790.6,198.3,0,2837.13,1944.18
RBT02,MAJ003,MIN001__MAJ003,796.4,108.7,0,3024.93,2321.1
RBT02,MIN006,MIN006__MIN001,814.0,342.8,0,3406.08,1949.62
RBT02,MAJ010,MAJ010__MIN002,829.0,332.6,0,3385.91,1900.52
RBT02,MAJ005,MIN001__MAJ005,901.4,91.4,0,3113.55,2336.79
RBT02,DB02,DB02__MIN002,1062.7,326.8,0,3370.71,1874.52
RBT02,MIN003,MIN003__MIN002,1146.1,198.3,0,2837.13,1944.18
RBT02,BAK01,MIN002__BAK01,1236.9,246.2,0,3000.38,1764.67
RBT03,MIN009,MIN009__MAJ006,553.7,299.7,0,448.63,1602.8
RBT03,MIN009,MIN009__MIN011,690.1,299.7,0,448.63,1602.8
RBT03,DK04,DK04__MAJ006,700.0,269.0,0,307.53,1566.79
RBT03,MIN005,MIN005__MIN011,891.3,2.3,0,587.28,1852.86
RBT03,MAJ012,MIN011__MAJ012,925.3,57.8,0,458.95,2074.51
RBT03,MIN013,MIN011__MIN013,970.8,73.8,0,389.43,2105.77
RBT03,MAJ007,MIN011__MAJ007,1037.0,48.0,0,496.42,2046.2
RBT03,MIN013,MAJ006__MIN013,1202.1,73.8,0,389.43,2105.77
RBT03,EXT03,MAJ006__EXT03,1874.2,260.4,0,266.5,1570.62
RBT04,MAJ012,MAJ012__MIN013,331.5,325.4,0,781.99,2943.94
RBT04,MAJ012,MAJ012__MAJ011,555.1,325.4,0,781.99,2943.94
RBT04,DK02,DK02__MAJ011,872.3,112.6,0,660.92,3093.61
RBT04,MIN011,MIN011__MIN013,970.8,255.3,0,673.96,2903.89
RBT04,MAJ006,MAJ006__MIN013,1202.1,250.9,0,666.52,2906.15
RBT05,DB01,DB01__MIN005,413.3,266.7,0,1378.43,1609.76
RBT05,MIN003,MIN003__MIN005,795.8,354.0,0,1552.09,1757.32
RBT05,MIN011,MIN005__MIN011,891.3,163.6,0,1229.67,1820.98
RBT05,MIN009,MIN009__MIN005,916.0,206.5,0,1240.27,1700.95
RBT05,MAJ001,MIN005__MAJ001,1035.9,33.7,0,1525.21,1866.1
RBT05,MAJ007,MIN005__MAJ007,1052.3,102.0,0,1353.63,1935.87
RBT06,MAJ008,MAJ005__MAJ008,400.0,92.8,0,3108.98,3119.35
RBT06,MAJ008,MAJ003__MAJ008,593.1,92.8,0,3108.98,3119.35
RBT06,MAJ002,MAJ002__MAJ003,743.1,230.1,0,2978.67,2730.93
RBT06,MIN001,MIN001__MAJ003,796.4,271.9,0,3127.25,2679.75
RBT06,MIN004,MAJ003__MIN004,809.7,100.4,0,3080.01,3115.98
RBT06,MIN001,MIN001__MAJ005,901.4,271.9,0,3127.25,2679.75
RBT06,DK01,DK01__MAJ003,1117.8,147.5,0,2934.4,3017.91
RBT06,MIN006,MIN006__MAJ005,1392.7,306.2,0,3249.82,2722.09
RBT06,EXT05,MAJ005__EXT05,1608.5,47.7,0,3268.04,3062.27
RBT07,MAJ002,MIN003__MAJ002,625.8,48.3,0,2188.22,1810.6
RBT07,MAJ001,MIN003__MAJ001,667.1,75.5,0,2119.73,1847.23
RBT07,DB01,DB01__MIN003,764.4,196.9,0,1920.51,1639.44
RBT07,MAJ013,MIN003__MAJ013,790.6,18.8,0,2234.56,1740.64
RBT07,MIN005,MIN003__MIN005,795.8,165.5,0,1918.63,1728.92
RBT07,MIN017,MIN017__MIN003,807.8,249.3,0,2020.09,1533.13
RBT07,BAK01,MIN003__BAK01,953.8,304.5,0,2171.89,1551.58
RBT07,MIN002,MIN003__MIN002,1146.1,2.1,0,2243.24,1693.46
RBT08,MIN004,MIN004__MIN008,442.8,283.3,0,2943.12,3790.6
RBT08,DK03,DK03__MIN008,562.2,72.0,0,2956.21,4108.08
RBT08,MAJ008,MAJ008__MIN008,691.8,286.7,0,2952.45,3793.1
RBT08,DK01,DK01__MIN008,1047.0,206.5,0,2757.47,3877.59
RBT08,MIN012,MIN008__MIN012,1055.8,170.7,0,2742.34,3977.95
RBT08,EXT05,MIN008__EXT05,1149.8,5.7,0,3069.35,3967.46
RBT08,EXT07,MIN008__EXT07,1353.3,46.3,0,3019.22,4070.4
