t_s,n_airborne,n_holding,min_approach_m,n_done,n_backlog,n_active
0.0,2,0,,0,999,1
20.0,12,0,1011.6353370260478,0,989,11
40.0,22,0,170.0937682013765,0,979,21
60.0,32,1,82.32169699382804,0,969,31
80.0,42,2,87.86398627625768,0,959,41
100.0,52,5,147.55413643441685,0,949,51
120.0,62,5,18.471956688424132,0,939,61
140.0,71,8,71.56665974733602,0,930,70
160.0,80,13,24.247363376780974,0,921,79
180.0,90,17,54.852830411918234,0,911,89
200.0,92,22,33.94804296332311,0,909,91
220.0,100,26,16.778204670580223,0,901,99
240.0,107,27,3.627182362863046,0,894,106
260.0,114,36,3.627182362863046,0,887,113
280.0,118,27,3.627182362863046,0,883,117
300.0,126,37,3.627182362863046,0,875,125
320.0,127,47,3.627182362863046,2,872,126
340.0,132,39,9.292423840976655,2,867,131
360.0,137,42,3.627182362863046,2,862,136
380.0,139,41,9.292423840976655,2,858,140
400.0,139,47,9.292423840976655,3,855,142
420.0,143,59,5.7302772775182955,3,850,147
440.0,145,65,5.7302772775182955,4,847,149
460.0,143,69,5.7302772775182955,6,846,148
480.0,143,66,5.7302772775182955,6,846,148
500.0,143,70,5.7302772775182955,6,844,150
520.0,143,76,5.7302772775182955,7,843,150
540.0,142,68,5.7302772775182955,8,843,149
560.0,141,57,9.859008786677114,8,843,149
580.0,141,55,15.509518797268433,9,841,150
600.0,141,56,7.354955366673959,10,840,150
620.0,140,61,4.014741936353949,10,840,150
640.0,139,46,4.014741936353949,10,840,150
660.0,139,50,4.014741936353949,10,840,150
680.0,141,57,0.1385495239948693,11,839,150
700.0,143,55,13.247095391732342,12,838,150
720.0,143,54,11.844769804572342,13,837,150
740.0,143,53,8.802123595927887,15,835,150
760.0,142,62,5.7302772775182955,16,834,150
780.0,141,62,5.7302772775182955,17,833,150
800.0,141,61,5.7302772775182955,18,832,150
820.0,141,49,37.726878712966126,18,832,150
840.0,140,46,37.991602112775716,18,832,150
860.0,141,42,15.492719197305632,19,831,150
880.0,140,44,29.384271099619955,20,830,150
900.0,140,57,4.626045353654704,20,830,150
920.0,141,56,4.626045353654704,22,828,150
940.0,140,50,4.626045353654704,25,825,150
960.0,138,50,4.626045353654704,28,823,149
980.0,139,55,4.500551770900338,28,822,150
1000.0,139,60,5.769395708344629,29,821,150
1020.0,139,57,5.769395708344629,31,819,150
1040.0,136,62,5.769395708344629,32,819,149
1060.0,137,64,5.769395708344629,35,815,150
1080.0,136,66,5.769395708344629,37,813,150
1100.0,136,56,3.0327240370625,40,812,148
1120.0,137,50,0.2955301274104192,42,809,149
1140.0,137,50,4.1190153216408545,43,807,150
1160.0,137,54,5.769395708344629,45,806,149
1180.0,139,53,5.769395708344629,45,805,150
1200.0,141,62,5.769395708344629,45,805,150
1220.0,141,62,5.769395708344629,45,805,150
1240.0,141,62,5.769395708344629,46,804,150
1260.0,142,63,5.769395708344629,47,803,150
1280.0,143,59,5.769395708344629,47,803,150
1300.0,141,46,5.769395708344629,48,802,150
1320.0,140,46,5.769395708344629,49,801,150
1340.0,141,45,0.07244531435525935,50,800,150
1360.0,142,49,4.386284195593347,50,800,150
1380.0,142,49,8.703787300919215,52,798,150
1400.0,141,49,13.021310276963781,52,798,150
1420.0,140,54,9.444579770818407,54,796,150
1440.0,140,52,14.060692765314714,54,796,150
1460.0,140,54,11.511412524976567,54,796,150
1480.0,140,53,8.96293650398818,54,796,150
1500.0,138,47,12.721923939394927,57,794,149
1520.0,139,47,15.433671118285798,58,792,150
1540.0,140,47,11.622749308200408,58,792,150
1560.0,138,53,7.8241256767740746,60,790,150
1580.0,138,50,7.369148960240041,60,790,150
1600.0,138,59,7.369148960240041,61,789,150
1620.0,138,60,7.369148960240041,62,788,150
1640.0,139,57,7.369148960240041,64,786,150
1660.0,137,58,5.080407122699876,64,786,150
1680.0,136,52,4.626045353654704,64,786,150
1700.0,137,58,4.626045353654704,67,783,150
1720.0,137,57,4.931833117989182,68,782,150
1740.0,138,57,7.675261041582797,69,781,150
1760.0,138,52,7.675261041582797,69,781,150
1780.0,139,57,1.7881980086411233,71,779,150
1800.0,140,55,4.105243899669446,71,779,150
1820.0,140,53,1.9723857118920556,72,778,150
1840.0,141,55,1.2438450296848569,72,778,150
1860.0,141,62,7.369148960240041,74,776,150
1880.0,139,62,7.369148960240041,75,775,150
1900.0,139,61,7.369148960240041,77,773,150
1920.0,138,54,7.369148960240041,77,773,150
1940.0,140,55,2.9920391184481363,79,771,150
1960.0,140,52,7.612476190768992,80,770,150
1980.0,140,47,7.675261041582797,82,768,150
2000.0,141,47,7.675261041582797,84,766,150
2020.0,142,41,6.992326467191005,85,765,150
2040.0,143,46,7.675261041582797,86,764,150
2060.0,141,49,7.675261041582797,86,764,150
2080.0,141,45,7.675261041582797,86,764,150
2100.0,142,45,7.675261041582797,89,761,150
2120.0,143,55,21.772949551416996,89,761,150
2140.0,143,56,5.591309906919373,91,759,150
2160.0,143,52,10.324218356696985,91,759,150
2180.0,143,49,5.819776591796498,92,758,150
2200.0,144,50,2.722844110795837,92,758,150
2220.0,144,43,5.769395708344629,92,758,150
2240.0,143,53,4.055274729569289,94,757,149
2260.0,144,58,4.751731161450433,96,754,150
2280.0,143,56,4.105243899669446,97,753,150
2300.0,142,52,7.675261041582797,99,751,150
2320.0,141,51,7.675261041582797,102,748,150
2340.0,141,49,7.675261041582797,105,745,150
2360.0,141,50,7.675261041582797,106,744,150
2380.0,140,58,7.675261041582797,108,742,150
2400.0,138,53,7.675261041582797,108,742,150
2420.0,138,46,7.791209793676289,111,739,150
2440.0,137,39,1.074350196486747,112,738,150
2460.0,135,47,3.6646956916182702,113,737,150
2480.0,136,47,4.246429305245897,115,735,150
2500.0,134,43,7.369148960240041,117,734,149
2520.0,134,43,10.133516037716056,119,732,149
2540.0,134,45,7.884428377931578,119,731,150
2560.0,135,46,4.517654181044632,119,731,150
2580.0,135,42,4.631393116255705,121,729,150
2600.0,133,41,7.884428377931578,121,729,150
2620.0,132,46,7.884428377931578,122,728,150
2640.0,131,50,8.107077420863565,124,726,150
2660.0,130,53,2.6444529177211344,125,725,150
2680.0,131,46,5.347359325299517,125,725,150
2700.0,130,50,6.866625025672115,126,724,150
2720.0,130,51,7.234461073745246,126,724,150
2740.0,128,55,4.440896371784964,129,722,149
2760.0,129,53,7.234461073745246,130,720,150
2780.0,128,48,7.234461073745246,131,719,150
2800.0,127,54,0.27806489721134275,132,718,150
2820.0,127,54,3.5454883550989704,133,717,150
2840.0,126,49,7.234461073745246,134,716,150
2860.0,125,39,7.369148960240041,135,715,150
2880.0,127,38,4.767379799962062,137,713,150
2900.0,126,34,4.503141113042411,138,712,150
2920.0,126,35,7.369148960240041,142,709,149
2940.0,126,42,7.369148960240041,142,708,150
2960.0,125,41,4.509668737174372,143,707,149
2980.0,126,40,5.8906840859288785,143,706,150
3000.0,126,45,7.369148960240041,144,704,150
3020.0,124,41,7.369148960240041,146,701,149
3040.0,124,39,7.369148960240041,147,698,150
3060.0,123,34,7.880545204832638,148,698,149
3080.0,125,39,4.626045353654704,151,695,149
3100.0,126,36,0.9866452379506359,151,693,150
3120.0,126,37,2.6959688191406106,152,692,150
3140.0,125,43,3.7699547141356042,152,692,150
3160.0,127,42,12.676100674095853,152,692,150
3180.0,127,43,20.21861422420328,153,690,150
3200.0,128,39,20.69895373310387,155,688,149
3220.0,129,46,20.06532213217997,156,687,149
3240.0,129,48,7.909842432157307,159,682,149
3260.0,129,43,8.785684666124252,161,679,149
3280.0,129,35,8.318239829495244,161,678,149
3300.0,128,32,4.626045353654704,163,675,149
3320.0,127,33,23.035789667381408,164,673,149
3340.0,127,35,27.89887054321491,166,671,148
3360.0,128,33,10.323859304427787,167,669,149
3380.0,131,37,17.952103827400684,167,667,150
3400.0,132,43,20.13060750760527,167,665,150
3420.0,132,41,5.3053754317473985,168,665,149
3440.0,134,40,5.3053754317473985,169,662,150
3460.0,133,44,5.3053754317473985,170,661,150
3480.0,134,39,5.3053754317473985,171,659,150
3500.0,134,46,5.3053754317473985,172,657,150
3520.0,135,37,9.379714956737613,173,654,150
3540.0,135,37,16.258170478425814,176,652,149
3560.0,135,43,12.688307935309531,177,651,149
3580.0,134,39,12.907435191789105,177,651,148
3600.0,136,39,0.47765461753206157,179,649,148
3620.0,136,42,5.640133195727751,182,646,148
3640.0,134,40,4.094921083309099,183,646,147
3660.0,135,46,3.2250271907621757,183,645,148
3680.0,136,42,3.5648797417913958,184,643,149
3700.0,136,44,7.296810834107515,185,642,149
3720.0,136,58,4.014741936353949,187,640,149
3740.0,135,63,4.014741936353949,188,639,149
3760.0,135,57,4.014741936353949,188,639,149
3780.0,134,66,4.014741936353949,188,639,149
3800.0,134,51,2.6285162569484477,189,638,149
3820.0,134,50,7.809489065901257,190,637,149
3840.0,134,47,4.631393116255705,192,635,149
3860.0,135,41,18.171549086374135,192,635,149
3880.0,133,43,7.884428377931578,194,634,148
3900.0,133,42,2.045242047052194,195,633,148
3920.0,133,46,4.922759731896455,195,632,148
3940.0,134,49,1.4425587347074182,197,630,148
3960.0,131,42,4.76329789927379,199,630,146
3980.0,133,39,5.5860849431625965,200,627,148
4000.0,132,34,7.369148960240041,203,625,146
4020.0,134,42,2.44344234591958,203,623,148
4040.0,133,46,6.760906167562005,206,621,147
4060.0,134,45,7.369148960240041,208,618,148
4080.0,135,47,7.369148960240041,210,616,148
4100.0,132,41,9.943204714540217,210,616,148
4120.0,132,45,7.242208791905261,210,616,148
4140.0,130,43,4.415942770846664,212,614,148
4160.0,130,38,4.7790160396340235,212,613,149
4180.0,131,48,11.636089250099683,212,613,149
4200.0,129,47,11.867478807491114,213,613,148
4220.0,128,54,12.321975846568746,215,611,148
