t_s,agent_id,x,y,kind,speed_kmh,holding,level
0.0,1000000,1384.11,1446.81,patrol,50.0,False,6
0.0,0,1373.5,1446.91,outbound,30.0,False,5
20.0,1000000,1661.88,1444.39,patrol,50.0,False,6
20.0,0,1374.41,1446.9,outbound,30.0,False,5
20.0,1,2030.82,3510.52,outbound,50.0,False,3
20.0,2,1310.13,1567.28,outbound,60.0,False,3
20.0,3,300.0,3952.44,outbound,30.0,False,4
20.0,4,1386.93,1551.03,outbound,60.0,False,1
20.0,5,3071.12,4511.51,outbound,50.0,False,4
20.0,7,367.4,1198.68,outbound,50.0,False,0
20.0,9,676.11,4489.64,outbound,60.0,False,5
20.0,11,1583.52,4321.42,outbound,50.0,False,4
20.0,12,4209.94,1363.13,outbound,60.0,False,2
20.0,13,2102.12,3524.79,outbound,50.0,False,5
40.0,1000000,2438.29,2039.27,patrol,50.0,True,6
40.0,0,1427.78,1446.43,outbound,30.0,False,5
40.0,1,1943.36,3413.37,outbound,50.0,False,3
40.0,2,1159.04,1640.0,outbound,60.0,False,3
40.0,3,350.0,3897.17,outbound,30.0,False,4
40.0,4,1372.29,1684.87,outbound,60.0,False,1
40.0,5,3064.93,4448.21,outbound,50.0,False,4
40.0,7,779.61,1465.47,outbound,50.0,False,0
40.0,9,698.62,4484.82,outbound,60.0,False,5
40.0,11,1578.0,4305.29,outbound,50.0,False,4
40.0,12,3786.46,1856.51,outbound,60.0,False,2
40.0,13,2187.39,3518.9,outbound,50.0,False,5
40.0,14,4287.0,1085.23,outbound,50.0,False,4
40.0,15,349.24,4069.48,outbound,60.0,False,0
40.0,16,4357.35,1495.49,outbound,60.0,False,0
40.0,17,3181.34,4567.44,outbound,60.0,False,0
40.0,19,376.9,1211.44,outbound,50.0,False,0
40.0,23,1608.59,4291.8,outbound,60.0,False,5
40.0,25,2075.47,3522.3,outbound,50.0,False,4
40.0,18,4215.31,1358.19,outbound,30.0,False,2
40.0,29,3075.03,4566.8,outbound,60.0,False,3
40.0,8,1353.31,1453.41,outbound,30.0,False,5
