agent_id,origin,dest,mission,round_trip,arrival_s,depart_s,wait_s,launch_s,complete_s,flight_time_s,speed_kmh,air_time_s,route_len_m,flown_m,hold_s,n_holds,energy_wh,charge_s,n_charges,battery_end_pct,completed,battery_dead
0,DB01,DK01,round_trip,True,0.0,0.0,0.0,0.0,2223.0,2223.0,30.0,1836.0,7285.7,7285.7,43.0,12,63.08,280.0,1,65.6,True,False
1,DK01,DB01,round_trip,True,0.0,2.0,2.0,2.0,2652.0,2650.0,50.0,2352.0,8521.3,8521.3,1009.0,20,121.98,285.0,1,46.0,True,False
2,DB01,DK02,one_way,False,0.0,4.0,4.0,4.0,526.0,522.0,60.0,523.0,3895.9,3895.9,187.0,7,40.74,0.0,0,80.1,True,False
3,DK02,DB01,backup,False,0.0,6.0,6.0,6.0,1940.0,1934.0,30.0,1935.0,7283.9,7283.9,144.0,11,69.24,0.0,0,39.1,True,False
4,DB01,DK03,round_trip,True,0.0,8.0,8.0,8.0,2050.0,2042.0,60.0,1744.0,10620.4,10620.4,656.0,21,120.0,248.0,1,57.1,True,False
5,DK03,DB01,round_trip,True,0.0,10.0,10.0,10.0,2337.0,2327.0,50.0,2029.0,14905.7,14905.7,613.0,30,142.98,218.0,1,45.1,True,False
6,DB01,DK04,one_way,False,0.0,414.0,414.0,414.0,774.0,360.0,60.0,361.0,2546.5,2546.5,68.0,5,23.32,0.0,0,87.2,True,False
7,DK04,DB01,one_way,False,0.0,12.0,12.0,12.0,209.0,197.0,50.0,198.0,1612.5,1612.5,3.0,3,11.6,0.0,0,93.0,True,False
8,DB01,DK05,one_way,False,0.0,14.0,14.0,14.0,1676.0,1662.0,30.0,1663.0,8873.8,8873.8,259.0,12,89.46,0.0,0,46.6,True,False
9,DK05,DB01,one_way,False,0.0,16.0,16.0,16.0,947.0,931.0,60.0,932.0,5132.4,5132.4,251.0,9,53.96,0.0,0,66.6,True,False
10,DB01,DK06,one_way,False,0.0,52.0,52.0,52.0,2075.0,2023.0,30.0,2024.0,4440.0,4440.0,587.0,10,72.71,0.0,0,37.1,True,False
11,DK06,DB01,round_trip,True,0.0,18.0,18.0,18.0,2857.0,2839.0,50.0,2420.0,11016.9,11016.9,749.0,19,123.76,98.0,1,27.4,True,False
12,DB02,DK01,one_way,False,0.0,20.0,20.0,20.0,517.0,497.0,60.0,498.0,3951.2,3951.2,5.0,5,30.04,0.0,0,80.7,True,False
13,DK01,DB02,round_trip,True,0.0,22.0,22.0,22.0,2191.0,2169.0,50.0,1871.0,10936.3,10936.3,655.0,18,117.45,255.0,1,55.1,True,False
14,DB02,DK02,round_trip,True,0.0,24.0,24.0,24.0,2542.0,2518.0,50.0,2142.0,17462.9,17462.9,623.0,33,161.7,377.0,1,51.6,True,False
15,DK02,DB02,round_trip,True,0.0,26.0,26.0,26.0,2860.0,2834.0,60.0,2256.0,16352.4,16352.4,807.0,17,172.36,579.0,1,59.1,True,False
16,DB02,DK03,round_trip,True,0.0,28.0,28.0,28.0,1242.0,1214.0,60.0,916.0,10315.5,10315.5,117.0,9,84.77,136.0,1,70.7,True,False
17,DK03,DB02,round_trip,True,0.0,30.0,30.0,30.0,1450.0,1420.0,60.0,1012.0,10798.4,10798.4,189.0,9,92.8,111.0,1,64.7,True,False
18,DB02,DK04,one_way,False,0.0,38.0,38.0,38.0,1222.0,1184.0,30.0,1185.0,6560.4,6560.4,15.0,11,55.35,0.0,0,62.2,True,False
19,DK04,DB02,round_trip,True,0.0,32.0,32.0,32.0,2648.0,2616.0,50.0,2188.0,13751.8,13751.8,813.0,25,147.04,335.0,1,51.0,True,False
20,DB02,DK05,round_trip,True,0.0,74.0,74.0,74.0,4308.0,4234.0,30.0,3519.0,15063.0,15063.0,363.0,24,147.17,716.0,1,48.3,True,False
21,DK05,DB02,one_way,False,0.0,34.0,34.0,34.0,1963.0,1929.0,50.0,1930.0,7719.0,7719.0,1294.0,22,133.72,0.0,0,34.6,True,False
22,DB02,DK06,backup,False,0.0,78.0,78.0,78.0,1676.0,1598.0,30.0,1599.0,5824.9,5824.9,66.0,10,52.37,0.0,0,49.6,True,False
23,DK06,DB02,round_trip,True,0.0,36.0,36.0,36.0,2521.0,2485.0,60.0,2146.0,11781.4,11781.4,1079.0,16,154.59,306.0,1,43.9,True,False
24,DB01,DK01,round_trip,True,0.0,442.0,442.0,442.0,2825.0,2383.0,60.0,1870.0,9466.5,9466.5,905.0,18,126.54,514.0,1,75.3,True,False
25,DK01,DB01,one_way,False,0.0,40.0,40.0,40.0,572.0,532.0,50.0,533.0,3247.6,3247.6,88.0,7,28.37,0.0,0,81.8,True,False
26,DB01,DK02,one_way,False,0.0,492.0,492.0,492.0,1708.0,1216.0,60.0,1217.0,9317.4,9317.4,527.0,15,102.32,0.0,0,52.3,True,False
27,DK02,DB01,round_trip,True,0.0,68.0,68.0,68.0,2688.0,2620.0,30.0,2317.0,12308.9,12308.9,219.0,21,115.52,304.0,1,51.4,True,False
28,DB01,DK03,round_trip,True,0.0,506.0,506.0,506.0,3288.0,2782.0,60.0,2264.0,14582.6,14582.6,809.0,21,159.17,519.0,1,56.5,True,False
29,DK03,DB01,one_way,False,0.0,42.0,42.0,42.0,713.0,671.0,60.0,672.0,5937.1,5937.1,241.0,15,59.4,0.0,0,73.0,True,False
30,DB01,DK04,round_trip,True,0.0,515.0,515.0,515.0,1339.0,824.0,60.0,489.0,4486.5,4486.5,119.0,10,41.03,20.0,1,81.7,True,False
31,DK04,DB01,backup,False,0.0,44.0,44.0,44.0,434.0,390.0,50.0,391.0,2696.6,2696.6,111.0,6,25.87,0.0,0,85.9,True,False
32,DB01,DK05,one_way,False,0.0,526.0,526.0,526.0,1216.0,690.0,60.0,691.0,3568.8,3568.8,403.0,7,51.48,0.0,0,75.0,True,False
33,DK05,DB01,round_trip,True,0.0,46.0,46.0,46.0,4676.0,4630.0,30.0,3947.0,14389.4,14389.4,412.0,19,144.58,684.0,1,32.9,True,False
34,DB01,DK06,backup,False,0.0,86.0,86.0,86.0,1276.0,1190.0,30.0,1191.0,5595.2,5595.2,189.0,8,57.98,0.0,0,62.3,True,False
35,DK06,DB01,return,False,0.0,48.0,48.0,48.0,487.0,439.0,60.0,440.0,1888.2,1888.2,3.0,3,14.39,0.0,0,85.6,True,False
36,DB02,DK01,one_way,False,0.0,134.0,134.0,134.0,2724.0,2590.0,30.0,2591.0,6657.8,6657.8,1293.0,10,134.26,0.0,0,18.0,True,False
37,DK01,DB02,round_trip,True,0.0,50.0,50.0,50.0,2601.0,2551.0,50.0,2113.0,10307.0,10307.0,930.0,22,129.8,400.0,1,60.0,True,False
38,DB02,DK02,round_trip,True,0.0,136.0,136.0,136.0,4012.0,3876.0,30.0,3232.0,18075.3,18075.3,360.0,30,171.99,645.0,1,49.8,True,False
39,DK02,DB02,one_way,False,0.0,130.0,130.0,130.0,1693.0,1563.0,30.0,1564.0,7509.1,7509.1,342.0,14,83.21,0.0,0,50.2,True,False
