t_s,n_airborne,n_holding,min_approach_m,n_done,n_backlog,n_active
0.0,2,0,,0,119,1
20.0,12,0,36.937656362244276,0,109,11
40.0,22,2,83.86353040125485,0,99,21
60.0,32,1,19.728044149193547,0,89,31
80.0,42,3,31.74026159570267,0,79,41
100.0,52,5,13.479836380810692,0,69,51
120.0,58,8,15.002499572066506,0,63,57
140.0,65,10,16.812559105625567,0,56,64
160.0,71,11,13.317851716764409,0,50,70
180.0,74,14,19.162585787385584,0,47,73
200.0,79,24,10.592903928565482,0,42,78
220.0,79,27,19.936835018788607,1,41,78
240.0,83,27,19.936835018788607,1,37,82
260.0,86,30,19.936835018788607,1,34,85
280.0,86,23,4.770347641574162,1,34,85
300.0,87,31,77.71601219874327,1,32,87
320.0,88,27,12.817242827780195,1,31,88
340.0,91,29,50.71115907209394,1,28,91
360.0,91,35,18.28693581267692,1,28,91
380.0,91,41,5.7302772775182955,1,28,91
400.0,94,38,5.7302772775182955,1,25,94
420.0,94,44,5.7302772775182955,3,23,94
440.0,92,47,5.7302772775182955,4,23,93
460.0,94,45,5.7302772775182955,4,21,95
480.0,95,37,5.7302772775182955,4,20,96
500.0,96,38,23.782729950235414,5,18,97
520.0,95,35,6.930356549610306,6,16,98
540.0,95,39,36.4201198103015,7,13,100
560.0,96,34,92.09440686156186,7,12,101
580.0,95,32,73.23627928219103,8,12,100
600.0,95,32,66.62513944017307,9,11,100
620.0,96,37,14.577222405541542,9,10,101
640.0,97,29,21.4674313688588,9,9,102
660.0,97,35,88.69195745000782,9,8,103
680.0,98,32,69.2735024439087,9,7,104
700.0,99,36,50.507452996458746,9,6,105
720.0,100,38,67.90372132789145,11,3,106
740.0,101,41,7.503630982549017,11,2,107
760.0,102,40,42.174136809775554,11,0,109
780.0,98,43,0.0,14,0,106
800.0,97,40,0.0,14,0,106
820.0,98,43,0.0,14,0,106
840.0,100,51,0.0,14,0,106
860.0,100,42,0.0,15,0,105
880.0,98,47,9.067675781434682,15,0,105
900.0,97,42,9.067675781434682,15,0,105
920.0,96,43,0.0,15,0,105
940.0,97,45,0.0,15,0,105
960.0,96,44,19.49297428152429,16,0,104
980.0,96,38,0.0,17,0,103
1000.0,96,44,0.0,17,0,103
1020.0,95,46,0.0,17,0,103
1040.0,94,45,0.0,17,0,103
1060.0,93,38,10.33116499637763,18,0,102
1080.0,92,39,8.542301093829913,19,0,101
1100.0,91,44,6.794926792480831,20,0,100
1120.0,92,40,5.131601757246093,20,0,100
1140.0,90,28,3.8727598439715605,20,0,100
1160.0,88,35,41.96551926953229,21,0,99
1180.0,90,25,27.174053391470153,21,0,99
1200.0,89,26,42.409733541577495,22,0,98
1220.0,85,31,42.409733541577495,26,0,94
1240.0,82,34,42.409733541577495,27,0,93
1260.0,79,34,39.66281834247137,28,0,92
1280.0,78,27,0.0,29,0,91
1300.0,77,22,0.0,30,0,90
1320.0,77,32,0.0,30,0,90
1340.0,75,29,9.329794582389514,32,0,88
1360.0,74,26,6.201875728195836,33,0,87
1380.0,73,29,17.18410097282096,35,0,85
1400.0,72,29,64.9329176346063,35,0,85
1420.0,71,30,71.75776210111117,36,0,84
1440.0,69,28,47.81309968377418,36,0,84
1460.0,70,26,50.30727143152865,37,0,83
1480.0,71,26,110.0254581741675,37,0,83
1500.0,71,30,16.212852299213434,37,0,83
1520.0,72,28,42.409733541577495,37,0,83
1540.0,71,22,79.22026295947421,39,0,81
1560.0,69,24,97.83107192513927,39,0,81
1580.0,68,22,11.432924936148318,40,0,80
1600.0,64,23,15.238647697097097,43,0,77
1620.0,64,21,19.07334391183446,43,0,77
1640.0,62,19,59.21533073315083,45,0,75
1660.0,62,22,64.84575974753984,45,0,75
1680.0,58,22,57.80205842271292,49,0,71
1700.0,57,20,56.523534529284056,50,0,70
1720.0,52,19,47.182301009587945,53,0,67
1740.0,53,16,41.96776844370232,53,0,67
1760.0,52,17,59.6614803012559,55,0,65
1780.0,52,16,60.41250459230243,55,0,65
1800.0,53,15,18.21352219254613,55,0,65
