t_s,agent_id,x,y,kind,speed_kmh,holding,level
0.0,1000000,1384.55,1496.81,patrol,50.0,False,6
0.0,0,1373.72,1496.91,outbound,30.0,False,5
20.0,1000000,1662.31,1494.38,patrol,50.0,False,6
20.0,0,1379.83,1496.85,outbound,30.0,False,5
20.0,1,2115.8,3530.18,outbound,50.0,False,3
20.0,2,1268.83,1535.77,outbound,60.0,False,3
20.0,3,340.52,3938.06,outbound,30.0,False,4
20.0,4,1336.43,1552.93,outbound,60.0,False,1
20.0,5,3116.13,4458.08,outbound,50.0,False,4
20.0,7,339.73,1225.68,outbound,50.0,False,0
20.0,8,1404.75,1469.59,outbound,30.0,False,5
20.0,9,738.23,4527.47,outbound,60.0,False,5
20.0,11,1626.21,4291.73,outbound,50.0,False,4
20.0,12,4199.24,1305.02,outbound,60.0,False,2
40.0,1000000,1834.2,1383.3,patrol,50.0,False,6
40.0,0,1442.1,1496.31,outbound,30.0,False,5
40.0,1,2112.09,3526.06,outbound,50.0,False,3
40.0,2,1130.72,1590.0,outbound,60.0,False,3
40.0,3,428.59,3827.0,outbound,30.0,False,4
40.0,4,1324.41,1662.69,outbound,60.0,False,1
40.0,5,3099.45,4287.47,outbound,50.0,True,4
40.0,7,556.35,1191.95,outbound,50.0,False,0
40.0,8,1451.36,1412.96,outbound,30.0,False,5
40.0,9,980.7,4475.55,outbound,60.0,False,5
40.0,11,1584.35,4169.47,outbound,50.0,False,4
40.0,12,4097.04,1436.14,outbound,60.0,False,2
40.0,13,2114.53,3574.06,outbound,50.0,False,5
40.0,14,4326.78,1169.64,outbound,50.0,False,4
40.0,15,385.36,4194.59,outbound,60.0,False,0
40.0,16,4269.93,1455.07,outbound,60.0,False,0
40.0,17,3191.76,4630.86,outbound,60.0,False,0
40.0,19,330.83,1233.28,outbound,50.0,True,0
40.0,21,745.55,4498.45,outbound,50.0,False,5
40.0,23,1667.83,4308.18,outbound,60.0,False,5
40.0,18,4195.23,1308.71,outbound,30.0,False,2
40.0,25,2125.01,3549.77,outbound,50.0,False,4
60.0,1000000,2032.35,1207.23,patrol,50.0,False,6
60.0,0,1513.39,1495.69,outbound,30.0,False,5
60.0,1,2108.38,3521.95,outbound,50.0,False,3
60.0,2,940.41,1590.0,outbound,60.0,False,3
60.0,3,450.0,3688.59,outbound,30.0,False,4
60.0,4,1340.91,1738.73,outbound,60.0,False,1
60.0,5,2899.59,4240.01,outbound,50.0,False,4
60.0,7,683.94,1363.44,outbound,50.0,False,0
60.0,8,1509.43,1342.4,outbound,30.0,False,5
60.0,9,1231.59,4421.83,outbound,60.0,False,5
60.0,11,1480.89,4016.74,outbound,50.0,False,4
60.0,12,4152.31,1620.58,outbound,60.0,False,2
60.0,13,2133.82,3572.72,outbound,50.0,False,5
60.0,14,4354.07,943.94,outbound,50.0,False,4
60.0,15,555.81,4407.48,outbound,60.0,False,0
60.0,16,4413.11,1668.06,outbound,60.0,False,0
60.0,17,3434.18,4768.52,outbound,60.0,False,0
60.0,19,330.83,1233.28,outbound,50.0,True,0
60.0,21,915.71,4385.79,outbound,50.0,False,5
60.0,23,1768.07,4181.26,outbound,60.0,False,5
60.0,18,4119.15,1378.75,outbound,30.0,False,2
60.0,25,2125.23,3536.64,outbound,50.0,False,4
60.0,29,3106.32,4357.71,outbound,60.0,False,4
60.0,31,501.42,1120.21,outbound,50.0,False,5
60.0,33,764.89,4541.86,outbound,30.0,False,0
60.0,35,1723.61,4284.38,outbound,60.0,False,5
60.0,37,2092.64,3574.36,outbound,50.0,False,0
60.0,10,1342.43,1498.06,outbound,30.0,False,1
60.0,41,3057.56,4505.63,outbound,50.0,False,3
60.0,43,305.38,1071.59,outbound,60.0,False,4
60.0,45,715.27,4532.39,outbound,60.0,False,5
60.0,49,2114.21,3570.57,outbound,60.0,False,5
80.0,1000000,2283.36,1292.07,patrol,50.0,False,6
80.0,0,1599.88,1494.93,outbound,30.0,False,5
80.0,1,2104.67,3517.83,outbound,50.0,False,3
80.0,2,788.15,1474.01,outbound,60.0,False,3
80.0,3,489.96,3560.04,outbound,30.0,False,4
80.0,4,1434.75,1787.45,outbound,60.0,False,1
80.0,5,2805.15,4035.95,outbound,50.0,False,4
80.0,7,625.7,1461.94,outbound,50.0,False,0
80.0,8,1580.9,1255.56,outbound,30.0,False,5
80.0,9,1467.08,4371.4,outbound,60.0,False,5
80.0,11,1451.09,3791.91,outbound,50.0,False,4
80.0,12,3974.33,1806.48,outbound,60.0,False,2
80.0,13,2148.56,3571.7,outbound,50.0,False,5
80.0,14,4380.06,711.16,outbound,50.0,False,4
80.0,15,654.88,4531.2,outbound,60.0,True,0
80.0,16,4568.81,1875.38,outbound,60.0,False,0
80.0,17,3691.06,4914.39,outbound,60.0,False,0
80.0,19,523.36,1181.45,outbound,50.0,False,1
80.0,21,1069.17,4277.24,outbound,50.0,False,0
80.0,23,1862.34,4016.29,outbound,60.0,False,5
80.0,18,4087.53,1426.38,outbound,30.0,False,2
80.0,25,2125.48,3522.06,outbound,50.0,False,4
80.0,29,3099.45,4287.47,outbound,60.0,True,4
80.0,31,743.83,1053.17,outbound,50.0,False,5
80.0,33,891.22,4543.66,outbound,30.0,False,0
80.0,35,1885.9,4192.96,outbound,60.0,False,5
80.0,37,2104.61,3580.61,outbound,50.0,False,0
