agent_id,origin,dest,mission,round_trip,arrival_s,depart_s,wait_s,launch_s,complete_s,flight_time_s,speed_kmh,air_time_s,route_len_m,flown_m,hold_s,n_holds,energy_wh,charge_s,n_charges,battery_end_pct,completed,battery_dead
0,DB01,DK01,round_trip,True,0.0,0.0,0.0,0.0,2875.0,2875.0,30.0,2454.0,5281.6,5281.6,677.0,9,85.2,226.0,1,42.6,True,False
1,DK01,DB01,round_trip,True,0.0,2.0,2.0,2.0,18201.0,18199.0,50.0,1319.0,5299.3,5299.3,6.0,6,37.88,104.0,1,65.4,True,False
2,DB01,DK02,one_way,False,0.0,4.0,4.0,4.0,707.0,703.0,60.0,704.0,3440.2,3440.2,5.0,5,26.19,0.0,0,75.5,True,False
3,DK02,DB01,backup,False,0.0,6.0,6.0,6.0,3245.0,3239.0,30.0,3240.0,3683.0,3381.4,1380.0,6,112.39,0.0,0,-0.0,False,True
4,DB01,DK03,round_trip,True,0.0,8.0,8.0,8.0,3517.0,3509.0,60.0,3211.0,11420.1,11240.8,1430.0,16,171.97,164.0,1,-0.0,False,True
5,DK03,DB01,round_trip,True,0.0,10.0,10.0,10.0,2452.0,2442.0,50.0,1996.0,7924.6,7924.6,701.0,15,98.94,178.0,1,47.7,True,False
6,DB01,DK04,one_way,False,0.0,668.0,668.0,668.0,2374.0,1706.0,60.0,1707.0,10008.9,10008.9,904.0,17,130.56,0.0,0,33.5,True,False
7,DK04,DB01,one_way,False,0.0,12.0,12.0,12.0,944.0,932.0,50.0,933.0,1686.7,1686.7,3.0,3,12.12,0.0,0,70.9,True,False
8,DB01,DK05,one_way,False,0.0,42.0,42.0,42.0,1985.0,1943.0,30.0,1944.0,4543.2,4543.2,415.0,6,63.06,0.0,0,39.5,True,False
9,DK05,DB01,one_way,False,0.0,14.0,14.0,14.0,2039.0,2025.0,60.0,2026.0,6214.5,6214.5,1349.0,13,129.2,0.0,0,30.9,True,False
10,DB01,DK06,one_way,False,0.0,52.0,52.0,52.0,1886.0,1834.0,30.0,1835.0,5003.2,5003.2,187.0,7,52.94,0.0,0,42.9,True,False
11,DK06,DB01,round_trip,True,0.0,16.0,16.0,16.0,18569.0,18553.0,50.0,3015.0,7469.5,7469.5,1099.0,13,120.04,749.0,1,64.5,True,False
12,DB02,DK01,one_way,False,0.0,18.0,18.0,18.0,308.0,290.0,60.0,291.0,3263.7,3263.7,4.0,4,24.8,0.0,0,87.9,True,False
13,DK01,DB02,round_trip,True,0.0,20.0,20.0,20.0,1055.0,1035.0,50.0,737.0,6545.0,6545.0,102.0,10,52.57,35.0,1,75.3,True,False
14,DB02,DK02,round_trip,True,0.0,22.0,22.0,22.0,2436.0,2414.0,50.0,2077.0,11351.6,11351.6,1028.0,24,143.18,220.0,1,45.5,True,False
15,DK02,DB02,round_trip,True,0.0,24.0,24.0,24.0,1686.0,1662.0,60.0,1308.0,17325.7,17325.7,197.0,17,142.41,312.0,1,57.6,True,False
16,DB02,DK03,round_trip,True,0.0,26.0,26.0,26.0,1040.0,1014.0,60.0,716.0,11201.0,11201.0,11.0,10,84.96,125.0,1,69.1,True,False
17,DK03,DB02,round_trip,True,0.0,28.0,28.0,28.0,1041.0,1013.0,60.0,715.0,11201.0,11201.0,10.0,10,84.9,132.0,1,69.7,True,False
18,DB02,DK04,one_way,False,0.0,46.0,46.0,46.0,2136.0,2090.0,30.0,2091.0,6711.2,6711.2,219.0,10,69.07,0.0,0,34.8,True,False
19,DK04,DB02,round_trip,True,0.0,30.0,30.0,30.0,2951.0,2921.0,50.0,2922.0,20990.5,9996.9,1251.0,13,147.22,0.0,0,-0.0,False,True
20,DB02,DK05,round_trip,True,0.0,60.0,60.0,60.0,2641.0,2581.0,30.0,2283.0,10817.4,10817.4,398.0,15,114.08,249.0,1,48.2,True,False
21,DK05,DB02,one_way,False,0.0,32.0,32.0,32.0,1075.0,1043.0,50.0,1044.0,8178.0,8178.0,347.0,12,79.1,0.0,0,59.8,True,False
22,DB02,DK06,backup,False,0.0,86.0,86.0,86.0,960.0,874.0,30.0,875.0,4788.0,4788.0,68.0,8,43.89,0.0,0,72.0,True,False
23,DK06,DB02,round_trip,True,0.0,34.0,34.0,34.0,1251.0,1217.0,60.0,919.0,13154.2,13154.2,65.0,12,102.95,164.0,1,63.8,True,False
24,DB01,DK01,round_trip,True,0.0,986.0,986.0,986.0,4263.0,3277.0,60.0,2720.0,18569.0,18569.0,1246.0,26,215.87,558.0,1,35.9,True,False
25,DK01,DB01,one_way,False,0.0,36.0,36.0,36.0,2699.0,2663.0,50.0,2664.0,5186.7,5186.7,939.0,8,94.1,0.0,0,16.3,True,False
26,DB01,DK02,one_way,False,0.0,1041.0,1041.0,1041.0,1873.0,832.0,60.0,833.0,12106.1,12106.1,13.0,13,91.89,0.0,0,55.5,True,False
27,DK02,DB01,round_trip,True,0.0,72.0,72.0,72.0,6652.0,6580.0,30.0,4653.0,15657.9,15657.9,1660.0,25,231.37,971.0,1,34.3,True,False
28,DB01,DK03,round_trip,True,0.0,1236.0,1236.0,1236.0,3258.0,2022.0,60.0,1689.0,19800.0,19800.0,495.0,25,179.24,334.0,1,40.6,True,False
29,DK03,DB01,one_way,False,0.0,38.0,38.0,38.0,1507.0,1469.0,60.0,1470.0,8776.2,8776.2,759.0,13,112.42,0.0,0,45.4,True,False
30,DB01,DK04,round_trip,True,0.0,1585.0,1585.0,1585.0,5615.0,4030.0,60.0,3539.0,11700.6,11700.6,1593.0,20,185.39,399.0,1,9.4,True,False
31,DK04,DB01,backup,False,0.0,40.0,40.0,40.0,3020.0,2980.0,50.0,2981.0,5554.1,3320.6,1891.0,7,139.07,0.0,0,-0.0,False,True
32,DB01,DK05,one_way,False,0.0,1887.0,1887.0,1887.0,3298.0,1411.0,60.0,1412.0,7178.5,7178.5,702.0,11,96.92,0.0,0,47.9,True,False
33,DK05,DB01,round_trip,True,0.0,44.0,44.0,44.0,3269.0,3225.0,30.0,3226.0,10396.0,4821.9,1715.0,10,144.82,0.0,0,-0.0,False,True
34,DB01,DK06,backup,False,0.0,74.0,74.0,74.0,1417.0,1343.0,30.0,1344.0,3879.5,3879.5,277.0,6,49.12,0.0,0,57.9,True,False
35,DK06,DB01,return,False,0.0,48.0,48.0,48.0,311.0,263.0,60.0,264.0,2683.7,2683.7,42.0,4,22.76,0.0,0,89.0,True,False
36,DB02,DK01,one_way,False,0.0,126.0,126.0,126.0,799.0,673.0,30.0,674.0,3281.3,3281.3,134.0,6,35.42,0.0,0,78.5,True,False
37,DK01,DB02,round_trip,True,0.0,50.0,50.0,50.0,1110.0,1060.0,50.0,762.0,6778.7,6778.7,91.0,11,53.55,39.0,1,74.7,True,False
38,DB02,DK02,round_trip,True,0.0,143.0,143.0,143.0,3880.0,3737.0,30.0,3096.0,11176.4,11176.4,515.0,17,124.21,642.0,1,56.2,True,False
39,DK02,DB02,one_way,False,0.0,137.0,137.0,137.0,1235.0,1098.0,30.0,1099.0,5323.2,5323.2,79.0,10,49.0,0.0,0,65.2,True,False
40,DB02,DK03,round_trip,True,0.0,167.0,167.0,167.0,2096.0,1929.0,30.0,1598.0,8101.1,8101.1,339.0,17,87.94,104.0,1,57.6,True,False
41,DK03,DB02,one_way,False,0.0,54.0,54.0,54.0,446.0,392.0,50.0,393.0,3599.8,3599.8,60.0,6,29.15,0.0,0,85.0,True,False
42,DB02,DK04,backup,False,0.0,62.0,62.0,62.0,2319.0,2257.0,60.0,2258.0,8598.4,8598.4,1237.0,12,140.29,0.0,0,19.4,True,False
43,DK04,DB02,round_trip,True,0.0,70.0,70.0,70.0,4306.0,4236.0,60.0,3835.0,17776.5,14100.3,2023.0,25,229.73,402.0,1,-0.0,False,True
44,DB02,DK05,round_trip,True,0.0,88.0,88.0,88.0,2856.0,2768.0,50.0,2230.0,16592.7,16592.7,560.0,25,151.68,539.0,1,60.9,True,False
45,DK05,DB02,one_way,False,0.0,56.0,56.0,56.0,695.0,639.0,60.0,640.0,8098.1,8098.1,117.0,7,68.09,0.0,0,67.0,True,False
46,DB02,DK06,return,False,0.0,210.0,210.0,210.0,765.0,555.0,30.0,556.0,2756.3,2756.3,48.0,6,25.81,0.0,0,82.4,True,False
