pair,seq,x,y,risk,conflict
DK04_to_DB02,0,300.0,1150.0,0.3114,0.0744
DK04_to_DB02,1,350.0,1200.0,0.2636,0.1
DK04_to_DB02,2,400.0,1250.0,0.2231,0.1491
DK04_to_DB02,3,450.0,1250.0,0.2231,0.164
DK04_to_DB02,4,500.0,1250.0,0.2211,0.1744
DK04_to_DB02,5,550.0,1250.0,0.2151,0.1785
DK04_to_DB02,6,600.0,1200.0,0.2407,0.1298
DK04_to_DB02,7,650.0,1150.0,0.2609,0.088
DK04_to_DB02,8,700.0,1150.0,0.2384,0.0765
DK04_to_DB02,9,750.0,1150.0,0.2151,0.0646
DK04_to_DB02,10,800.0,1150.0,0.1937,0.0426
DK04_to_DB02,11,850.0,1200.0,0.2407,0.99
DK04_to_DB02,12,900.0,1250.0,0.3006,0.99
DK04_to_DB02,13,950.0,1250.0,0.3269,0.99
DK04_to_DB02,14,1000.0,1250.0,0.3485,0.99
DK04_to_DB02,15,1050.0,1250.0,0.3628,0.99
DK04_to_DB02,16,1100.0,1250.0,0.3679,0.99
DK04_to_DB02,17,1150.0,1250.0,0.3679,0.99
DK04_to_DB02,18,1200.0,1250.0,0.3679,0.99
DK04_to_DB02,19,1250.0,1250.0,0.3679,0.99
DK04_to_DB02,20,1300.0,1250.0,0.3679,0.99
DK04_to_DB02,21,1350.0,1250.0,0.3679,0.99
DK04_to_DB02,22,1400.0,1250.0,0.3628,0.99
DK04_to_DB02,23,1450.0,1250.0,0.3485,0.0766
DK04_to_DB02,24,1500.0,1200.0,0.3784,0.0687
DK04_to_DB02,25,1550.0,1200.0,0.344,0.0764
DK04_to_DB02,26,1600.0,1200.0,0.3077,0.0908
DK04_to_DB02,27,1650.0,1150.0,0.3077,0.0994
DK04_to_DB02,28,1700.0,1150.0,0.2721,0.108
DK04_to_DB02,29,1750.0,1150.0,0.2384,0.1146
DK04_to_DB02,30,1800.0,1200.0,0.1889,0.1125
DK04_to_DB02,31,1850.0,1250.0,0.17,0.1083
DK04_to_DB02,32,1900.0,1300.0,0.1648,0.1151
DK04_to_DB02,33,1950.0,1350.0,0.1661,0.1322
DK04_to_DB02,34,2000.0,1400.0,0.2057,0.167
DK04_to_DB02,35,2050.0,1400.0,0.2407,0.1647
DK04_to_DB02,36,2100.0,1400.0,0.281,0.99
DK04_to_DB02,37,2150.0,1400.0,0.3269,0.99
DK04_to_DB02,38,2200.0,1400.0,0.3784,0.1122
DK04_to_DB02,39,2250.0,1400.0,0.4346,0.0954
DK04_to_DB02,40,2300.0,1400.0,0.4931,0.08
DK04_to_DB02,41,2350.0,1400.0,0.5483,0.0666
DK04_to_DB02,42,2400.0,1450.0,0.6889,0.99
DK04_to_DB02,43,2450.0,1450.0,0.79,0.99
DK04_to_DB02,44,2500.0,1450.0,0.8465,0.99
DK04_to_DB02,45,2550.0,1450.0,0.8465,0.99
DK04_to_DB02,46,2600.0,1450.0,0.8465,0.0238
DK04_to_DB02,47,2650.0,1450.0,0.8465,0.0225
DK04_to_DB02,48,2700.0,1450.0,0.8465,0.0216
DK04_to_DB02,49,2750.0,1500.0,0.8465,0.0318
DK04_to_DB02,50,2800.0,1550.0,0.8465,0.0432
DK04_to_DB02,51,2850.0,1600.0,0.79,0.06
DK04_to_DB02,52,2900.0,1650.0,0.7165,0.086
DK04_to_DB02,53,2950.0,1700.0,0.5903,0.1519
DK04_to_DB02,54,3000.0,1700.0,0.503,0.2165
DK04_to_DB02,55,3050.0,1700.0,0.4275,0.258
DK04_to_DB02,56,3100.0,1700.0,0.3628,0.3012
DK04_to_DB02,57,3150.0,1700.0,0.3077,0.3409
DK04_to_DB02,58,3200.0,1650.0,0.2636,0.99
DK04_to_DB02,59,3250.0,1650.0,0.253,0.2864
DK04_to_DB02,60,3300.0,1650.0,0.2609,0.2777
DK04_to_DB02,61,3350.0,1650.0,0.2636,0.2589
DK04_to_DB02,62,3400.0,1600.0,0.2231,0.1734
DK04_to_DB02,63,3450.0,1550.0,0.1889,0.1266
DK04_to_DB02,64,3500.0,1550.0,0.1889,0.1186
DK04_to_DB02,65,3550.0,1550.0,0.1873,0.1138
DK04_to_DB02,66,3600.0,1500.0,0.1551,0.0963
DK04_to_DB02,67,3650.0,1500.0,0.1495,0.1
DK04_to_DB02,68,3700.0,1500.0,0.1422,0.1045
DK04_to_DB02,69,3750.0,1450.0,0.1587,0.078
DK04_to_DB02,70,3800.0,1450.0,0.1551,0.0925
DK04_to_DB02,71,3850.0,1400.0,0.1755,0.0836
DK04_to_DB02,72,3900.0,1400.0,0.1661,0.0929
DK04_to_DB02,73,3950.0,1350.0,0.1798,0.0834
DK04_to_DB02,74,4000.0,1300.0,0.1889,0.0795
DK04_to_DB02,75,4050.0,1300.0,0.17,0.0843
DK04_to_DB02,76,4100.0,1300.0,0.1517,0.0862
DK04_to_DB02,77,4150.0,1300.0,0.1551,0.0848
DK04_to_DB02,78,4200.0,1300.0,0.1798,0.072
DK04_to_DB01,0,300.0,1150.0,0.3114,0.0744
DK04_to_DB01,1,350.0,1200.0,0.2636,0.1
DK04_to_DB01,2,400.0,1250.0,0.2231,0.1491
DK04_to_DB01,3,450.0,1250.0,0.2231,0.164
DK04_to_DB01,4,500.0,1250.0,0.2211,0.1744
DK04_to_DB01,5,550.0,1250.0,0.2151,0.1785
DK04_to_DB01,6,600.0,1250.0,0.2057,0.1647
DK04_to_DB01,7,650.0,1250.0,0.1937,0.1481
DK04_to_DB01,8,700.0,1250.0,0.2151,0.1277
DK04_to_DB01,9,750.0,1250.0,0.2384,0.1058
DK04_to_DB01,10,800.0,1300.0,0.3006,0.99
DK04_to_DB01,11,850.0,1350.0,0.3784,0.99
DK04_to_DB01,12,900.0,1400.0,0.4746,0.99
DK04_to_DB01,13,950.0,1400.0,0.503,0.99
DK04_to_DB01,14,1000.0,1450.0,0.6241,0.99
DK04_to_DB01,15,1050.0,1450.0,0.6889,0.99
DK04_to_DB01,16,1100.0,1450.0,0.7165,0.99
DK04_to_DB01,17,1150.0,1450.0,0.7165,0.99
DK04_to_DB01,18,1200.0,1450.0,0.7165,0.99
DK04_to_DB01,19,1250.0,1450.0,0.7165,0.99
DK04_to_DB01,20,1300.0,1450.0,0.7165,0.1926
DK04_to_DB01,21,1350.0,1450.0,0.7165,0.2179
DK04_to_DK01,0,300.0,1150.0,0.3114,0.0744
DK04_to_DK01,1,250.0,1200.0,0.2636,0.0706
DK04_to_DK01,2,200.0,1250.0,0.2211,0.0601
DK04_to_DK01,3,250.0,1300.0,0.1889,0.0819
DK04_to_DK01,4,250.0,1350.0,0.1599,0.0817
DK04_to_DK01,5,250.0,1400.0,0.1353,0.0802
DK04_to_DK01,6,250.0,1450.0,0.1199,0.0783
DK04_to_DK01,7,250.0,1500.0,0.1344,0.0771
DK04_to_DK01,8,250.0,1550.0,0.1517,0.08
DK04_to_DK01,9,250.0,1600.0,0.17,0.0861
DK04_to_DK01,10,300.0,1650.0,0.2151,0.1129
DK04_to_DK01,11,300.0,1700.0,0.2384,0.1437
DK04_to_DK01,12,300.0,1750.0,0.2609,0.1626
DK04_to_DK01,13,350.0,1800.0,0.3269,0.1998
DK04_to_DK01,14,350.0,1850.0,0.3485,0.2208
DK04_to_DK01,15,350.0,1900.0,0.3784,0.2547
DK04_to_DK01,16,350.0,1950.0,0.4076,0.264
DK04_to_DK01,17,350.0,2000.0,0.4275,0.2661
DK04_to_DK01,18,400.0,2050.0,0.5134,0.3108
DK04_to_DK01,19,400.0,2100.0,0.5134,0.2721
DK04_to_DK01,20,450.0,2150.0,0.6065,0.2443
DK04_to_DK01,21,500.0,2200.0,0.7165,0.2019
DK04_to_DK01,22,550.0,2250.0,0.8465,0.1571
DK04_to_DK01,23,550.0,2300.0,0.8465,0.1063
DK04_to_DK01,24,600.0,2350.0,0.8465,0.0875
DK04_to_DK01,25,650.0,2400.0,0.8465,0.0817
DK04_to_DK01,26,700.0,2450.0,0.8465,0.0811
DK04_to_DK01,27,750.0,2500.0,0.8465,0.0797
DK04_to_DK01,28,800.0,2550.0,0.7165,0.0953
DK04_to_DK01,29,850.0,2600.0,0.6065,0.1097
DK04_to_DK01,30,900.0,2650.0,0.5134,0.132
DK04_to_DK01,31,950.0,2700.0,0.6065,0.1715
DK04_to_DK01,32,1000.0,2750.0,0.7165,0.2162
DK04_to_DK01,33,1050.0,2800.0,0.8465,0.2294
DK04_to_DK01,34,1100.0,2800.0,0.8465,0.2349
DK04_to_DK01,35,1150.0,2850.0,0.8465,0.2299
DK04_to_DK01,36,1200.0,2900.0,0.8465,0.1993
DK04_to_DK01,37,1250.0,2950.0,0.79,0.184
DK04_to_DK01,38,1300.0,3000.0,0.7165,0.1702
DK04_to_DK01,39,1350.0,3050.0,0.6241,0.1554
DK04_to_DK01,40,1350.0,3100.0,0.6889,0.1125
DK04_to_DK01,41,1350.0,3150.0,0.79,0.0937
DK04_to_DK01,42,1350.0,3200.0,0.8465,0.0786
DK04_to_DK01,43,1400.0,3250.0,0.8465,0.0754
DK04_to_DK01,44,1450.0,3300.0,0.8465,0.06
DK04_to_DK01,45,1500.0,3350.0,0.7165,0.0521
DK04_to_DK01,46,1550.0,3400.0,0.6065,0.0439
DK04_to_DK01,47,1600.0,3450.0,0.503,0.0353
DK04_to_DK01,48,1650.0,3450.0,0.4746,0.0357
DK04_to_DK01,49,1700.0,3450.0,0.4346,0.0382
DK04_to_DK01,50,1750.0,3450.0,0.4746,0.0433
DK04_to_DK01,51,1800.0,3500.0,0.4275,0.0675
DK04_to_DK01,52,1850.0,3500.0,0.4346,0.0902
DK04_to_DK01,53,1900.0,3550.0,0.4346,0.1196
DK04_to_DK01,54,1950.0,3550.0,0.4931,0.1514
DK04_to_DK01,55,2000.0,3550.0,0.5483,0.2088
DK04_to_DK01,56,2050.0,3550.0,0.6241,0.2259
DK04_to_DK01,57,2100.0,3550.0,0.6889,0.2311
DK04_to_DK02,0,300.0,1150.0,0.3114,0.0744
DK04_to_DK02,1,250.0,1200.0,0.2636,0.0706
DK04_to_DK02,2,200.0,1250.0,0.2211,0.0601
DK04_to_DK02,3,250.0,1300.0,0.1889,0.0819
DK04_to_DK02,4,250.0,1350.0,0.1599,0.0817
DK04_to_DK02,5,250.0,1400.0,0.1353,0.0802
DK04_to_DK02,6,250.0,1450.0,0.1199,0.0783
DK04_to_DK02,7,250.0,1500.0,0.1344,0.0771
DK04_to_DK02,8,250.0,1550.0,0.1517,0.08
DK04_to_DK02,9,250.0,1600.0,0.17,0.0861
DK04_to_DK02,10,300.0,1650.0,0.2151,0.1129
DK04_to_DK02,11,300.0,1700.0,0.2384,0.1437
DK04_to_DK02,12,300.0,1750.0,0.2609,0.1626
DK04_to_DK02,13,350.0,1800.0,0.3269,0.1998
DK04_to_DK02,14,350.0,1850.0,0.3485,0.2208
DK04_to_DK02,15,350.0,1900.0,0.3784,0.2547
DK04_to_DK02,16,350.0,1950.0,0.4076,0.264
DK04_to_DK02,17,350.0,2000.0,0.4275,0.2661
DK04_to_DK02,18,400.0,2050.0,0.5134,0.3108
DK04_to_DK02,19,400.0,2100.0,0.5134,0.2721
DK04_to_DK02,20,400.0,2150.0,0.5134,0.238
DK04_to_DK02,21,400.0,2200.0,0.5134,0.1993
DK04_to_DK02,22,450.0,2250.0,0.6065,0.1675
DK04_to_DK02,23,450.0,2300.0,0.6065,0.1047
DK04_to_DK02,24,450.0,2350.0,0.5903,0.0834
DK04_to_DK02,25,500.0,2400.0,0.6241,0.0738
DK04_to_DK02,26,500.0,2450.0,0.5483,0.0642
DK04_to_DK02,27,550.0,2500.0,0.5483,0.057
DK04_to_DK02,28,550.0,2550.0,0.4931,0.0517
DK04_to_DK02,29,600.0,2600.0,0.4931,0.055
DK04_to_DK02,30,600.0,2650.0,0.4346,0.0505
DK04_to_DK02,31,600.0,2700.0,0.3784,0.0451
DK04_to_DK02,32,600.0,2750.0,0.3784,0.0447
DK04_to_DK02,33,600.0,2800.0,0.4076,0.0455
DK04_to_DK02,34,600.0,2850.0,0.4275,0.0472
DK04_to_DK02,35,600.0,2900.0,0.4346,0.051
DK04_to_DK02,36,600.0,2950.0,0.4346,0.0521
DK04_to_DK02,37,600.0,3000.0,0.4346,0.0524
DK04_to_DK02,38,600.0,3050.0,0.4346,0.052
DK04_to_DK02,39,600.0,3100.0,0.4931,0.0502
DK04_to_DK02,40,600.0,3150.0,0.5483,0.0494
DK04_to_DK02,41,600.0,3200.0,0.6241,0.0487
DK04_to_DK02,42,600.0,3250.0,0.6889,0.048
DK04_to_DK02,43,600.0,3300.0,0.7165,0.0453
DK04_to_DK02,44,600.0,3350.0,0.7165,0.043
DK04_to_DK02,45,550.0,3400.0,0.8465,0.035
DK04_to_DK02,46,550.0,3450.0,0.8465,0.0339
