pair,alt,n_pts,length_m,mean_risk,max_risk,mean_conflict,corridor_length_m
DK04_to_DB02#alt0,0,79,4459.2,0.3671,0.8465,0.3367,1823.2
DK04_to_DB02#alt1,1,87,5149.1,0.4537,0.8465,0.4498,1823.2
DK04_to_DB02#alt2,2,81,4890.6,0.3761,0.8465,0.7791,1823.2
DK04_to_DB01#alt0,0,22,1174.3,0.4657,0.7165,0.7202,881.1
DK04_to_DB01#alt1,1,25,1386.4,0.4311,0.7165,0.7199,881.1
DK04_to_DB01#alt2,2,32,1839.9,0.4615,0.8465,0.5804,881.1
DK04_to_DK01#alt0,0,63,3887.0,0.4826,0.8465,0.3464,1541.2
DK04_to_DK01#alt1,1,73,4221.3,0.3845,0.8465,0.6539,1541.2
DK04_to_DK01#alt2,2,78,4699.1,0.4815,0.8465,0.7429,1541.2
DK04_to_DK02#alt0,0,58,3139.9,0.3346,0.8465,0.8213,1860.1
DK04_to_DK02#alt1,1,59,3252.1,0.3756,0.8465,0.7895,1860.1
DK04_to_DK02#alt2,2,59,3376.3,0.6077,0.8465,0.4747,1860.1
DK04_to_DK06#alt0,0,93,5449.1,0.6276,0.8465,0.606,2223.1
DK04_to_DK06#alt1,1,120,7441.2,0.5583,0.8465,0.503,2223.1
DK04_to_DK06#alt2,2,71,4142.0,0.4975,0.8465,0.5065,2223.1
DK04_to_DK05#alt0,0,76,4060.7,0.2874,0.8465,0.9004,2496.6
DK04_to_DK05#alt1,1,91,5411.3,0.5228,0.8465,0.7861,2496.6
DK04_to_DK05#alt2,2,68,3784.9,0.442,0.8465,0.6638,2496.6
DK04_to_DK03#alt0,0,111,6908.3,0.5296,0.8465,0.4251,1824.1
DK04_to_DK03#alt1,1,156,9096.2,0.4235,0.8465,0.6522,1824.1
DK04_to_DK03#alt2,2,101,6159.8,0.4901,0.8465,0.6016,1824.1
DB02_to_DB01#alt0,0,58,3202.1,0.4424,0.8465,0.5644,1300.2
DB02_to_DB01#alt1,1,67,4169.8,0.542,0.8465,0.5952,1300.2
DB02_to_DB01#alt2,2,71,4245.6,0.5719,0.8465,0.4842,1300.2
DB02_to_DK01#alt0,0,68,4095.6,0.5361,0.8465,0.5338,1375.3
DB02_to_DK01#alt1,1,57,3483.5,0.6245,0.8465,0.5294,1375.3
DB02_to_DK01#alt2,2,56,3412.7,0.5548,0.8465,0.5409,1375.3
DB02_to_DK02#alt0,0,110,6713.4,0.5945,0.8465,0.6708,3042.0
DB02_to_DK02#alt1,1,91,5618.4,0.6059,0.8465,0.4655,3042.0
DB02_to_DK02#alt2,2,107,6708.3,0.5068,0.8465,0.6174,3042.0
