pair,alt,seq,x,y,risk,conflict
DB02_to_DK05#alt0,0,0,2150.0,600.0,0.4076,0.0
DB02_to_DK05#alt0,0,1,2100.0,650.0,0.4346,0.0
DB02_to_DK05#alt0,0,2,2050.0,700.0,0.4346,0.0
DB02_to_DK05#alt0,0,3,2000.0,750.0,0.4346,0.0
DB02_to_DK05#alt0,0,4,1950.0,800.0,0.4076,0.0
DB02_to_DK05#alt0,0,5,1900.0,850.0,0.3784,0.0
DB02_to_DK05#alt0,0,6,1850.0,900.0,0.3679,0.0
DB02_to_DK05#alt0,0,7,1800.0,950.0,0.4346,0.0
DB02_to_DK05#alt0,0,8,1800.0,1000.0,0.4275,0.0
DB02_to_DK05#alt0,0,9,1800.0,1050.0,0.4076,0.0
DB02_to_DK05#alt0,0,10,1800.0,1100.0,0.3784,0.0
DB02_to_DK05#alt0,0,11,1800.0,1150.0,0.3679,0.0
DB02_to_DK05#alt0,0,12,1800.0,1200.0,0.3679,0.0
DB02_to_DK05#alt0,0,13,1750.0,1250.0,0.3784,0.0
DB02_to_DK05#alt0,0,14,1750.0,1300.0,0.344,0.0
DB02_to_DK05#alt0,0,15,1750.0,1350.0,0.3077,0.0
DB02_to_DK05#alt0,0,16,1800.0,1400.0,0.3269,0.0
DB02_to_DK05#alt0,0,17,1800.0,1450.0,0.3006,0.0
DB02_to_DK05#alt0,0,18,1850.0,1500.0,0.3114,0.0
DB02_to_DK05#alt0,0,19,1850.0,1550.0,0.3114,0.0
DB02_to_DK05#alt0,0,20,1900.0,1600.0,0.3628,0.0
DB02_to_DK05#alt0,0,21,1900.0,1650.0,0.3485,0.0
DB02_to_DK05#alt0,0,22,1950.0,1700.0,0.3784,0.0
DB02_to_DK05#alt0,0,23,1950.0,1750.0,0.344,0.0
DB02_to_DK05#alt0,0,24,1950.0,1800.0,0.3077,0.0
DB02_to_DK05#alt0,0,25,1950.0,1850.0,0.2721,0.0
DB02_to_DK05#alt0,0,26,1950.0,1900.0,0.2431,0.0
DB02_to_DK05#alt0,0,27,1950.0,1950.0,0.2407,0.0
DB02_to_DK05#alt0,0,28,1950.0,2000.0,0.253,0.0
DB02_to_DK05#alt0,0,29,1950.0,2050.0,0.2609,0.0
DB02_to_DK05#alt0,0,30,1950.0,2100.0,0.2636,0.0
DB02_to_DK05#alt0,0,31,1950.0,2150.0,0.2636,0.0
DB02_to_DK05#alt0,0,32,1950.0,2200.0,0.281,0.0
DB02_to_DK05#alt0,0,33,2000.0,2250.0,0.3485,0.0
DB02_to_DK05#alt0,0,34,2050.0,2300.0,0.4275,0.0
DB02_to_DK05#alt0,0,35,2100.0,2350.0,0.5134,0.0
DB02_to_DK05#alt0,0,36,2150.0,2400.0,0.6065,0.0
DB02_to_DK05#alt0,0,37,2200.0,2450.0,0.7165,0.0
DB02_to_DK05#alt0,0,38,2200.0,2500.0,0.6889,0.0
DB02_to_DK05#alt0,0,39,2250.0,2550.0,0.7165,0.0
DB02_to_DK05#alt0,0,40,2250.0,2600.0,0.6889,0.0
DB02_to_DK05#alt0,0,41,2250.0,2650.0,0.6241,0.0
DB02_to_DK05#alt0,0,42,2250.0,2700.0,0.5483,0.0
DB02_to_DK05#alt0,0,43,2250.0,2750.0,0.4931,0.0
DB02_to_DK05#alt1,1,0,2150.0,600.0,0.4076,0.0
DB02_to_DK05#alt1,1,1,2100.0,550.0,0.3269,0.0
DB02_to_DK05#alt1,1,2,2050.0,550.0,0.3006,0.0
DB02_to_DK05#alt1,1,3,2000.0,600.0,0.3077,0.0
DB02_to_DK05#alt1,1,4,1950.0,650.0,0.3077,0.0
DB02_to_DK05#alt1,1,5,1900.0,700.0,0.3077,0.0
DB02_to_DK05#alt1,1,6,1850.0,750.0,0.3679,0.0
DB02_to_DK05#alt1,1,7,1800.0,800.0,0.4346,0.0
DB02_to_DK05#alt1,1,8,1750.0,850.0,0.5134,0.0
DB02_to_DK05#alt1,1,9,1700.0,900.0,0.6065,0.0
DB02_to_DK05#alt1,1,10,1650.0,950.0,0.7165,0.0
DB02_to_DK05#alt1,1,11,1650.0,1000.0,0.6889,0.0
DB02_to_DK05#alt1,1,12,1650.0,1050.0,0.6241,0.0
DB02_to_DK05#alt1,1,13,1650.0,1100.0,0.6065,0.0
DB02_to_DK05#alt1,1,14,1650.0,1150.0,0.5903,0.0
DB02_to_DK05#alt1,1,15,1650.0,1200.0,0.5483,0.0
DB02_to_DK05#alt1,1,16,1650.0,1250.0,0.4931,0.0
