area_id,cx,cy,peak_x,peak_y,peak_density,rel_peak,region,mean_density,n_cells,area_m2,total_hits
1,2270.3,932.8,1750.0,1000.0,50.0,2.632,inner,8.49,1133,2832500.0,9619
2,1233.1,3704.9,950.0,3800.0,48.0,2.526,inner,7.29,1439,3597500.0,10490
3,1057.8,1251.1,1100.0,1300.0,19.0,1.0,inner,14.733,30,75000.0,442
4,4718.4,2434.7,4850.0,2200.0,18.0,0.947,boundary,5.424,507,1267500.0,2750
5,3759.7,2148.7,3700.0,2050.0,18.0,0.947,inner,14.467,30,75000.0,434
6,1408.0,2763.9,1600.0,2750.0,18.0,0.947,inner,12.438,48,120000.0,597
7,1141.7,2391.7,1100.0,2350.0,8.0,0.421,inner,8.0,6,15000.0,48
8,2258.3,3641.7,2300.0,3550.0,8.0,0.421,inner,8.0,12,30000.0,96
9,4261.8,4013.2,4250.0,3950.0,5.0,0.263,boundary,4.25,8,20000.0,34
10,2465.2,4360.4,2450.0,4350.0,5.0,0.263,boundary,4.1,20,50000.0,82
11,4266.7,3591.7,4250.0,3500.0,4.0,0.211,boundary,4.0,6,15000.0,24
