node_id,x,y,z,slowness,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix,is_candidate,candidate_type,candidate_id,route_hit_count
0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
1,50.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
2,100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
3,150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
4,200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
5,250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
6,300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
7,350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
8,400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
9,450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
10,500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
11,550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
12,600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
13,650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
14,700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
15,750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
16,800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
17,850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
18,900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
19,950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
20,1000.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
21,1050.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
22,1100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
23,1150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,5
24,1200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
25,1250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
26,1300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
27,1350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
28,1400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
29,1450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
30,1500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
31,1550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
32,1600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
33,1650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
34,1700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
35,1750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
36,1800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
37,1850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
38,1900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
39,1950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
40,2000.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
41,2050.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
42,2100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
43,2150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
44,2200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
45,2250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
46,2300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
47,2350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
48,2400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
49,2450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
50,2500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
51,2550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
52,2600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
53,2650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
54,2700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,4
55,2750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
56,2800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
57,2850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
58,2900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
59,2950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
60,3000.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
61,3050.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
62,3100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
63,3150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
64,3200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
65,3250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
66,3300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
67,3350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
68,3400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
69,3450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
70,3500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
71,3550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
72,3600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
73,3650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
74,3700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
75,3750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
76,3800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
77,3850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
78,3900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
79,3950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
80,4000.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
81,4050.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
82,4100.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
83,4150.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
84,4200.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
85,4250.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,3
86,4300.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
87,4350.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
88,4400.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,2
89,4450.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
90,4500.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
91,4550.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,1
92,4600.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
93,4650.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
94,4700.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
95,4750.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
96,4800.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
97,4850.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
98,4900.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
99,4950.0,0.0,0.0,0.085,0.0,0.0,0.0,0,0,0,NONE,NONE,False,,,0
