node_id,type,kind,x,y,region
DB02,terminal,DB,2150.0,600.0,boundary
DK06,terminal,DK,3300.0,1050.0,inner
DK04,terminal,DK,1300.0,2600.0,inner
DK05,terminal,DK,2250.0,2750.0,inner
DK02,terminal,DK,4150.0,3000.0,inner
DK01,terminal,DK,200.0,3850.0,boundary
DK03,terminal,DK,2550.0,4050.0,inner
DB01,terminal,DB,700.0,4200.0,boundary
TN1,traffic,major,100.0,4350.0,boundary
TN2,traffic,major,1350.0,4850.0,boundary
TN3,traffic,major,2100.0,4850.0,boundary
TN4,traffic,major,400.0,2850.0,boundary
TN5,traffic,major,1700.0,1200.0,inner
TN6,traffic,major,1350.0,1750.0,inner
TN7,traffic,major,1200.0,4350.0,boundary
TN8,traffic,major,2650.0,400.0,boundary
TN9,traffic,major,150.0,3350.0,boundary
TN10,traffic,major,700.0,2250.0,boundary
TN11,traffic,major,2700.0,4600.0,boundary
TN12,traffic,major,500.0,4700.0,boundary
TN13,traffic,major,3850.0,200.0,boundary
TN14,traffic,major,800.0,50.0,boundary
TN15,traffic,major,1300.0,150.0,boundary
TN16,traffic,minor,150.0,650.0,boundary
TN17,traffic,minor,200.0,2350.0,boundary
TN18,traffic,minor,3100.0,150.0,boundary
TN19,traffic,minor,650.0,3300.0,boundary
RN1,relief,corner,400.0,400.0,boundary
RN2,relief,corner,4650.0,400.0,boundary
RN3,relief,corner,400.0,4650.0,boundary
RN4,relief,corner,4650.0,4650.0,boundary
RN5,relief,inner-fill,2100.0,1500.0,inner
RN6,relief,inner-fill,3000.0,1450.0,inner
RN7,relief,inner-fill,3800.0,1500.0,inner
RN8,relief,inner-fill,1650.0,2250.0,inner
RN9,relief,inner-fill,3000.0,2250.0,inner
RN10,relief,inner-fill,3750.0,2250.0,inner
RN11,relief,inner-fill,1500.0,3000.0,inner
RN12,relief,inner-fill,3000.0,3000.0,inner
RN13,relief,inner-fill,3750.0,3000.0,inner
RN14,relief,inner-fill,2250.0,3750.0,inner
RN15,relief,inner-fill,3000.0,3750.0,inner
RN16,relief,inner-fill,3750.0,3750.0,inner
