fill_id,kind,region,x,y,clearance_m
1,corner,boundary,400.0,400.0,269.3
2,corner,boundary,4650.0,400.0,559.0
3,corner,boundary,400.0,4650.0,304.1
4,corner,boundary,4650.0,4650.0,710.6
5,inner-fill,inner,2100.0,1500.0,100.0
6,inner-fill,inner,3000.0,1450.0,111.8
7,inner-fill,inner,3800.0,1500.0,100.0
8,inner-fill,inner,1650.0,2250.0,100.0
9,inner-fill,inner,3000.0,2250.0,255.0
10,inner-fill,inner,3750.0,2250.0,500.0
11,inner-fill,inner,1500.0,3000.0,350.0
12,inner-fill,inner,3000.0,3000.0,141.4
13,inner-fill,inner,3750.0,3000.0,474.3
14,inner-fill,inner,2250.0,3750.0,390.5
15,inner-fill,inner,3000.0,3750.0,300.0
16,inner-fill,inner,3750.0,3750.0,269.3
