tn_id,tn_class,region,rel_peak,x,y,total_hits,peak_density,clearance_m,from_area
1,major,boundary,0.893,100.0,4350.0,25,25.0,223.6,13
2,major,boundary,0.821,1350.0,4850.0,23,23.0,223.6,13
3,major,boundary,0.821,2100.0,4850.0,23,23.0,111.8,13
4,major,boundary,0.5,400.0,2850.0,14,14.0,316.2,13
5,major,inner,0.464,1700.0,1200.0,13,13.0,223.6,8
6,major,inner,0.464,1350.0,1750.0,13,13.0,180.3,9
7,major,boundary,0.429,1200.0,4350.0,12,12.0,100.0,13
8,major,boundary,0.393,2650.0,400.0,11,11.0,447.2,2
9,major,boundary,0.393,150.0,3350.0,11,11.0,626.5,13
10,major,boundary,0.357,700.0,2250.0,10,10.0,400.0,13
11,major,boundary,0.357,2700.0,4600.0,10,10.0,212.1,13
12,major,boundary,0.357,500.0,4700.0,10,10.0,291.5,13
13,major,boundary,0.286,3850.0,200.0,8,8.0,200.0,3
14,major,boundary,0.25,800.0,50.0,7,7.0,223.6,1
15,major,boundary,0.25,1300.0,150.0,7,7.0,250.0,1
16,minor,boundary,0.25,150.0,650.0,7,7.0,250.0,6
17,minor,boundary,0.25,200.0,2350.0,7,7.0,743.3,13
18,minor,boundary,0.214,3100.0,150.0,6,6.0,715.9,2
19,minor,boundary,0.214,650.0,3300.0,6,6.0,180.3,13
