leg_id,lane,seq,x,y
BAK01__BAK02,A,0,4575.0,1700.0
BAK01__BAK02,A,1,4575.0,1710.0
BAK01__BAK02,A,2,4575.0,1720.0
BAK01__BAK02,A,3,4575.0,1730.0
BAK01__BAK02,A,4,4575.0,1740.0
BAK01__BAK02,A,5,4575.0,1750.0
BAK01__BAK02,A,6,4575.0,1760.0
BAK01__BAK02,A,7,4575.0,1770.0
BAK01__BAK02,A,8,4575.0,1780.0
BAK01__BAK02,A,9,4575.0,1790.0
BAK01__BAK02,A,10,4575.0,1800.0
BAK01__BAK02,A,11,4575.0,1810.0
BAK01__BAK02,A,12,4575.0,1820.0
BAK01__BAK02,A,13,4575.0,1830.0
BAK01__BAK02,A,14,4575.0,1840.0
BAK01__BAK02,A,15,4575.0,1850.0
BAK01__BAK02,A,16,4575.0,1860.0
BAK01__BAK02,A,17,4575.0,1870.0
BAK01__BAK02,A,18,4575.0,1880.0
BAK01__BAK02,A,19,4575.0,1890.0
BAK01__BAK02,A,20,4575.0,1900.0
BAK01__BAK02,A,21,4575.0,1910.0
BAK01__BAK02,A,22,4575.0,1920.0
BAK01__BAK02,A,23,4575.0,1930.0
BAK01__BAK02,A,24,4575.0,1940.0
BAK01__BAK02,A,25,4575.0,1950.0
BAK01__BAK02,A,26,4575.0,1960.0
BAK01__BAK02,A,27,4575.0,1970.0
BAK01__BAK02,A,28,4575.0,1980.0
BAK01__BAK02,A,29,4575.0,1990.0
BAK01__BAK02,A,30,4575.0,2000.0
BAK01__BAK02,A,31,4575.0,2010.0
BAK01__BAK02,A,32,4575.0,2020.0
BAK01__BAK02,A,33,4575.0,2030.0
BAK01__BAK02,A,34,4575.0,2040.0
BAK01__BAK02,A,35,4575.0,2050.0
BAK01__BAK02,A,36,4575.0,2060.0
BAK01__BAK02,A,37,4575.0,2070.0
BAK01__BAK02,A,38,4575.0,2080.0
BAK01__BAK02,A,39,4575.0,2090.0
BAK01__BAK02,A,40,4575.0,2100.0
BAK01__BAK02,A,41,4575.0,2110.0
BAK01__BAK02,A,42,4575.0,2120.0
BAK01__BAK02,A,43,4575.0,2130.0
BAK01__BAK02,A,44,4575.0,2140.0
BAK01__BAK02,A,45,4575.0,2150.0
BAK01__BAK02,A,46,4575.0,2160.0
BAK01__BAK02,A,47,4575.0,2170.0
BAK01__BAK02,A,48,4575.0,2180.0
BAK01__BAK02,A,49,4575.0,2190.0
BAK01__BAK02,A,50,4575.0,2200.0
BAK01__BAK02,A,51,4575.0,2210.0
BAK01__BAK02,A,52,4575.0,2220.0
BAK01__BAK02,A,53,4575.0,2230.0
BAK01__BAK02,A,54,4575.0,2240.0
BAK01__BAK02,A,55,4575.0,2250.0
BAK01__BAK02,A,56,4575.0,2260.0
BAK01__BAK02,A,57,4575.0,2270.0
BAK01__BAK02,A,58,4575.0,2280.0
BAK01__BAK02,A,59,4575.0,2290.0
BAK01__BAK02,A,60,4575.0,2300.0
BAK01__BAK02,A,61,4575.0,2310.0
BAK01__BAK02,A,62,4575.0,2320.0
BAK01__BAK02,A,63,4575.0,2330.0
BAK01__BAK02,A,64,4575.0,2340.0
BAK01__BAK02,A,65,4575.0,2350.0
BAK01__BAK02,A,66,4575.0,2360.0
BAK01__BAK02,A,67,4575.0,2370.0
BAK01__BAK02,A,68,4575.0,2380.0
BAK01__BAK02,A,69,4575.0,2390.0
BAK01__BAK02,A,70,4575.0,2400.0
