leg_id,net_a,net_b,a_id,b_id,leg_type,length_m,straight_m,two_lanes,lane_b_method,lane_shift_m,lane_b_length_m,centerline_min_separation_m,separation_ok,n_narrow_samples,n_crossings
DB02__TN8,0,11,DB02,TN8,straight,596.1172799464325,596.1172799464325,True,tangent_pair,0.0,596.1172799464325,49.99999999999958,True,0,0
DB02__TN5,0,14,DB02,TN5,straight,694.836049967575,694.836049967575,True,tangent_pair,0.0,694.8360499675749,49.999999999999744,True,0,0
DB02__RBT01,0,29,DB02,RBT01,straight,831.1450974296209,932.9229009535127,True,tangent_pair,0.0,932.9229009535127,49.99999999999985,True,0,0
DB02__RBT02,0,30,DB02,RBT02,straight,1011.7879997900994,1107.56580331399,True,tangent_pair,0.0,1107.56580331399,49.99999999999972,True,0,0
DB02__RBT04,0,32,DB02,RBT04,theta,869.0491614453555,923.4100151481623,True,shifted_pair,15.0,973.017483644589,49.99999999999944,True,0,0
DK06__TN13,1,9,DK06,TN13,theta,1125.6687347648947,1114.6186750844222,True,tangent_pair,0.0,1127.145791964887,49.99999999999948,True,0,0
DK06__TN8,1,11,DK06,TN8,straight,925.91659130236,925.91659130236,True,tangent_pair,0.0,925.91659130236,50.000000000000036,True,0,0
DK06__RBT02,1,30,DK06,RBT02,straight,863.432346787197,959.210150311089,True,tangent_pair,0.0,959.2101503110891,50.00000000000016,True,0,0
DK06__RBT03,1,31,DK06,RBT03,straight,401.3305348716635,483.27759448971386,True,tangent_pair,0.0,483.27759448971386,49.99999999999979,True,0,0
DK06__RBT05,1,33,DK06,RBT05,theta,690.6693501850871,733.7981277677228,True,shifted_pair,15.0,796.4000653518235,49.999999999999275,True,0,0
DK04__TN10,2,15,DK04,TN10,straight,706.9299041027219,706.9299041027219,True,tangent_pair,0.0,706.929904102722,49.9999999999998,True,0,0
DK04__RBT06,2,34,DK04,RBT06,theta,950.6854274113855,877.3656716147236,True,shifted_pair,-15.0,1108.667556629802,49.99999999999944,True,0,0
DK04__RBT07,2,35,DK04,RBT07,theta,506.42736961491926,563.7689733780078,True,shifted_pair,15.0,606.8800495135258,49.99999999999944,True,0,0
DK04__RBT11,2,39,DK04,RBT11,theta,808.3602119730888,921.7336867663165,True,tangent_pair,0.0,920.7883491670889,49.999999999999744,True,0,0
DK04__RBT12,2,40,DK04,RBT12,straight,375.80022919751707,477.5780327214088,True,tangent_pair,0.0,477.5780327214088,50.000000000000064,True,0,0
DK05__RBT04,3,32,DK05,RBT04,straight,1199.5711074199694,1301.3489109438601,True,tangent_pair,0.0,1301.3489109438603,49.99999999999963,True,0,0
DK05__RBT07,3,35,DK05,RBT07,straight,685.0923364171452,780.8701399410375,True,tangent_pair,0.0,780.8701399410376,49.99999999999969,True,0,0
DK05__RBT08,3,36,DK05,RBT08,theta,858.866694079137,920.2207043354281,True,shifted_pair,15.0,951.0546927048199,49.99999999999944,True,0,0
DK05__RBT12,3,40,DK05,RBT12,straight,687.6505171534178,789.42832067731,True,tangent_pair,0.0,789.42832067731,49.99999999999991,True,0,0
DK05__RBT13,3,41,DK05,RBT13,straight,674.6038517974068,760.4719511957773,True,tangent_pair,0.0,760.4719511957773,49.999999999999496,True,0,0
DK05__RBT17,3,45,DK05,RBT17,straight,841.7013802413559,940.3905725950542,True,tangent_pair,0.0,940.3905725950542,49.99999999999967,True,0,0
DK02__BAK02,4,25,DK02,BAK02,straight,672.6812023536855,672.6812023536855,True,tangent_pair,0.0,672.6812023536855,50.000000000000064,True,0,0
DK02__EXT01,4,27,DK02,EXT01,straight,863.1338250816034,863.1338250816034,True,tangent_pair,0.0,863.1338250816034,49.99999999999997,True,0,0
DK02__RBT09,4,37,DK02,RBT09,straight,754.591944391656,850.0,True,tangent_pair,0.0,850.0,49.99999999999989,True,0,0
DK02__RBT14,4,42,DK02,RBT14,straight,301.3108076463013,400.0,True,tangent_pair,0.0,400.0,50.0,True,0,0
DK02__RBT19,4,47,DK02,RBT19,straight,831.0788574264577,908.4331352787884,True,tangent_pair,0.0,908.4331352787885,49.999999999999766,True,0,0
DK01__DB01,5,7,DK01,DB01,theta,739.9320332659623,664.5778891339693,True,shifted_pair,-15.0,749.1415467648287,49.99999999999952,True,0,0
DK01__TN1,5,16,DK01,TN1,straight,584.0348653577432,584.0348653577432,True,tangent_pair,0.0,584.0348653577428,49.99999999999985,True,0,0
DK01__RBT15,5,43,DK01,RBT15,straight,549.8735614365773,645.6513649604691,True,tangent_pair,0.0,645.6513649604691,49.99999999999982,True,0,0
DK01__RBT16,5,44,DK01,RBT16,straight,340.095181186073,449.49687697085136,True,tangent_pair,0.0,449.49687697085136,49.9999999999999,True,0,0
DK03__TN11,6,18,DK03,TN11,straight,570.087712549569,570.087712549569,True,tangent_pair,0.0,570.087712549569,49.99999999999988,True,0,0
DK03__TN3,6,23,DK03,TN3,straight,872.4752695847322,872.4752695847322,True,tangent_pair,0.0,872.4752695847322,49.999999999999936,True,0,0
DK03__BAK03,6,26,DK03,BAK03,straight,768.6667860721695,768.6667860721695,True,tangent_pair,0.0,768.6667860721698,49.99999999999993,True,0,0
DK03__RBT17,6,45,DK03,RBT17,straight,325.5748763582303,424.26406871192853,True,tangent_pair,0.0,424.26406871192853,49.99999999999944,True,0,0
DK03__RBT18,6,46,DK03,RBT18,straight,495.7814749445359,593.649574342907,True,tangent_pair,0.0,593.649574342907,49.99999999999966,True,0,0
DB01__TN1,7,16,DB01,TN1,theta,720.897055126896,665.7571431364743,True,shifted_pair,-15.0,741.903672262183,49.99999999999945,True,0,0
DB01__TN7,7,17,DB01,TN7,theta,482.4591257564144,463.12633936404256,True,tangent_pair,0.0,456.7641004078539,49.99999999999894,True,0,0
DB01__RN3,7,19,DB01,RN3,straight,561.8295321478436,561.8295321478436,True,tangent_pair,0.0,561.8295321478436,49.99999999999965,True,0,0
DB01__TN12,7,21,DB01,TN12,straight,542.5622553048061,542.5622553048061,True,tangent_pair,0.0,542.562255304806,49.99999999999915,True,0,0
DB01__TN2,7,22,DB01,TN2,theta,904.5164914746987,887.6613309547886,True,shifted_pair,-15.0,897.1120720326791,49.999999999999616,True,0,0
