net_node,net_id,kind,label_prefix,model_idx,x,y,x_orig,y_orig,node_shift_m,gap_to_network_m,radius_m,members
0,DB02,objective,DB,1255,2090.3752523468356,605.3678486639656,2150.0,600.0,59.86588621228928,,0.0,
1,DK06,objective,DK,2187,3261.1404973638914,1095.578052076686,3300.0,1050.0,59.895073054724826,,0.0,
2,DK04,objective,DK,5278,1295.3762527587621,2631.152209708429,1300.0,2600.0,31.49347882131773,,0.0,
3,DK05,objective,DK,5600,2255.3678486639656,2809.6247476531644,2250.0,2750.0,59.86588621228928,,0.0,
4,DK02,objective,DK,6143,4150.0,3000.0,4150.0,3000.0,0.0,,0.0,
5,DK01,objective,DK,7781,220.71626790426683,3793.8993713221957,200.0,3850.0,59.803380288460524,,0.0,
6,DK03,objective,DK,8232,2550.0,4050.0,2550.0,4050.0,0.0,,0.0,
7,DB01,objective,DB,8498,743.6029004920557,4204.0863289241715,700.0,4200.0,43.79396094664917,,0.0,
8,TN14,tn_major,TN,117,800.0,50.0,800.0,50.0,0.0,,0.0,
9,TN13,tn_major,TN,481,3884.8635739293313,171.81167760384602,3850.0,200.0,44.83358458383031,,0.0,
10,RN1,tn_minor,TN,816,400.0,400.0,400.0,400.0,0.0,,0.0,
11,TN8,tn_major,TN,861,2650.0,400.0,2650.0,400.0,0.0,,0.0,
12,RN2,tn_minor,TN,901,4650.0,400.0,4650.0,400.0,0.0,,0.0,
13,TN16,tn_minor,TN,1316,117.69427232793606,644.7038338069314,150.0,650.0,32.7369732377042,,0.0,
14,TN5,tn_major,TN,2458,1729.9894642356378,1199.4378950911637,1700.0,1200.0,29.994731655227998,,0.0,
15,TN10,tn_major,TN,4559,700.0,2250.0,700.0,2250.0,0.0,,0.0,
16,TN1,tn_major,TN,8789,97.53401519041964,4364.795908857483,100.0,4350.0,15.000000000000412,,0.0,
17,TN7,tn_major,TN,8811,1191.6774914296802,4321.198101043027,1200.0,4350.0,29.980219019058463,,0.0,
18,TN11,tn_major,TN,9346,2700.0,4600.0,2700.0,4600.0,0.0,,0.0,
19,RN3,tn_minor,TN,9401,429.0020403197122,4669.573946345179,400.0,4650.0,34.98939436786758,,0.0,
20,RN4,tn_minor,TN,9486,4644.6692768466455,4645.758693349833,4650.0,4650.0,6.81214294025442,,0.0,
21,TN12,tn_major,TN,9504,479.56134604640357,4678.0650820422425,500.0,4700.0,29.98131420148918,,0.0,
22,TN2,tn_major,TN,9824,1372.6695663182898,4830.359247401964,1350.0,4850.0,29.994472818780892,,0.0,
23,TN3,tn_major,TN,9839,2151.9895261189004,4826.402446362641,2100.0,4850.0,57.09426734564386,,0.0,
24,BAK01,tn_backup,TN,3526,4600.0,1700.0,4600.0,1700.0,0.0,733.925910740161,0.0,
25,BAK02,tn_backup,TN,5142,4600.0,2500.0,4600.0,2500.0,0.0,551.9924180208906,0.0,
26,BAK03,tn_backup,TN,7913,1801.9391780440924,3873.2130246167144,1750.0,3900.0,58.43988591775892,459.6643583246906,0.0,
27,EXT01,tn_ext,TN,6463,5000.0,3150.0,5000.0,3150.0,0.0,763.2168761236874,0.0,
28,EXT02,tn_ext,TN,2322,5000.0,1100.0,5000.0,1100.0,0.0,702.6377574205603,0.0,
29,RBT01,roundabout,RBT,329,1301.470866721703,107.39695647753491,1301.470866721703,107.39695647753491,0.0,,101.7778035238918,TN15
30,RBT02,roundabout,RBT,365,3100.0,150.0,3100.0,150.0,0.0,,95.7778035238918,TN18
31,RBT03,roundabout,RBT,2989,2936.5939766948536,1453.6657358321959,2936.5939766948536,1453.6657358321959,0.0,,81.94705961805016,RN6
32,RBT04,roundabout,RBT,3072,2034.8013002355913,1527.1040321365829,2034.8013002355913,1527.1040321365829,0.0,,101.7778035238918,RN5
33,RBT05,roundabout,RBT,3106,3823.25890004168,1567.2586576631215,3823.25890004168,1567.2586576631215,0.0,,103.86809939837113,RN7
34,RBT06,roundabout,RBT,3562,1359.1624511050886,1756.1083007367258,1359.1624511050886,1756.1083007367258,0.0,,126.28945952930908,TN6
35,RBT07,roundabout,RBT,4578,1710.7778035238919,2250.0,1710.7778035238919,2250.0,0.0,,95.7778035238918,RN8
36,RBT08,roundabout,RBT,4605,3009.627231687751,2282.4635504770354,3009.627231687751,2282.4635504770354,0.0,,98.68919235369867,RN9
37,RBT09,roundabout,RBT,4620,3750.0,2250.0,3750.0,2250.0,0.0,,95.4080556083441,RN10
38,RBT10,roundabout,RBT,4751,200.0,2350.0,200.0,2350.0,0.0,,98.71498950938091,TN17
39,RBT11,roundabout,RBT,5765,400.0,2850.0,400.0,2850.0,0.0,,116.64763808067764,TN4
40,RBT12,roundabout,RBT,6090,1506.5336125936033,3059.513443628622,1506.5336125936033,3059.513443628622,0.0,,101.7778035238918,RN11
41,RBT13,roundabout,RBT,6120,2993.320143850686,2993.320143850686,2993.320143850686,2993.320143850686,0.0,,85.86809939837099,RN12
42,RBT14,roundabout,RBT,6135,3750.0,3000.0,3750.0,3000.0,0.0,,98.68919235369867,RN13
43,RBT15,roundabout,RBT,6679,686.5053646556026,3346.79065699995,686.5053646556026,3346.79065699995,0.0,,95.7778035238918,TN19
44,RBT16,roundabout,RBT,6770,150.0,3350.0,150.0,3350.0,0.0,,109.40169578477807,TN9
45,RBT17,roundabout,RBT,7620,2250.0,3750.0,2250.0,3750.0,0.0,,98.68919235369867,RN14
46,RBT18,roundabout,RBT,7635,3026.830103841798,3696.3718489886096,3026.830103841798,3696.3718489886096,0.0,,97.86809939837116,RN15
47,RBT19,roundabout,RBT,7650,3710.398679819644,3794.9851826091713,3710.398679819644,3794.9851826091713,0.0,,77.35427785233055,RN16
