pair,success,n_legs,length_m,via,legs,leg_directions
DB02_to_DK06,True,2,1522.0338712487924,DB02-TN8-DK06,DB02__TN8;DK06__TN8,fwd;rev
DB02_to_DK04,True,3,1970.1139603202228,DB02-RBT04-RBT07-DK04,DB02__RBT04;RBT04__RBT07;DK04__RBT07,fwd;fwd;rev
DB02_to_DK05,True,2,2068.6202688653248,DB02-RBT04-DK05,DB02__RBT04;DK05__RBT04,fwd;rev
DB02_to_DK02,True,4,3036.7674738331693,DB02-RBT04-RBT08-RBT14-DK02,DB02__RBT04;RBT04__RBT08;RBT08__RBT14;DK02__RBT14,fwd;fwd;fwd;rev
DB02_to_DK01,True,6,3162.033432101255,DB02-TN5-RBT06-TN10-RBT11-RBT16-DK01,DB02__TN5;TN5__RBT06;TN10__RBT06;TN10__RBT11;RBT11__RBT16;DK01__RBT16,fwd;fwd;rev;fwd;fwd;rev
DB02_to_DK03,True,4,3235.896525464911,DB02-RBT04-DK05-RBT17-DK03,DB02__RBT04;DK05__RBT04;DK05__RBT17;DK03__RBT17,fwd;rev;fwd;rev
DB02_to_DB01,True,6,3622.047389885491,DB02-TN5-RBT06-TN10-RBT11-RBT15-DB01,DB02__TN5;TN5__RBT06;TN10__RBT06;TN10__RBT11;RBT11__RBT15;DB01__RBT15,fwd;fwd;rev;fwd;fwd;rev
DK06_to_DK04,True,4,2371.4124863543652,DK06-RBT03-RBT04-RBT07-DK04,DK06__RBT03;RBT03__RBT04;RBT04__RBT07;DK04__RBT07,fwd;fwd;fwd;rev
DK06_to_DK05,True,3,2004.0266034553215,DK06-RBT03-RBT08-DK05,DK06__RBT03;RBT03__RBT08;DK05__RBT08,fwd;fwd;rev
DK06_to_DK02,True,3,1932.6456138739445,DK06-RBT05-RBT09-DK02,DK06__RBT05;RBT05__RBT09;DK02__RBT09,fwd;fwd;rev
DK06_to_DK01,True,7,3680.2854987806386,DK06-RBT03-RBT04-RBT06-TN10-RBT11-RBT16-DK01,DK06__RBT03;RBT03__RBT04;RBT04__RBT06;TN10__RBT06;TN10__RBT11;RBT11__RBT16;DK01__RBT16,fwd;fwd;fwd;rev;fwd;fwd;rev
DK06_to_DK03,True,5,2687.859155179555,DK06-RBT03-RBT08-RBT13-RBT18-DK03,DK06__RBT03;RBT03__RBT08;RBT08__RBT13;RBT13__RBT18;DK03__RBT18,fwd;fwd;fwd;fwd;rev
DK06_to_DB01,True,6,4032.082951878184,DK06-RBT03-RBT04-RBT07-RBT12-RBT15-DB01,DK06__RBT03;RBT03__RBT04;RBT04__RBT07;RBT07__RBT12;RBT12__RBT15;DB01__RBT15,fwd;fwd;fwd;fwd;fwd;rev
DK04_to_DK05,True,2,1063.4507463509349,DK04-RBT12-DK05,DK04__RBT12;DK05__RBT12,fwd;rev
DK04_to_DK02,True,5,2611.6968982353683,DK04-RBT12-DK05-RBT13-RBT14-DK02,DK04__RBT12;DK05__RBT12;DK05__RBT13;RBT13__RBT14;DK02__RBT14,fwd;rev;fwd;fwd;rev
DK04_to_DK01,True,3,1481.4230536686537,DK04-RBT11-RBT16-DK01,DK04__RBT11;RBT11__RBT16;DK01__RBT16,fwd;fwd;rev
DK04_to_DK03,True,3,1515.5577801224542,DK04-RBT12-RBT17-DK03,DK04__RBT12;RBT12__RBT17;DK03__RBT17,fwd;fwd;rev
DK04_to_DB01,True,3,1905.5718204948016,DK04-RBT12-RBT15-DB01,DK04__RBT12;RBT12__RBT15;DB01__RBT15,fwd;fwd;rev
DK05_to_DK02,True,3,1548.2461518844334,DK05-RBT13-RBT14-DK02,DK05__RBT13;RBT13__RBT14;DK02__RBT14,fwd;fwd;rev
DK05_to_DK01,True,3,1995.2795061046013,DK05-RBT12-RBT15-DK01,DK05__RBT12;RBT12__RBT15;DK01__RBT15,fwd;fwd;rev
DK05_to_DK03,True,2,1167.2762565995863,DK05-RBT17-DK03,DK05__RBT17;DK03__RBT17,fwd;rev
DK05_to_DB01,True,3,2217.4221084507026,DK05-RBT12-RBT15-DB01,DK05__RBT12;RBT12__RBT15;DB01__RBT15,fwd;fwd;rev
DK02_to_DK01,True,6,3543.5256579890342,DK02-RBT14-RBT13-DK05-RBT12-RBT15-DK01,DK02__RBT14;RBT13__RBT14;DK05__RBT13;DK05__RBT12;RBT12__RBT15;DK01__RBT15,fwd;rev;rev;fwd;fwd;rev
DK02_to_DK03,True,3,1604.4814290381767,DK02-RBT14-RBT18-DK03,DK02__RBT14;RBT14__RBT18;DK03__RBT18,fwd;fwd;rev
DK02_to_DB01,True,6,3323.938957841614,DK02-RBT14-RBT18-RBT17-BAK03-TN7-DB01,DK02__RBT14;RBT14__RBT18;RBT17__RBT18;BAK03__RBT17;TN7__BAK03;DB01__TN7,fwd;fwd;rev;rev;rev;rev
DK01_to_DK03,True,4,2447.386539876121,DK01-RBT15-RBT12-RBT17-DK03,DK01__RBT15;RBT12__RBT15;RBT12__RBT17;DK03__RBT17,fwd;rev;fwd;rev
DK01_to_DB01,True,1,739.9320332659623,DK01-DB01,DK01__DB01,fwd
DK03_to_DB01,True,4,1958.6921694344514,DK03-RBT17-BAK03-TN7-DB01,DK03__RBT17;BAK03__RBT17;TN7__BAK03;DB01__TN7,fwd;rev;rev;rev
