rbt_id,center_x,center_y,radius_m,n_members,n_entries,members,cost_from,model_idx,pred_density,radius_desired_m,radius_limited_by
RBT01,1301.470866721703,107.39695647753491,101.7778035238918,1,6,TN15,TN15,329,0.24,101.8,desired
RBT02,3100.0,150.0,95.7778035238918,1,5,TN18,TN18,365,0.24,95.8,desired
RBT03,2936.5939766948536,1453.6657358321959,81.94705961805016,1,5,RN6,RN6,2989,0.08,81.9,desired
RBT04,2034.8013002355913,1527.1040321365829,101.7778035238918,1,6,RN5,RN5,3072,0.24,101.8,desired
RBT05,3823.25890004168,1567.2586576631215,103.86809939837113,1,8,RN7,RN7,3106,0.12,103.9,desired
RBT06,1359.1624511050886,1756.1083007367258,126.28945952930908,1,7,TN6,TN6,3562,0.52,126.3,desired
RBT07,1710.7778035238919,2250.0,95.7778035238918,1,5,RN8,RN8,4578,0.24,95.8,desired
RBT08,3009.627231687751,2282.4635504770354,98.68919235369867,1,6,RN9,RN9,4605,0.2,98.7,desired
RBT09,3750.0,2250.0,95.4080556083441,1,6,RN10,RN10,4620,0.16,95.4,desired
RBT10,200.0,2350.0,98.71498950938091,1,5,TN17,TN17,4751,0.28,98.7,desired
RBT11,400.0,2850.0,116.64763808067764,1,5,TN4,TN4,5765,0.56,116.6,desired
RBT12,1506.5336125936033,3059.513443628622,101.7778035238918,1,6,RN11,RN11,6090,0.24,101.8,desired
RBT13,2993.320143850686,2993.320143850686,85.86809939837099,1,5,RN12,RN12,6120,0.12,85.9,desired
RBT14,3750.0,3000.0,98.68919235369867,1,6,RN13,RN13,6135,0.2,98.7,desired
RBT15,686.5053646556026,3346.79065699995,95.7778035238918,1,5,TN19,TN19,6679,0.24,95.8,desired
RBT16,150.0,3350.0,109.40169578477807,1,5,TN9,TN9,6770,0.44,109.4,desired
RBT17,2250.0,3750.0,98.68919235369867,1,6,RN14,RN14,7620,0.2,98.7,desired
RBT18,3026.830103841798,3696.3718489886096,97.86809939837116,1,7,RN15,RN15,7635,0.12,97.9,desired
RBT19,3710.398679819644,3794.9851826091713,77.35427785233055,1,5,RN16,RN16,7650,0.04,77.4,desired
