leg_id,a_id,b_id,leg_type,length_m,pair_flow,econ,air,ground,traffic,risk,risk_max,slowness
DK04__RBT12,DK04,RBT12,straight,375.8,5.0,0.8835,0.8677,0.7782,0.6787,0.8062,0.8464,0.2019
DK01__DB01,DK01,DB01,theta,739.9,2.0,0.6024,0.8052,0.973,0.6995,0.7938,0.9167,0.2141
DB01__RBT15,DB01,RBT15,theta,772.0,5.0,0.6159,0.9848,0.6516,0.7497,0.7641,0.9169,0.2436
RBT12__RBT15,RBT12,RBT15,theta,757.8,7.0,0.7091,0.9432,0.6764,0.5937,0.7464,0.8457,0.2611
DB01__TN7,DB01,TN7,theta,482.5,3.0,0.4283,0.7994,0.8027,0.7338,0.7131,0.9108,0.2941
DK03__RBT17,DK03,RBT17,straight,325.6,6.0,0.822,0.8737,0.5486,0.3664,0.6643,0.6855,0.3423
DK01__RBT15,DK01,RBT15,straight,549.9,4.0,0.7098,0.862,0.5123,0.5218,0.6586,0.7162,0.348
DK04__RBT07,DK04,RBT07,theta,506.4,3.0,0.6984,0.6514,0.8304,0.3428,0.6528,0.8087,0.3537
DB02__RBT04,DB02,RBT04,theta,869.0,5.0,0.4922,0.8914,0.5013,0.5893,0.6341,0.6885,0.3722
DK05__RBT12,DK05,RBT12,straight,687.7,6.0,0.8828,0.7467,0.4777,0.4364,0.6311,0.8224,0.3752
RBT07__RBT12,RBT07,RBT12,straight,637.3,2.0,0.6892,0.6667,0.5873,0.4882,0.6117,0.8134,0.3944
DK06__RBT03,DK06,RBT03,straight,401.3,6.0,0.6325,0.7617,0.6738,0.2482,0.6068,0.6658,0.3993
DK01__RBT16,DK01,RBT16,straight,340.1,4.0,0.648,0.7648,0.5278,0.4013,0.5976,0.7146,0.4083
DK02__RBT14,DK02,RBT14,straight,301.3,7.0,0.8032,0.8339,0.4639,0.2326,0.5965,0.625,0.4094
DB01__TN12,DB01,TN12,straight,542.6,1.0,0.3228,0.5572,0.8237,0.5262,0.5841,0.9084,0.4218
DK03__BAK03,DK03,BAK03,straight,768.7,1.0,0.5922,0.7478,0.575,0.3222,0.5797,0.6855,0.4261
RBT03__RBT04,RBT03,RBT04,theta,869.0,4.0,0.4729,0.7442,0.6109,0.3817,0.5775,0.7654,0.4283
DB01__RN3,DB01,RN3,straight,561.8,1.0,0.3183,0.5484,0.8145,0.52,0.5765,0.9084,0.4292
BAK03__RBT17,BAK03,RBT17,straight,366.0,3.0,0.5043,0.7984,0.5063,0.3711,0.5665,0.6078,0.4392
DB01__TN1,DB01,TN1,theta,720.9,1.0,0.2762,0.4733,0.8438,0.4601,0.5424,0.9084,0.463
DK05__RBT13,DK05,RBT13,straight,674.6,4.0,0.7496,0.6247,0.5082,0.2181,0.5334,0.7903,0.4719
DK04__RBT06,DK04,RBT06,theta,950.7,1.0,0.4603,0.4886,0.7931,0.1955,0.5157,0.8089,0.4895
DB01__TN2,DB01,TN2,theta,904.5,1.0,0.2925,0.5054,0.705,0.4559,0.5128,0.9083,0.4923
DK05__RBT08,DK05,RBT08,theta,858.9,2.0,0.6147,0.5435,0.5943,0.2058,0.5054,0.7903,0.4996
RBT03__RBT08,RBT03,RBT08,theta,743.8,3.0,0.4087,0.646,0.6145,0.2143,0.5027,0.6651,0.5023
