agent_id,origin,dest,mission,round_trip,arrival_s,depart_s,wait_s,launch_s,complete_s,flight_time_s,speed_kmh,velocity_kmh,air_velocity_kmh,air_time_s,dock_idle_s,route_len_m,flown_m,hold_s,n_holds,energy_wh,charge_s,n_charges,battery_end_pct,completed,battery_dead
0,DB01,DK01,round_trip,True,0.0,0.0,0.0,0.0,2901.0,2901.0,30.0,1.9,4.99,1103.0,1798.0,1529.7,1529.7,2.0,2,12.82,204.0,1,83.2,True,False
1,DK01,DB01,round_trip,True,0.0,0.0,0.0,0.0,2460.0,2460.0,50.0,2.24,8.32,662.0,1798.0,1529.7,1529.7,2.0,2,10.95,122.0,1,89.8,True,False
2,DB01,DK02,one_way,False,0.0,0.0,0.0,0.0,573.0,573.0,60.0,32.16,32.1,574.0,0.0,5154.8,5118.3,6.0,6,38.88,0.0,0,78.5,True,False
3,DK02,DB01,backup,False,0.0,0.0,0.0,0.0,2613.0,2613.0,30.0,9.11,9.11,2614.0,0.0,6124.1,6613.1,167.0,8,65.08,0.0,0,19.5,True,False
4,DB01,DK03,round_trip,True,0.0,30.0,30.0,30.0,2526.0,2496.0,60.0,6.79,24.27,698.0,1798.0,4705.6,4705.6,6.0,6,35.77,140.0,1,87.7,True,False
5,DK03,DB01,round_trip,True,0.0,0.0,0.0,0.0,3505.0,3505.0,50.0,4.85,15.66,1086.0,2419.0,4773.4,4723.2,102.0,8,39.67,179.0,1,80.5,True,False
6,DB01,DK04,one_way,False,0.0,0.0,0.0,0.0,506.0,506.0,60.0,20.11,20.07,507.0,0.0,2864.3,2826.0,3.0,3,21.45,0.0,0,83.2,True,False
7,DK04,DB01,one_way,False,0.0,0.0,0.0,0.0,1248.0,1248.0,50.0,9.69,9.68,1249.0,0.0,2810.9,3358.2,100.0,4,29.88,0.0,0,61.6,True,False
8,DB01,DK05,one_way,False,0.0,165.0,165.0,165.0,1301.0,1136.0,30.0,10.49,10.48,1137.0,0.0,3339.0,3310.3,57.0,6,30.95,0.0,0,64.9,True,False
9,DK05,DB01,one_way,False,0.0,0.0,0.0,0.0,983.0,983.0,60.0,12.83,12.82,984.0,0.0,2949.1,3502.9,58.0,4,29.9,0.0,0,69.4,True,False
10,DB01,DK06,one_way,False,0.0,191.0,191.0,191.0,2442.0,2251.0,30.0,8.95,8.94,2252.0,0.0,5707.2,5594.7,198.0,8,58.52,0.0,0,30.7,True,False
11,DK06,DB01,round_trip,True,0.0,0.0,0.0,0.0,5497.0,5497.0,50.0,8.0,12.94,3399.0,2098.0,11782.9,12219.4,479.0,15,115.78,690.0,1,51.2,True,False
12,DB02,DK01,one_way,False,0.0,0.0,0.0,0.0,523.0,523.0,60.0,40.52,40.44,524.0,0.0,5938.8,5886.8,6.0,6,44.66,0.0,0,78.3,True,False
