fcfs_rank,agent_id,origin,dest,round_trip,speed_kmh,arrival_s,ctot_s,delay_s,binding,first_leg,route_len_m,eta_s,slowness_factor,dock_hold_s
0,0,DB01,DK01,True,30.0,0.0,0.0,0.0,ready,DK01__DB01#B,774.0,551.5,5.937,2400.0
1,1,DK01,DB01,True,50.0,0.0,0.0,0.0,ready,DK01__DB01#A,755.6,327.2,6.014,2400.0
2,2,DB01,DK02,False,60.0,0.0,0.0,0.0,ready,DB01__TN7#A,4530.6,636.7,2.342,0.0
3,3,DK02,DB01,False,30.0,0.0,0.0,0.0,ready,DK02__RBT14#A,4435.7,1233.2,2.317,0.0
4,4,DB01,DK03,True,60.0,0.0,30.0,30.0,corridor_headway,DB01__TN7#A,2511.1,436.8,2.899,2400.0
5,5,DK03,DB01,True,50.0,0.0,0.0,0.0,ready,DK03__RBT17#A,2262.4,480.5,2.95,2400.0
6,6,DB01,DK04,False,60.0,0.0,0.0,0.0,ready,DB01__RBT15#A,2505.1,661.5,4.401,0.0
7,7,DK04,DB01,False,50.0,0.0,0.0,0.0,ready,DK04__RBT12#A,2810.9,938.7,4.638,0.0
8,8,DB01,DK05,False,30.0,0.0,30.0,30.0,corridor_headway,DB01__RBT15#A,2990.6,1439.4,4.011,0.0
9,9,DK05,DB01,False,60.0,0.0,0.0,0.0,ready,DK05__RBT12#A,2949.1,749.6,4.236,0.0
10,10,DB01,DK06,False,30.0,0.0,60.0,60.0,corridor_headway,DB01__RBT15#A,5982.5,2273.3,3.167,0.0
11,11,DK06,DB01,True,50.0,0.0,0.0,0.0,ready,DK06__RBT03#A,5817.9,1396.5,3.334,2400.0
12,12,DB02,DK01,False,60.0,0.0,0.0,0.0,ready,DB02__TN5#A,4410.7,460.6,1.74,0.0
13,13,DK01,DB02,True,50.0,0.0,0.0,0.0,ready,DK01__RBT16#A,4460.8,574.9,1.79,2400.0
14,14,DB02,DK02,True,50.0,0.0,0.0,0.0,ready,DB02__RBT04#A,3988.9,622.9,2.169,2400.0
15,15,DK02,DB02,True,60.0,0.0,30.0,30.0,corridor_headway,DK02__RBT14#A,4295.0,567.3,2.202,2400.0
16,16,DB02,DK03,True,60.0,0.0,30.0,30.0,corridor_headway,DB02__RBT04#A,3878.1,594.4,2.554,2400.0
17,17,DK03,DB02,True,60.0,0.0,30.0,30.0,corridor_headway,DK03__RBT17#A,4059.7,632.3,2.596,2400.0
18,18,DB02,DK04,False,30.0,0.0,60.0,60.0,corridor_headway,DB02__RBT04#A,2809.9,881.6,2.615,0.0
19,19,DK04,DB02,True,50.0,0.0,0.0,0.0,ready,DK04__RBT07#A,2597.9,487.4,2.606,2400.0
20,20,DB02,DK05,True,30.0,0.0,90.0,90.0,corridor_headway,DB02__RBT04#A,2422.0,764.9,2.632,2400.0
21,21,DK05,DB02,False,50.0,0.0,0.0,0.0,ready,DK05__RBT04#A,2447.5,473.0,2.684,0.0
22,22,DB02,DK06,False,30.0,0.0,0.0,0.0,ready,DB02__TN8#A,1522.0,310.9,1.702,0.0
23,23,DK06,DB02,True,60.0,0.0,0.0,0.0,ready,DK06__TN8#A,1522.0,147.2,1.611,2400.0
