t_s,n_airborne,n_holding,min_approach_m,n_done,n_backlog,n_active
0.0,17,0,657.8455089357951,0,0,16
20.0,17,0,606.4543386049443,0,0,16
40.0,29,0,22.245159029184176,0,2,28
60.0,34,0,27.98690051357447,0,5,33
80.0,34,0,35.81634454765245,0,5,33
100.0,38,0,43.88298888934682,0,9,37
120.0,39,0,49.76849681825419,0,14,38
140.0,42,1,54.49431512123891,0,11,41
160.0,42,1,33.112620467619294,0,15,41
180.0,48,2,28.771020760937464,0,13,47
200.0,49,1,33.71480981918186,0,12,48
220.0,49,3,33.12806423264217,0,16,48
240.0,49,2,37.39234454146297,0,19,48
260.0,50,2,55.59333492841177,0,18,49
280.0,52,2,106.73613483534166,1,17,51
300.0,55,3,15.48995994898308,1,16,54
320.0,58,3,9.192693106737536,1,13,57
340.0,57,4,5.625722964397351,1,15,56
360.0,57,3,6.052582573257865,1,17,56
380.0,59,6,0.4939068060123239,2,14,58
400.0,58,6,13.236409653213213,3,14,57
420.0,56,4,66.19143276851688,4,16,55
440.0,59,4,57.811506174073244,4,13,58
460.0,61,1,28.145787973003223,5,12,60
480.0,59,5,25.29308746672563,6,12,58
500.0,59,3,19.46677916766706,6,11,58
520.0,57,4,21.761276468682368,7,11,56
540.0,56,3,14.64996079010876,8,11,55
560.0,54,2,38.85495442270871,9,11,53
580.0,53,3,17.908954308839935,11,8,52
600.0,53,5,18.197236580481977,12,7,52
620.0,52,4,11.45855777670588,12,7,51
640.0,52,5,5.2217613829854175,13,6,51
660.0,51,7,6.046308079296895,14,7,50
680.0,50,3,38.408993714411075,14,8,49
700.0,48,0,122.14492926658808,15,8,47
720.0,49,1,35.18614635372065,16,6,48
740.0,49,5,35.16577103949088,16,7,48
760.0,47,6,148.48260550230353,18,7,46
780.0,48,5,78.19478158950652,18,7,47
800.0,48,4,70.92445996796883,18,7,47
820.0,47,5,69.83538816039061,19,7,46
840.0,45,5,81.53929480843914,21,8,44
860.0,48,4,99.0261829039687,21,6,47
880.0,47,3,126.64644565348186,21,6,46
900.0,47,2,51.68935141467474,21,7,46
920.0,47,3,4.555574226315733,21,6,46
940.0,48,3,139.81708055395032,21,5,47
960.0,48,3,34.54297444585025,23,3,47
980.0,48,3,34.01329704345491,23,2,47
1000.0,47,3,36.55835261488539,25,1,46
1020.0,46,7,41.04602926072733,25,1,45
1040.0,44,4,3.8443154515976308,27,1,43
1060.0,44,4,55.40291874357612,28,0,43
1080.0,43,3,67.14618602337602,29,0,42
1100.0,43,3,79.62970197339152,29,0,42
1120.0,43,4,92.95873221932207,29,0,42
1140.0,42,1,107.3953024263364,30,0,41
1160.0,40,2,108.1358472762447,31,0,39
1180.0,38,3,93.85061297148509,32,0,38
1200.0,36,2,120.6158044573481,34,0,36
1220.0,36,3,211.80237978188612,34,0,36
1240.0,35,6,258.97032245184494,35,0,35
1260.0,32,5,198.4959541533052,37,0,32
1280.0,32,5,140.67585639687675,37,0,32
1300.0,32,4,99.53658743532944,37,0,32
1320.0,31,5,87.48491332978196,38,0,31
1340.0,31,5,92.49195896537829,38,0,31
1360.0,30,3,204.8703298179521,39,0,30
1380.0,30,3,206.56417999762192,39,0,30
1400.0,27,3,187.8076434122748,40,0,27
1420.0,27,2,180.52241865785396,40,0,27
1440.0,27,2,170.74773218803605,40,0,27
1460.0,26,3,185.89528928231502,41,0,26
1480.0,25,4,178.20613225217372,42,0,25
1500.0,24,5,183.12978316941357,43,0,24
1520.0,23,3,185.1493607855695,44,0,23
1540.0,23,4,187.06197667241184,44,0,23
1560.0,23,2,187.16888151096143,44,0,23
1580.0,21,2,230.40854519779091,46,0,21
1600.0,21,1,208.19180061432428,46,0,21
1620.0,21,1,281.758149940671,46,0,21
1640.0,20,2,309.3132974938533,46,0,20
1660.0,20,3,251.18420898446263,46,0,20
1680.0,19,3,57.19481505372634,47,0,19
1700.0,18,3,21.968440647685025,47,0,18
1720.0,18,4,96.05515552669807,47,0,18
1740.0,18,4,178.86930090873986,47,0,18
1760.0,16,2,273.7450222856887,47,0,16
1780.0,15,1,242.3695322243443,48,0,15
1800.0,16,2,280.17461496025624,48,0,15
1820.0,16,2,269.7226760919951,48,0,15
1840.0,13,1,269.67948003346294,50,0,12
1860.0,14,1,259.4470109259297,50,0,13
1880.0,14,2,216.82563723103863,50,0,13
1900.0,14,0,211.90715511917531,50,0,13
1920.0,14,1,191.19750427187762,50,0,13
1940.0,14,1,180.5089098832393,50,0,13
1960.0,15,0,181.30893017857105,50,0,14
1980.0,16,0,189.32964325601003,50,0,15
2000.0,15,0,646.6677303934621,50,0,14
2020.0,15,1,573.2799123074697,51,0,14
2040.0,16,0,541.6197789078122,51,0,15
2060.0,16,1,531.394929597387,51,0,15
2080.0,16,0,58.040617018525445,51,0,15
2100.0,14,0,540.6239993010266,52,0,13
2120.0,14,1,460.8772785584164,52,0,13
2140.0,15,0,403.27898354591593,52,0,14
2160.0,16,0,336.2871078197311,52,0,15
2180.0,17,0,310.84173485667543,52,0,16
2200.0,19,0,696.6370753699324,52,0,18
2220.0,23,0,663.1889905356894,52,0,22
2240.0,24,0,611.5664268660065,53,0,23
2260.0,25,0,609.2758692365236,53,0,24
2280.0,26,0,617.0196550340855,54,1,25
2300.0,29,0,142.35100938927735,54,0,28
2320.0,31,0,161.23626690997378,54,0,30
2340.0,32,1,205.12277687836186,54,2,31
2360.0,34,1,79.8566108061818,54,1,33
2380.0,36,0,103.38808395213982,54,1,35
2400.0,40,0,143.0125823741853,54,1,39
2420.0,43,0,199.8656057745381,54,0,42
2440.0,46,0,139.97150895233273,54,0,45
2460.0,46,0,157.54136665258076,56,1,45
2480.0,49,2,74.4763455974276,56,1,48
2500.0,51,2,124.37376778620481,56,0,50
2520.0,53,3,107.54462897871569,56,0,52
2540.0,52,2,9.325414440326243,57,1,51
2560.0,51,2,45.381937846296005,58,1,50
2580.0,51,1,68.66360864288285,59,1,50
2600.0,50,3,59.34664079007943,61,1,49
2620.0,50,3,59.34664079007943,63,0,49
2640.0,48,4,97.7860156974726,65,0,47
2660.0,47,1,74.47567640297989,66,0,46
2680.0,48,2,92.9105592623285,67,0,47
2700.0,48,4,2.5010090210196325,67,0,47
2720.0,49,3,23.888025015209195,67,0,48
2740.0,49,4,79.1863127484513,68,0,48
2760.0,48,6,115.739368111161,68,0,47
2780.0,46,4,114.0023906602041,68,0,45
2800.0,46,6,110.38386577797415,69,0,45
2820.0,44,6,21.980867855079516,71,0,43
2840.0,45,7,87.46335391344962,71,0,44
2860.0,47,5,158.09027250218617,72,0,46
2880.0,44,6,52.814521454346156,75,0,43
2900.0,45,4,19.2657429579713,75,0,44
2920.0,41,3,157.95616068268444,78,0,40
2940.0,39,3,90.47129883601117,78,0,38
2960.0,39,5,5.212985276747735,78,0,38
2980.0,37,3,131.68508764709352,78,0,37
3000.0,36,3,42.91131628483059,78,0,36
3020.0,35,3,185.62116825460322,79,0,35
3040.0,35,1,259.13207429447726,79,0,35
3060.0,38,1,211.1286422146339,79,0,38
3080.0,37,2,85.21810811617412,80,0,37
3100.0,36,2,90.14952464852323,82,0,36
3120.0,36,3,10.800900289930953,83,0,36
3140.0,34,2,43.94023139129604,85,0,34
3160.0,34,3,59.34664079007943,85,0,34
3180.0,33,4,59.34664079007943,86,0,33
3200.0,34,5,32.60849760511294,87,0,34
3220.0,34,5,20.368983021885438,88,0,34
3240.0,34,5,75.66597003845008,89,0,34
3260.0,34,7,59.34664079007943,89,0,34
3280.0,35,8,59.34664079007943,89,0,35
3300.0,34,8,197.0285458961167,91,0,34
3320.0,33,10,196.06383863394655,92,0,33
3340.0,32,7,177.50015293952214,93,0,32
3360.0,33,6,151.85105164110416,93,0,33
3380.0,33,4,119.17732903753951,93,0,33
3400.0,33,1,81.60134128332254,93,0,33
3420.0,32,1,40.32107744380294,94,0,32
3440.0,33,4,135.5424101685096,94,0,33
3460.0,34,2,72.0941483571375,94,0,34
3480.0,34,2,77.30689723086577,94,0,34
3500.0,36,2,42.36238279156694,94,0,36
3520.0,34,2,49.37466499614589,97,0,34
3540.0,34,3,59.40425968429214,97,0,34
3560.0,36,4,72.02020893986835,97,0,36
3580.0,34,2,64.26442747097441,99,0,34
3600.0,37,3,53.434889084091004,99,0,36
3620.0,37,3,42.134642764310534,100,0,36
3640.0,35,2,357.96523479095356,102,0,34
3660.0,35,2,302.76921341153565,102,0,34
3680.0,35,1,97.54772603063321,103,0,34
3700.0,35,2,133.66323297148114,103,0,34
3720.0,35,2,195.9722778779677,103,0,34
3740.0,35,1,183.4848238693018,103,0,34
3760.0,35,1,133.88496253396931,103,0,34
3780.0,34,1,130.49605874967324,104,0,33
3800.0,36,0,113.90879202539627,104,0,35
3820.0,33,0,77.12820809670534,104,0,32
3840.0,31,1,153.6064759579363,106,0,30
3860.0,30,1,128.37558176150708,107,0,29
3880.0,28,1,116.70528059062379,108,0,27
3900.0,27,2,275.7213363258941,108,0,26
3920.0,26,2,298.8037742815127,108,0,25
3940.0,23,1,349.5524678692471,110,0,22
3960.0,23,1,313.66935422027063,110,0,22
3980.0,23,1,275.57489806392545,110,0,22
4000.0,24,0,234.0919942485125,110,0,23
4020.0,24,0,159.4031403918496,110,0,23
4040.0,24,1,115.96481981878283,110,0,23
4060.0,24,1,98.00110944004662,110,0,23
4080.0,22,0,477.02173301701083,112,0,21
4100.0,21,1,655.2333177538319,113,0,20
4120.0,20,2,633.2777785696146,114,0,19
4140.0,20,3,536.757095460535,114,0,19
4160.0,18,2,488.5876364514364,116,0,17
4180.0,18,2,438.69643587589917,116,0,17
4200.0,18,2,385.1593641589309,116,0,17
4220.0,18,1,204.76688098060427,116,0,17
4240.0,18,0,202.25969507452075,116,0,17
4260.0,18,1,168.3486678939093,116,0,17
4280.0,17,2,163.55742077724844,117,0,16
4300.0,17,0,198.21486976650357,117,0,16
4320.0,17,0,79.59233041040446,117,0,16
4340.0,16,2,6.031437881278491,118,0,15
4360.0,16,2,89.02029920246999,118,0,15
4380.0,16,2,124.17839218673667,118,0,15
4400.0,17,2,73.62143332146113,118,0,16
4420.0,17,3,52.588758529753235,118,0,16
4440.0,16,2,93.75803687460927,119,0,15
4460.0,17,2,179.87736217157172,119,0,16
4480.0,18,2,178.3228323389515,119,0,17
4500.0,18,3,187.54193226644168,119,0,17
4520.0,17,2,179.50948822283806,119,0,16
4540.0,17,1,160.3009888981726,119,0,16
4560.0,19,3,144.86170490667914,119,0,18
4580.0,22,2,164.6839299724786,119,0,21
4600.0,23,2,175.131147277016,119,0,22
4620.0,25,4,87.02245254529684,120,0,24
4640.0,25,2,100.37145356027504,120,0,24
4660.0,26,1,78.71266376212549,121,0,25
4680.0,26,2,63.43569045320607,122,0,25
4700.0,28,2,55.009001907788196,122,0,27
4720.0,31,2,58.088813850060156,122,0,30
4740.0,33,4,60.86707876825987,123,0,32
4760.0,33,3,145.04656168006295,124,0,32
4780.0,32,4,167.66021498566238,125,1,32
4800.0,35,6,176.25811301261155,125,0,35
4820.0,36,3,95.79208736830135,125,0,36
4840.0,38,4,20.334648051892124,125,0,38
4860.0,39,4,139.6574946500647,126,0,39
4880.0,40,4,182.7137034115197,126,0,40
4900.0,42,2,110.72508389079046,126,0,42
4920.0,45,2,137.88857522011236,126,0,45
4940.0,46,0,59.803014016282525,126,0,46
4960.0,49,0,50.04087774650544,126,0,49
4980.0,51,2,50.03934018244979,127,0,51
5000.0,53,4,50.037861565981856,128,0,53
5020.0,53,4,71.7150373038965,129,4,53
5040.0,52,4,124.04091963970012,131,4,52
5060.0,53,4,87.99341573956164,131,6,53
5080.0,58,3,62.395423876214096,132,4,58
5100.0,60,2,37.707846931305525,132,3,60
5120.0,59,3,40.1212275196512,133,4,59
5140.0,58,6,133.96935628906397,136,5,58
5160.0,59,6,81.41116094893914,137,3,59
5180.0,59,4,81.41116094893914,140,2,59
5200.0,59,5,81.41116094893914,140,2,59
5220.0,59,5,65.53921811514243,140,2,59
5240.0,59,5,81.41116094893914,140,2,59
5260.0,58,5,34.09047272224727,140,2,58
5280.0,58,6,26.80880260278862,141,2,58
5300.0,55,4,15.61163956452731,143,1,55
5320.0,55,3,4.719750432815351,145,1,55
5340.0,56,2,16.91464058558677,146,1,56
5360.0,57,0,32.566136407661816,146,0,57
5380.0,56,1,27.51664567431982,146,1,56
5400.0,56,3,20.331552330366804,148,1,55
5420.0,49,5,33.62229279326479,153,1,48
5440.0,52,3,62.26304741057558,154,0,51
5460.0,53,3,83.09155883101059,154,1,52
5480.0,50,1,102.31333510525492,155,1,49
5500.0,50,1,155.11933703576457,156,2,49
5520.0,51,2,61.293541901508,157,3,50
5540.0,50,3,61.020381074180506,159,2,49
5560.0,50,7,45.214430230000495,160,2,49
5580.0,52,11,70.28922471186618,160,2,51
5600.0,54,8,70.28922471186618,160,0,53
5620.0,57,9,70.28922471186618,161,0,56
5640.0,55,11,70.28922471186618,163,0,54
5660.0,52,10,29.667462382498112,164,0,51
5680.0,53,11,70.28922471186618,164,0,52
5700.0,53,12,65.99644321493452,164,0,52
5720.0,53,7,65.30639068923897,165,0,52
5740.0,54,8,63.59297468188811,165,0,53
5760.0,52,4,60.75461951333157,168,0,51
5780.0,52,3,174.26284864138893,168,0,51
5800.0,52,6,77.2648694779206,168,0,51
5820.0,53,7,135.31787567592949,168,0,52
5840.0,53,7,215.23006392082834,168,0,52
5860.0,52,7,253.0558939862545,169,0,51
5880.0,51,5,135.28751871492267,169,1,50
5900.0,50,8,15.50330426544027,171,0,49
5920.0,49,9,116.4177057612949,171,1,48
5940.0,51,7,144.43941264600457,171,0,50
5960.0,50,5,168.95409309733424,172,0,49
5980.0,50,5,41.25439807117879,173,0,49
6000.0,51,5,72.25964839570118,174,0,50
6020.0,50,6,110.83951766458576,175,0,49
6040.0,48,6,175.5072790691359,177,0,47
6060.0,48,5,162.84017991767647,177,0,47
6080.0,47,3,82.89644740257538,178,0,46
6100.0,47,2,142.44612104555242,178,0,46
6120.0,44,5,249.84893550409868,180,0,43
6140.0,41,3,218.46752462059965,182,0,40
6160.0,39,2,230.38301851693575,184,0,38
6180.0,39,3,214.6530974514573,184,0,38
6200.0,37,4,280.4908883342381,185,0,36
6220.0,37,4,300.97937134067706,185,0,36
6240.0,34,5,304.3911096851538,188,0,33
6260.0,33,6,255.04325470737774,188,0,32
6280.0,30,4,305.1851727647278,190,0,29
6300.0,28,4,205.86366724509426,192,0,27
6320.0,28,3,176.3996294466366,192,0,27
6340.0,28,4,161.44800531374324,192,0,27
6360.0,26,4,159.35001274848798,194,0,25
6380.0,26,2,44.73607992445637,194,0,25
6400.0,26,2,120.0386108936023,195,0,25
6420.0,26,3,161.4562506933365,195,0,25
6440.0,26,0,254.1446458882254,196,0,25
6460.0,26,0,35.15215281418818,197,0,25
6480.0,24,0,18.917606901367087,198,0,23
6500.0,25,1,21.784059541763952,198,0,24
6520.0,25,2,43.43106545077636,199,0,24
6540.0,25,1,50.01243217233052,199,0,24
6560.0,26,1,50.01516995916026,199,0,25
6580.0,24,2,50.005762553979004,200,0,24
6600.0,25,2,50.004501767016414,200,0,25
6620.0,25,2,59.04179503476551,200,0,25
6640.0,25,4,75.38252346546562,201,0,25
6660.0,27,2,194.9850334000613,201,0,27
6680.0,27,2,209.46982523964417,202,0,27
6700.0,28,1,200.2992844176862,202,1,28
6720.0,28,0,121.14885248998945,202,0,28
6740.0,28,1,143.0158026256581,202,0,28
6760.0,28,1,117.184668667953,202,0,28
6780.0,28,0,58.63849111741822,202,0,28
6800.0,29,1,49.60746023061972,202,0,29
6820.0,30,1,248.52436626803316,202,0,30
6840.0,30,1,237.26726893670943,202,0,30
6860.0,30,0,420.6171586304739,202,0,30
6880.0,30,0,333.9841715228868,202,0,30
6900.0,29,0,455.98391146201965,203,0,29
6920.0,29,0,347.0568947731589,204,0,29
6940.0,28,0,255.02051226413676,205,0,28
6960.0,26,1,219.45913661039043,207,0,26
6980.0,25,1,248.4265970518622,208,0,25
7000.0,28,1,51.433517640294795,208,0,28
7020.0,26,1,249.9620882762354,209,0,26
7040.0,26,2,330.6500911554777,210,0,26
7060.0,28,1,417.14282567016755,210,0,28
7080.0,28,0,442.4843865154407,211,0,28
7100.0,29,1,431.9214970367716,211,0,29
7120.0,30,0,295.7075941006087,211,0,30
7140.0,31,0,287.6583168082369,212,0,31
7160.0,32,1,53.0406176047627,212,0,32
7180.0,33,0,248.4250638409759,213,0,33
7200.0,39,1,232.5336544627985,213,0,38
7220.0,41,2,138.95496546641016,213,1,40
7240.0,41,2,43.99044659167832,216,1,40
7260.0,43,2,32.36312763844197,216,3,42
7280.0,47,3,38.315630636466366,216,3,46
7300.0,51,2,43.952086517365636,216,3,50
7320.0,54,1,55.8609395155164,218,2,53
7340.0,54,2,68.56881677325889,218,2,53
7360.0,56,4,55.46075088570607,219,2,55
7380.0,59,4,44.93626407053063,219,2,58
7400.0,59,1,88.78831719238498,220,1,58
7420.0,60,1,39.19116807809309,221,1,59
7440.0,60,3,54.728383909758904,222,0,59
7460.0,61,6,166.05920908353747,223,0,60
7480.0,59,6,48.88827256933196,224,0,58
7500.0,60,4,7.239368074666607,224,0,59
7520.0,59,4,58.258461223377886,224,0,58
7540.0,59,3,102.07156308345942,224,0,58
7560.0,59,6,44.65475458376429,225,0,58
7580.0,56,4,30.83274284322261,228,0,55
7600.0,59,5,96.47613646790205,228,0,58
7620.0,58,3,100.3961693469606,228,1,57
7640.0,59,4,61.097746206876494,229,0,58
7660.0,62,8,50.011523246812025,229,0,61
7680.0,61,7,50.01127305681901,230,0,60
7700.0,59,6,50.0110135502757,232,0,58
7720.0,59,4,15.502859305238468,233,0,58
7740.0,60,3,100.33577495424069,233,0,59
7760.0,59,5,172.7740316496173,233,0,58
7780.0,58,5,165.11018249513987,233,0,57
7800.0,55,6,176.92360402852628,235,0,54
7820.0,52,5,239.3702820769117,237,0,51
7840.0,52,5,245.5433200481445,237,0,51
7860.0,51,8,191.68327052855844,237,0,50
7880.0,49,7,141.84587844637574,239,0,48
7900.0,49,5,68.52743232666042,239,0,48
7920.0,48,7,22.200139982451454,240,0,47
7940.0,49,6,47.29726771858557,240,0,48
7960.0,49,6,25.398736429600607,240,0,48
7980.0,48,6,9.904277333541673,241,0,47
8000.0,49,6,59.34664079007943,242,0,48
8020.0,48,6,59.34664079007943,243,0,47
8040.0,47,5,30.15878880644801,244,0,46
8060.0,47,5,78.14109739681889,245,0,46
8080.0,49,7,172.31084882614547,245,0,48
8100.0,50,5,29.94736992225953,246,0,49
8120.0,47,4,190.00346352324902,249,0,46
8140.0,47,4,86.17081776469412,250,0,46
8160.0,47,6,7.131139936761752,250,0,46
8180.0,44,5,108.32037038372762,252,0,43
8200.0,44,5,187.12311143738737,252,0,43
8220.0,43,7,129.20137183242548,253,0,42
8240.0,41,5,133.73592082670336,255,0,40
8260.0,41,4,95.43283797313599,255,0,40
8280.0,40,4,86.00104795164553,255,0,39
8300.0,38,5,113.08246559680731,258,0,37
8320.0,38,2,169.9099527232212,258,0,37
