t_s,agent_id,x,y,kind,speed_kmh,holding,level
0.0,1000000,2112.03,624.05,patrol,50.0,False,6
0.0,0,774.58,4178.16,outbound,30.0,False,3
0.0,1,219.29,3804.83,outbound,50.0,False,0
0.0,2,736.41,4211.46,outbound,60.0,False,0
0.0,3,4146.66,2975.0,outbound,30.0,False,3
0.0,5,2564.25,4028.9,outbound,50.0,False,3
0.0,6,768.04,4197.82,outbound,60.0,False,4
0.0,7,1274.18,2644.69,outbound,50.0,False,1
0.0,9,2244.52,2786.89,outbound,60.0,False,2
0.0,11,3239.44,1082.3,outbound,50.0,False,2
0.0,12,2097.66,580.4,outbound,60.0,False,3
0.0,13,244.77,3785.95,outbound,50.0,False,4
0.0,14,2052.15,620.35,outbound,50.0,False,1
0.0,19,1330.35,2651.38,outbound,50.0,False,5
0.0,21,2279.54,2802.66,outbound,50.0,False,4
0.0,22,2101.75,627.82,outbound,30.0,False,5
0.0,23,3275.97,1074.58,outbound,60.0,False,3
20.0,1000000,2372.8,528.36,patrol,50.0,False,6
20.0,0,767.87,4162.87,outbound,30.0,False,3
20.0,1,292.27,3848.65,outbound,50.0,False,0
20.0,2,756.07,4239.39,outbound,60.0,False,0
20.0,3,4081.19,2975.0,outbound,30.0,False,3
20.0,5,2499.73,3964.38,outbound,50.0,False,3
20.0,6,762.49,4164.47,outbound,60.0,False,4
20.0,7,1299.44,2695.93,outbound,50.0,False,1
20.0,9,2176.79,2809.49,outbound,60.0,False,2
20.0,11,3173.07,1155.53,outbound,50.0,False,2
20.0,12,1952.87,489.01,outbound,60.0,False,3
20.0,13,231.57,3703.14,outbound,50.0,False,4
20.0,14,2076.35,718.77,outbound,50.0,False,1
20.0,19,1364.21,2603.27,outbound,50.0,False,5
20.0,21,2270.29,2748.89,outbound,50.0,False,4
20.0,22,2102.53,627.54,outbound,30.0,False,5
20.0,23,3184.88,970.91,outbound,60.0,False,3
40.0,1000000,2633.57,432.66,patrol,50.0,False,6
40.0,0,761.72,4147.24,outbound,30.0,False,3
40.0,1,372.53,3889.46,outbound,50.0,False,0
40.0,2,775.95,4266.46,outbound,60.0,False,0
40.0,3,4017.29,2975.0,outbound,30.0,False,3
40.0,5,2434.15,3898.8,outbound,50.0,False,3
40.0,6,757.06,4131.68,outbound,60.0,False,4
40.0,7,1326.66,2751.15,outbound,50.0,False,1
40.0,9,2085.94,2839.81,outbound,60.0,False,2
40.0,11,3098.97,1237.28,outbound,50.0,False,2
40.0,12,1733.35,350.44,outbound,60.0,False,3
40.0,13,215.4,3601.61,outbound,50.0,False,4
40.0,14,2097.22,814.31,outbound,50.0,False,1
40.0,19,1418.16,2558.27,outbound,50.0,False,5
40.0,21,2260.47,2691.78,outbound,50.0,False,4
40.0,22,2153.49,608.84,outbound,30.0,False,5
40.0,23,3046.95,813.92,outbound,60.0,False,3
40.0,4,751.33,4236.34,outbound,60.0,False,0
40.0,15,4226.46,2952.42,outbound,60.0,False,5
40.0,16,2032.25,652.99,outbound,60.0,False,2
40.0,17,2620.4,4028.92,outbound,60.0,False,5
40.0,24,724.17,4206.8,outbound,60.0,False,2
40.0,25,185.07,3840.58,outbound,50.0,False,1
40.0,31,1256.22,2611.89,outbound,50.0,False,2
40.0,33,2261.14,2779.71,outbound,30.0,False,3
40.0,35,3274.11,1022.86,outbound,60.0,False,4
40.0,46,2131.87,614.08,outbound,30.0,False,5
40.0,45,2300.98,2840.79,outbound,60.0,False,5
40.0,47,3262.54,1144.89,outbound,30.0,False,0
60.0,1000000,2796.23,604.31,patrol,50.0,False,6
60.0,0,758.41,4131.19,outbound,30.0,False,3
60.0,1,462.86,3895.05,outbound,50.0,False,0
60.0,2,799.35,4298.42,outbound,60.0,False,0
60.0,3,3950.65,2975.0,outbound,30.0,False,3
60.0,5,2364.38,3829.03,outbound,50.0,False,3
60.0,6,756.16,4099.18,outbound,60.0,False,4
60.0,7,1354.82,2808.29,outbound,50.0,False,1
