t_s,agent_a,agent_b,gap_m,x,y,res_a,res_b,flight_level
40.0,2,4,38.9,763.6,4251.4,DB01__TN2#A,DB01__TN7#A,0
40.0,22,46,22.25,2142.7,611.5,DB02__TN8#A,DB02__RBT02#A,5
60.0,22,46,27.99,2207.0,585.3,DB02__TN8#A,DB02__RBT02#A,5
60.0,24,10,48.19,712.6,4213.4,DB01__TN1#A,DB01__RN3#A,2
80.0,22,46,35.82,2289.0,551.9,DB02__TN8#A,DB02__RBT02#A,5
100.0,22,46,43.88,2387.5,511.8,DB02__TN8#A,DB02__RBT02#A,5
120.0,22,46,49.77,2496.4,467.3,DB02__TN8#A,DB02__RBT02#A,5
160.0,14,16,33.11,1994.8,1421.6,DB02__RBT04#A,RBT04#RING,1
180.0,28,8,28.77,756.9,4244.6,DB01__TN2#A,DB01__TN7#A,0
300.0,1,74,47.86,728.4,4196.3,DK01__DB01#A,DB01__TN2#A,0
320.0,1,74,47.75,743.0,4220.6,DK01__DB01#A,DB01__TN2#A,0
340.0,60,20,40.86,1697.4,1203.3,TN5__RBT06#A,DB02__TN5#A,2
360.0,35,62,37.73,3005.2,154.0,RBT01__RBT02#A,RBT02#RING,0
360.0,40,64,35.82,2434.6,492.3,DB02__TN8#A,DB02__RBT02#A,5
380.0,66,86,0.49,2106.1,626.0,DB02__TN8#A,DB02__RBT02#A,5
400.0,29,144,13.24,775.5,4177.7,DB01__TN2#B,DK01__DB01#B,3
400.0,66,86,30.99,2172.9,598.1,DB02__TN8#A,DB02__RBT02#A,5
460.0,56,50,34.64,745.8,4224.0,DB01__TN7#A,DB01__TN2#A,0
480.0,56,50,35.84,757.6,4232.8,DB01__TN7#A,DB01__TN2#A,0
500.0,56,50,25.34,775.1,4248.6,DB01__TN7#A,DB01__TN2#A,0
520.0,56,50,29.74,793.4,4265.7,DB01__TN7#A,DB01__TN2#A,0
540.0,20,108,14.65,1994.4,1433.9,RBT04#RING,DB02__RBT04#A,1
560.0,20,108,38.85,2020.4,1428.2,RBT04#RING,DB02__RBT04#A,1
620.0,120,102,49.24,712.9,4213.0,DB01__TN1#A,DB01__RN3#A,2
740.0,31,106,5.05,716.2,4197.5,DB01__RBT15#B,DB01__TN12#A,1
920.0,88,90,4.56,2003.3,1430.3,RBT04#RING,DB02__RBT04#A,1
1160.0,27,104,38.07,823.5,4223.3,DB01__TN7#B,DB01__TN2#B,3
1180.0,27,104,21.79,807.7,4209.4,DB01__TN7#B,DB01__TN2#B,3
1200.0,27,104,6.67,791.8,4195.3,DB01__TN7#B,DB01__TN2#B,3
1660.0,66,150,40.23,1464.5,2959.7,DK04__RBT12#B,RBT12#RING,4
2300.0,5,224,46.87,758.7,4231.5,DB01__TN7#A,DB01__TN2#A,0
2320.0,5,224,49.07,780.2,4247.5,DB01__TN7#A,DB01__TN2#A,0
2660.0,117,165,0.64,2076.5,1620.1,RBT04#RING,DK05__RBT04#A,4
2720.0,166,190,23.89,2392.8,508.8,DB02__RBT02#A,DB02__TN8#A,5
2820.0,117,43,15.98,2025.2,1628.3,RBT04#RING,RBT04__RBT07#B,4
2860.0,14,63,1.79,3095.4,2331.8,RBT08__RBT14#B,RBT08#RING,3
2980.0,61,117,32.33,2001.9,1622.3,RBT04__RBT07#B,RBT04#RING,4
