t_s,n_airborne,n_holding,min_approach_m,n_done,n_backlog,n_active
0.0,17,0,657.8455089357951,0,0,16
20.0,17,0,606.4543386049443,0,0,16
40.0,29,0,22.245159029184176,0,2,28
60.0,34,0,27.98690051357447,0,5,33
80.0,34,0,35.81634454765245,0,5,33
100.0,38,0,43.88298888934682,0,9,37
120.0,39,0,49.76849681825419,0,14,38
140.0,42,1,54.49431512123891,0,11,41
160.0,42,1,33.112620467619294,0,15,41
180.0,47,2,28.771020760937464,0,14,46
200.0,49,1,51.62390888509912,0,12,48
220.0,49,3,72.78841075327466,0,16,48
240.0,49,2,96.22202147022145,0,19,48
260.0,50,2,146.975781332464,0,18,49
280.0,52,2,162.34439853871788,1,17,51
300.0,54,3,47.864480088156306,1,17,53
320.0,57,3,47.75122059276075,1,14,56
340.0,57,3,40.863955710842575,1,15,56
360.0,57,4,35.816607138046734,1,17,56
380.0,60,6,0.4939068060123239,1,14,59
400.0,59,6,13.236409653213213,2,14,58
420.0,57,5,66.19143276851688,3,16,56
440.0,59,4,57.811506174073244,3,14,58
460.0,62,2,34.64087311652041,4,12,61
480.0,59,5,35.84108465424497,5,13,58
500.0,59,3,25.33654200676014,5,12,58
520.0,58,3,29.744290376381976,6,11,57
540.0,57,3,14.64996079010876,7,11,56
560.0,54,2,38.85495442270871,9,11,53
580.0,51,3,85.42174822460979,11,10,50
600.0,53,4,124.96849970904546,11,8,52
620.0,53,4,49.23870747030337,11,7,52
640.0,54,5,64.21188562356761,11,6,53
660.0,53,5,94.01071664714362,12,7,52
680.0,53,3,137.86091694424343,12,8,52
700.0,52,1,213.79254518479962,13,8,51
720.0,52,0,152.6323744383704,14,7,51
740.0,51,5,5.050461485148445,15,7,50
760.0,50,5,148.48260550230353,16,7,49
780.0,51,6,87.06738258723523,16,7,50
800.0,51,6,76.06237970835237,16,7,50
820.0,49,8,77.72269993445492,18,7,48
840.0,48,6,88.91509080837001,20,7,47
860.0,50,4,105.53555259879992,20,6,49
880.0,49,4,135.9050424486054,20,6,48
900.0,49,5,51.68935141467474,21,6,48
920.0,50,6,4.555574226315733,21,5,49
940.0,51,5,65.29348452813005,21,4,50
960.0,50,6,97.17459353901575,22,4,49
980.0,49,7,160.76559600879128,22,4,48
1000.0,48,7,255.93871945564987,23,4,47
1020.0,48,11,174.80097095983007,23,3,47
1040.0,46,7,145.40088263759438,25,3,45
1060.0,45,6,199.7602075184896,26,3,44
1080.0,45,3,133.85330504833544,26,3,44
1100.0,45,3,114.60541181082232,27,2,44
1120.0,46,3,62.08452870012767,28,0,45
1140.0,46,2,55.43733510043169,28,0,45
1160.0,43,2,38.072843237633855,30,0,42
1180.0,40,2,21.794830855087888,31,0,40
1200.0,39,4,6.666679468541496,32,0,39
1220.0,38,4,62.78661275721656,33,0,38
1240.0,38,6,125.79374494612685,33,0,38
1260.0,36,4,218.2778654096849,34,0,36
1280.0,35,5,164.42905978057442,34,0,35
1300.0,34,4,235.30309026964065,35,0,34
1320.0,33,3,270.7968317019225,36,0,33
1340.0,33,2,192.7617466803249,36,0,33
1360.0,32,2,194.02586637913626,37,0,32
1380.0,31,0,326.2933311545813,38,0,31
1400.0,29,1,272.3628153514671,39,0,29
1420.0,29,2,202.91626560927898,39,0,29
1440.0,29,1,222.85978834238233,39,0,29
1460.0,28,2,201.99493692730633,40,0,28
1480.0,27,2,159.91929116561383,40,0,27
1500.0,25,2,128.03805571770306,41,0,25
1520.0,24,3,153.4968328937799,42,0,24
1540.0,24,3,246.9133719020564,42,0,24
1560.0,23,3,366.5315858457554,43,0,23
1580.0,21,4,445.86617648505967,45,0,21
1600.0,20,4,445.937887981641,45,0,20
1620.0,19,4,437.76539275058246,46,0,19
1640.0,19,4,403.62641680585375,46,0,19
1660.0,17,3,40.22943395128719,47,0,17
1680.0,17,3,83.32728217408551,47,0,17
1700.0,17,3,203.20658011239863,47,0,17
1720.0,15,0,339.80549755967724,48,0,15
1740.0,15,0,446.01030384630417,48,0,15
1760.0,15,0,261.32475250796784,48,0,15
1780.0,13,0,296.31593609355485,49,0,13
1800.0,13,2,324.2045872457544,51,0,12
1820.0,11,0,982.3430937644149,52,0,10
1840.0,11,0,918.3538649781767,52,0,10
1860.0,12,1,885.7086021478767,52,0,11
1880.0,12,0,901.0370173101326,52,0,11
1900.0,12,0,930.9384890482186,52,0,11
1920.0,11,0,1048.8385889677404,52,0,10
1940.0,10,0,1142.0367546666187,53,0,9
1960.0,10,0,1096.5096689163663,53,0,9
1980.0,9,0,1239.432363333925,54,0,8
2000.0,9,0,1384.8623786318515,54,0,8
2020.0,10,0,1493.2756366743054,54,0,9
2040.0,11,0,1627.0136344286375,54,0,10
2060.0,10,0,2541.9407882235305,55,0,9
2080.0,10,0,2512.206435305625,55,0,9
2100.0,8,0,3529.46763097069,57,0,7
2120.0,8,1,1055.1011806813838,57,0,7
2140.0,9,0,65.69250434238282,57,0,8
2160.0,10,0,76.29239788161185,57,0,9
2180.0,11,0,85.67594507082612,57,0,10
2200.0,12,0,980.1792523980097,58,0,11
2220.0,15,0,676.9489406110825,58,1,14
2240.0,16,0,715.3571866053011,59,1,15
2260.0,17,0,702.7678986466899,59,1,16
2280.0,20,0,695.992559533451,59,2,19
2300.0,22,0,46.868331022645606,59,2,21
2320.0,24,0,49.072706778422244,59,2,23
2340.0,26,0,56.06263726827062,59,3,25
2360.0,27,0,72.25080238465512,59,3,26
2380.0,30,0,92.707467057048,59,2,29
2400.0,35,0,121.46286896648914,59,1,34
2420.0,38,1,138.2529189375033,59,0,37
2440.0,40,1,167.04985061009683,59,1,39
2460.0,42,0,161.81668003075674,60,1,41
2480.0,45,2,74.4763455974276,60,0,44
2500.0,46,2,94.37881941906019,60,0,45
2520.0,47,4,107.54462897871569,61,0,46
2540.0,46,2,135.26723716102276,62,1,45
2560.0,46,2,186.58397596390847,62,1,45
2580.0,47,3,102.97105406313767,63,0,46
2600.0,48,5,136.07022134339923,63,0,47
2620.0,49,4,175.4431987767604,63,0,48
2640.0,46,3,73.72811814942763,66,0,45
2660.0,43,3,0.6389201173760368,69,0,42
2680.0,45,3,83.46989021704475,69,0,44
2700.0,45,3,62.71372603034917,69,0,44
2720.0,46,6,23.888025015209195,69,0,45
2740.0,45,6,59.34664079007943,70,0,44
2760.0,44,4,59.34664079007943,70,0,43
2780.0,42,2,150.52033456709626,71,0,41
2800.0,41,5,93.34492506930329,72,0,40
2820.0,40,6,15.977456787289459,73,0,39
2840.0,40,5,75.06000019488273,73,0,39
2860.0,42,7,1.7887643507903037,73,0,41
2880.0,39,6,62.22746811681894,75,0,38
2900.0,38,4,114.34300861410833,75,0,37
2920.0,34,4,195.9440078639411,78,0,33
2940.0,33,4,152.63250443805515,78,0,32
2960.0,33,4,54.60573727435881,78,0,32
2980.0,32,4,32.32675277396953,78,0,32
3000.0,31,3,123.29167238839712,78,0,31
3020.0,31,2,186.26823025256456,78,0,31
3040.0,30,3,206.10170920579029,79,1,30
3060.0,33,2,187.85224841686127,79,1,33
3080.0,32,3,126.56975471295785,81,1,32
3100.0,31,5,115.69148883060579,83,1,31
3120.0,32,3,100.35358786945532,83,1,32
3140.0,30,2,113.89547564346245,85,1,30
3160.0,29,2,66.49974098715992,86,1,29
3180.0,27,3,50.02536579531329,88,1,27
3200.0,28,3,50.007193683250826,88,1,28
3220.0,29,3,50.00839525070252,88,1,29
3240.0,30,3,50.00753275813564,88,1,30
3260.0,30,3,50.01302621156803,88,1,30
3280.0,31,5,40.17482963280674,89,1,31
3300.0,33,4,139.79417076428447,89,1,33
3320.0,32,5,50.997608525934986,89,1,32
3340.0,32,4,0.7789575854988221,90,1,32
3360.0,31,4,15.061117989109043,92,1,31
3380.0,31,4,50.0000091585971,92,1,31
3400.0,32,4,50.00001178311388,92,1,32
3420.0,32,3,50.000014597658094,92,1,32
3440.0,32,3,50.00001756853895,92,1,32
3460.0,34,3,40.19451858771507,92,1,34
3480.0,34,2,77.30689723086577,92,1,34
3500.0,35,4,42.36238279156694,93,0,35
3520.0,35,4,39.480116337012795,94,0,35
3540.0,34,2,45.00131962410771,95,0,34
3560.0,32,1,79.48516395787802,96,0,32
3580.0,33,1,100.4048810657861,97,0,33
3600.0,34,3,72.92114008592907,97,0,33
3620.0,36,2,127.13454571101703,97,0,35
3640.0,37,2,80.2680221578627,97,0,36
3660.0,35,1,57.25451947812047,97,0,34
3680.0,36,3,47.905813008334135,97,0,35
3700.0,35,4,126.53999160253836,98,0,34
3720.0,35,2,122.79770248063998,99,0,34
3740.0,34,2,171.29164692575367,101,0,33
3760.0,35,3,41.47088700568867,101,0,34
3780.0,34,3,0.8106270881928446,103,0,33
3800.0,34,4,92.58530970429695,104,0,33
3820.0,35,4,140.13928631428317,104,0,34
3840.0,34,4,117.27160342174975,105,0,33
3860.0,35,3,77.94342725413615,105,0,34
3880.0,33,2,31.39053539463702,106,0,32
3900.0,33,2,21.564412203783583,106,0,32
3920.0,31,3,76.97262606309715,106,0,30
3940.0,33,4,234.5359088057446,106,0,32
3960.0,32,1,215.01728817113337,106,0,31
3980.0,32,0,206.94419068874203,106,0,31
4000.0,32,0,215.9857092474933,106,0,31
4020.0,29,1,254.4983684165928,109,0,28
4040.0,29,1,118.46232950552275,109,0,28
4060.0,28,3,163.7094223538345,110,0,27
4080.0,25,1,211.35550232931402,112,0,24
4100.0,24,1,302.5967934500149,113,0,23
4120.0,24,1,415.325218178827,113,0,23
4140.0,25,2,428.7843748033603,113,0,24
4160.0,25,1,100.5287803208213,113,0,24
4180.0,24,1,123.98328413075684,114,0,23
4200.0,23,1,151.1646157807414,115,0,22
4220.0,23,1,170.89179863108865,115,0,22
4240.0,23,1,176.76067058159026,115,0,22
4260.0,23,0,418.9544390816762,115,0,22
4280.0,22,0,395.6555756399445,116,0,21
4300.0,22,0,385.64827146019303,116,0,21
4320.0,22,0,246.3738393777932,116,0,21
4340.0,22,1,150.70914654841042,116,0,21
4360.0,22,0,109.41395310226837,116,0,21
4380.0,22,1,70.80295850625997,116,0,21
4400.0,23,0,44.12811746225935,116,0,22
4420.0,23,1,24.25765344761396,116,0,22
4440.0,22,2,11.56375368834346,116,0,21
4460.0,22,2,160.0819951264797,117,0,21
4480.0,22,2,150.45226644929085,118,0,21
4500.0,22,2,158.83702962833186,118,0,21
4520.0,21,1,192.18778753648135,119,0,20
4540.0,21,1,253.50012747185795,119,0,20
4560.0,22,1,360.0715236304383,120,0,21
4580.0,23,1,226.630843056315,120,0,22
4600.0,24,2,271.13853434534013,121,0,23
4620.0,26,3,233.17521579570163,121,0,25
4640.0,26,2,213.78644290359097,121,0,25
4660.0,25,1,202.76623275092334,123,0,24
4680.0,26,1,190.94224221651422,124,0,25
4700.0,27,2,192.16747048716155,124,0,26
4720.0,28,2,201.59890400497807,125,0,27
4740.0,30,3,60.86707876825987,125,0,29
4760.0,29,1,260.057652477331,126,0,28
4780.0,30,3,113.32954139549855,126,0,30
4800.0,29,3,195.41471273297788,129,0,29
4820.0,30,1,95.79208736830135,129,0,30
4840.0,32,1,75.46415383422195,129,0,32
4860.0,33,3,97.21534150069321,129,1,33
4880.0,35,3,104.02374359367536,129,0,35
4900.0,37,3,118.76046034063832,129,0,37
4920.0,39,2,180.89834315220673,130,0,39
4940.0,40,0,35.815037312242985,130,0,40
4960.0,43,1,50.04087774650544,130,0,43
4980.0,45,1,50.03934018244979,130,0,45
5000.0,49,2,50.037861565981856,130,0,49
5020.0,47,3,61.372002475074886,132,5,47
5040.0,47,3,21.055170294610743,133,5,47
5060.0,48,2,62.02570390278712,134,6,48
5080.0,52,2,39.710575943204255,136,4,52
5100.0,55,1,22.46131024835747,136,2,55
5120.0,54,2,50.0078553631314,138,3,54
5140.0,56,4,50.00768254300536,139,2,56
5160.0,56,6,37.8079452749492,139,2,56
5180.0,56,3,49.36104878588459,140,2,56
5200.0,55,7,24.029567396068074,140,3,55
5220.0,56,7,23.634504518214094,141,0,56
5240.0,56,6,40.21360068555325,141,0,56
5260.0,53,6,39.97010681945924,143,1,53
5280.0,51,7,73.53931719890144,145,2,51
5300.0,52,6,59.65614495499404,145,0,52
5320.0,51,6,52.50386663957727,146,2,51
5340.0,52,6,51.64871883204138,146,2,52
5360.0,51,1,45.646400163725524,148,2,51
5380.0,49,0,38.31608922775258,150,3,49
5400.0,48,1,9.2242063805088,152,3,47
5420.0,48,3,6.107035535416619,152,3,47
5440.0,51,2,22.152307825343943,152,4,50
5460.0,52,2,32.88982710417103,154,5,51
5480.0,50,4,39.92691770327576,156,5,49
5500.0,51,2,46.4622798295399,157,4,50
5520.0,51,2,70.43771097896825,158,5,50
5540.0,51,2,113.44489672367027,158,4,50
5560.0,51,3,14.274440067335666,159,4,50
5580.0,52,6,44.42315646520933,159,5,51
5600.0,54,7,43.34424903576474,160,2,53
5620.0,54,9,60.741437367060456,161,2,53
5640.0,52,5,21.3526873970873,163,2,51
5660.0,50,6,70.95906420961494,165,2,49
5680.0,50,3,0.6322860104117349,166,2,49
5700.0,49,3,108.70293902895047,167,2,48
5720.0,51,6,75.97785522749362,167,1,50
5740.0,49,5,42.636892302572264,167,1,48
5760.0,48,5,95.57082168137283,168,1,47
5780.0,48,7,95.57082168137283,169,1,47
5800.0,50,5,42.86956575662248,169,1,49
5820.0,51,6,75.88002421414068,169,1,50
5840.0,50,6,95.57082168137283,169,1,49
5860.0,50,6,95.57082168137283,169,1,49
5880.0,50,4,34.50127784382873,170,1,49
5900.0,49,4,115.94106152904357,170,1,48
5920.0,50,3,115.19492430631519,170,1,49
5940.0,51,3,116.30367844116857,171,1,50
5960.0,52,7,1.415334629541823,171,1,51
5980.0,51,6,47.124146686767986,173,1,50
6000.0,51,6,72.25964839570118,174,1,50
6020.0,50,6,110.83951766458576,175,1,49
6040.0,50,6,2.455199736991014,175,1,49
6060.0,50,8,70.28922471186618,177,0,49
6080.0,50,7,70.28922471186618,177,0,49
6100.0,50,6,70.28922471186618,177,0,49
6120.0,49,6,70.28922471186618,177,0,48
6140.0,49,4,70.28922471186618,177,0,48
6160.0,45,4,70.28922471186618,180,0,44
6180.0,40,4,97.84190576725031,184,0,39
6200.0,39,5,76.95382406145819,184,0,38
6220.0,39,6,59.30067554164176,184,0,38
6240.0,38,4,142.20416722298987,186,0,37
6260.0,34,4,238.6151012246513,189,0,33
6280.0,31,1,59.58944202232567,191,0,30
6300.0,32,3,50.01905682019472,191,0,31
6320.0,32,6,50.01860718145017,191,0,31
6340.0,31,4,50.01815549551844,192,0,30
6360.0,29,2,43.07425578113327,193,0,28
6380.0,29,4,116.38504848988507,193,0,28
6400.0,29,3,13.255519114812952,194,0,28
6420.0,29,5,90.91699392252912,194,0,28
6440.0,29,4,156.36001754615887,194,1,28
6460.0,30,3,138.3629770294916,194,1,29
6480.0,29,3,176.90423696277313,194,1,28
6500.0,29,2,93.02959852660784,196,0,28
6520.0,27,2,81.2187915259945,198,0,26
6540.0,26,3,70.91260469261076,199,0,25
6560.0,28,1,65.58059341279838,199,0,27
6580.0,26,2,200.57703404110254,200,0,26
6600.0,27,1,188.5195343966751,200,0,27
6620.0,25,2,168.20942051978975,202,0,25
6640.0,24,2,138.30126570155753,203,1,24
6660.0,26,2,98.11161207154478,203,2,26
6680.0,27,3,47.64660163618938,204,2,27
6700.0,28,4,8.437069408593683,204,2,28
6720.0,27,2,51.55179029195723,205,2,27
6740.0,27,0,139.89291137501806,205,2,27
6760.0,27,1,176.356851321772,205,2,27
6780.0,27,2,189.45477876731943,205,2,27
6800.0,27,1,201.6817166057562,205,2,27
6820.0,28,3,202.95217165119521,205,2,28
6840.0,28,2,194.65581513826302,205,2,28
6860.0,28,2,177.68972645664368,205,2,28
6880.0,26,2,152.04602790238937,207,2,26
6900.0,26,3,116.42113344305513,207,1,26
6920.0,26,2,69.67276991072124,207,1,26
6940.0,25,3,14.399894277008196,208,1,25
6960.0,23,2,121.64941094627574,210,1,23
6980.0,22,2,145.2561216011027,211,1,22
7000.0,25,1,154.65244707154656,211,1,25
7020.0,26,0,448.4382040716786,211,1,26
7040.0,26,0,444.97586760405284,212,1,26
7060.0,27,0,247.42524452032882,212,1,27
7080.0,27,0,311.20048984286154,213,1,27
7100.0,27,2,375.15872270014233,213,1,27
7120.0,29,0,295.7075941006087,213,1,29
7140.0,32,0,287.6583168082369,213,1,32
7160.0,33,2,24.265768558769427,213,1,33
7180.0,31,1,248.4250638409759,214,2,31
7200.0,35,1,26.048903534866653,214,3,34
7220.0,35,1,21.39250904709302,215,4,34
7240.0,38,2,28.788295447755626,215,4,37
7260.0,43,2,45.29157943500932,215,4,42
7280.0,45,1,28.363116217069933,215,4,44
7300.0,47,4,31.12911534513008,216,4,46
7320.0,51,4,37.318563563790995,216,4,50
7340.0,52,4,53.68564683658331,217,3,51
7360.0,54,4,81.25844919552652,217,4,53
7380.0,57,4,106.70512098875768,217,4,56
7400.0,57,2,120.14458955125424,217,4,56
7420.0,59,6,120.33312828359334,218,3,58
7440.0,58,5,122.93004154105532,219,3,57
7460.0,57,7,119.69700490234945,221,2,56
7480.0,57,4,80.99893334308874,222,2,56
7500.0,58,3,34.90340312374864,222,2,57
7520.0,57,6,139.2329377363496,222,2,56
7540.0,57,6,97.34456605027866,223,2,56
7560.0,59,6,78.58010772211951,223,2,58
7580.0,58,7,64.29336476264973,224,3,57
7600.0,60,8,64.19563939343783,224,3,59
7620.0,57,6,25.073064668817036,227,4,56
7640.0,59,7,48.71887771597143,227,4,58
7660.0,63,6,36.27361853945205,227,3,62
7680.0,62,8,166.82876811553626,229,3,61
7700.0,61,5,47.118235958446405,230,3,60
7720.0,61,5,7.761951680980376,231,3,60
7740.0,61,5,12.111007491115027,231,3,60
7760.0,59,6,113.1675263598814,232,3,58
7780.0,57,5,129.59808907824302,234,3,56
7800.0,55,7,49.93210886193536,235,3,54
7820.0,53,7,126.49303127610398,236,3,52
7840.0,52,5,94.4741245451281,236,3,51
7860.0,49,6,9.768861984646252,238,3,48
7880.0,48,5,90.71910383448171,239,3,47
7900.0,47,4,100.93569647619411,239,3,46
7920.0,45,3,88.23239570160679,242,3,44
7940.0,44,4,79.6689384068953,242,3,43
7960.0,44,3,82.58931041537085,244,2,43
7980.0,42,2,42.971470919880815,246,2,41
8000.0,41,2,54.276497806050365,247,2,40
8020.0,41,2,115.44049396826448,248,2,40
8040.0,41,2,129.61434670144928,248,2,40
8060.0,40,3,104.88791613882024,249,2,39
8080.0,41,3,87.75326067045995,249,2,40
8100.0,41,2,74.78713137341985,250,2,40
8120.0,38,1,207.45377134843096,252,2,37
8140.0,37,1,221.4499180775864,253,2,36
8160.0,36,2,195.73979778996676,255,3,35
8180.0,35,1,150.26080910514938,257,2,34
8200.0,32,3,157.11086129258064,259,2,31
8220.0,32,3,223.6666668393029,259,2,31
8240.0,30,5,240.20611521015962,259,2,29
8260.0,30,4,161.43266408235445,260,2,29
8280.0,31,3,43.05378046282425,261,2,30
8300.0,32,2,25.034614360314713,261,2,31
8320.0,31,2,100.70491800164575,262,2,30
