pair,alt,seq,x,y,risk,conflict
DB01_to_DK03#alt0,0,0,1000.0,3900.0,0.7165,0.0
DB01_to_DK03#alt0,0,1,950.0,3900.0,0.6889,0.0
DB01_to_DK03#alt0,0,2,900.0,3850.0,0.6889,0.0
DB01_to_DK03#alt0,0,3,850.0,3850.0,0.6241,0.0
DB01_to_DK03#alt0,0,4,800.0,3800.0,0.5903,0.0
DB01_to_DK03#alt0,0,5,750.0,3800.0,0.503,0.0
DB01_to_DK03#alt0,0,6,700.0,3750.0,0.4746,0.0
DB01_to_DK03#alt0,0,7,650.0,3750.0,0.4076,0.0
DB01_to_DK03#alt0,0,8,600.0,3700.0,0.3628,0.0
DB01_to_DK03#alt0,0,9,600.0,3650.0,0.3784,0.0
DB01_to_DK03#alt0,0,10,600.0,3600.0,0.4076,0.0
DB01_to_DK03#alt0,0,11,600.0,3550.0,0.4275,0.0
DB01_to_DK03#alt0,0,12,600.0,3500.0,0.4346,0.0
DB01_to_DK03#alt0,0,13,650.0,3450.0,0.503,0.0
DB01_to_DK03#alt0,0,14,650.0,3400.0,0.4746,0.0
DB01_to_DK03#alt0,0,15,650.0,3350.0,0.4346,0.0
DB01_to_DK03#alt0,0,16,650.0,3300.0,0.4275,0.0
DB01_to_DK03#alt0,0,17,650.0,3250.0,0.4076,0.0
DB01_to_DK03#alt0,0,18,650.0,3200.0,0.3784,0.0
DB01_to_DK03#alt0,0,19,650.0,3150.0,0.3485,0.0
DB01_to_DK03#alt0,0,20,650.0,3100.0,0.3269,0.0
DB01_to_DK03#alt0,0,21,650.0,3050.0,0.3006,0.0
DB01_to_DK03#alt0,0,22,650.0,3000.0,0.2721,0.0
DB01_to_DK03#alt0,0,23,700.0,2950.0,0.2721,0.0
DB01_to_DK03#alt0,0,24,700.0,2900.0,0.2431,0.0
DB01_to_DK03#alt0,0,25,700.0,2850.0,0.2151,0.0
DB01_to_DK03#alt0,0,26,700.0,2800.0,0.1889,0.0
DB01_to_DK03#alt0,0,27,700.0,2750.0,0.1648,0.0
DB01_to_DK03#alt0,0,28,700.0,2700.0,0.1432,0.0
DB01_to_DK03#alt0,0,29,700.0,2650.0,0.1239,0.0
DB01_to_DK03#alt0,0,30,700.0,2600.0,0.1069,0.0
DB01_to_DK03#alt0,0,31,700.0,2550.0,0.097,0.0
DB01_to_DK03#alt0,0,32,700.0,2500.0,0.097,0.0
DB01_to_DK03#alt0,0,33,750.0,2450.0,0.1146,0.0
DB01_to_DK03#alt0,0,34,750.0,2400.0,0.1146,0.0
DB01_to_DK03#alt0,0,35,750.0,2350.0,0.1199,0.0
DB01_to_DK03#alt0,0,36,750.0,2300.0,0.1344,0.0
DB01_to_DK03#alt0,0,37,750.0,2250.0,0.1551,0.0
DB01_to_DK03#alt0,0,38,750.0,2200.0,0.1798,0.0
DB01_to_DK03#alt0,0,39,750.0,2150.0,0.2076,0.0
DB01_to_DK03#alt0,0,40,750.0,2100.0,0.2384,0.0
DB01_to_DK03#alt0,0,41,750.0,2050.0,0.2721,0.0
DB01_to_DK03#alt0,0,42,750.0,2000.0,0.3077,0.0
DB01_to_DK03#alt0,0,43,800.0,1950.0,0.3895,0.0
DB01_to_DK03#alt0,0,44,800.0,1900.0,0.4346,0.0
DB01_to_DK03#alt0,0,45,800.0,1850.0,0.4931,0.0
DB01_to_DK03#alt0,0,46,800.0,1800.0,0.5483,0.0
DB01_to_DK03#alt0,0,47,800.0,1750.0,0.6241,0.0
DB01_to_DK03#alt0,0,48,800.0,1700.0,0.6889,0.0
DB01_to_DK03#alt0,0,49,800.0,1650.0,0.7165,0.0
DB01_to_DK03#alt0,0,50,800.0,1600.0,0.6889,0.0
DB01_to_DK03#alt0,0,51,800.0,1550.0,0.6241,0.0
DB01_to_DK03#alt0,0,52,800.0,1500.0,0.5903,0.0
DB01_to_DK03#alt0,0,53,850.0,1450.0,0.6241,0.0
DB01_to_DK03#alt0,0,54,850.0,1400.0,0.5483,0.0
DB01_to_DK03#alt0,0,55,850.0,1350.0,0.4746,0.0
DB01_to_DK03#alt0,0,56,850.0,1300.0,0.4076,0.0
DB01_to_DK03#alt0,0,57,850.0,1250.0,0.3485,0.0
DB01_to_DK03#alt0,0,58,900.0,1250.0,0.3628,0.0
DB01_to_DK03#alt0,0,59,950.0,1250.0,0.3679,0.0
DB01_to_DK03#alt0,0,60,1000.0,1250.0,0.3679,0.0
DB01_to_DK03#alt0,0,61,1050.0,1250.0,0.3679,0.0
DB01_to_DK03#alt1,1,0,1000.0,3900.0,0.7165,0.0
DB01_to_DK03#alt1,1,1,950.0,3900.0,0.6889,0.0
DB01_to_DK03#alt1,1,2,900.0,3850.0,0.6889,0.0
DB01_to_DK03#alt1,1,3,850.0,3850.0,0.6241,0.0
DB01_to_DK03#alt1,1,4,800.0,3800.0,0.5903,0.0
DB01_to_DK03#alt1,1,5,750.0,3800.0,0.503,0.0
DB01_to_DK03#alt1,1,6,700.0,3750.0,0.4746,0.0
DB01_to_DK03#alt1,1,7,650.0,3750.0,0.4076,0.0
DB01_to_DK03#alt1,1,8,600.0,3700.0,0.3628,0.0
DB01_to_DK03#alt1,1,9,550.0,3700.0,0.3077,0.0
DB01_to_DK03#alt1,1,10,500.0,3650.0,0.281,0.0
DB01_to_DK03#alt1,1,11,450.0,3650.0,0.2407,0.0
DB01_to_DK03#alt1,1,12,400.0,3600.0,0.2151,0.0
DB01_to_DK03#alt1,1,13,350.0,3600.0,0.1827,0.0
DB01_to_DK03#alt1,1,14,300.0,3550.0,0.1587,0.0
DB01_to_DK03#alt1,1,15,300.0,3500.0,0.1599,0.0
DB01_to_DK03#alt1,1,16,300.0,3450.0,0.1587,0.0
DB01_to_DK03#alt1,1,17,350.0,3400.0,0.1827,0.0
DB01_to_DK03#alt1,1,18,350.0,3350.0,0.1755,0.0
DB01_to_DK03#alt1,1,19,350.0,3300.0,0.1661,0.0
DB01_to_DK03#alt1,1,20,350.0,3250.0,0.1551,0.0
