pair,alt,n_pts,length_m,width_m,buffer_m,half_extent_m,min_clearance_m,corridor_area_m2,mean_risk,max_risk,mean_conflict,corridor_length_m
DB01_to_DK03#alt0,0,62,3236.4,50.0,12.5,37.5,64.6,161820.0,0.3829,0.7165,0.0,
DB01_to_DK03#alt1,1,66,3684.9,50.0,12.5,37.5,64.6,184246.0,0.2996,0.7165,0.0,
DB01_to_DK03#alt2,2,70,3967.8,50.0,12.5,37.5,64.6,198388.0,0.2839,0.7165,0.0,
DB01_to_DK03#alt3,3,73,4179.9,50.0,12.5,37.5,64.6,208995.0,0.2815,0.7165,0.0,
DB01_to_DK03#alt4,4,78,4492.0,50.0,12.5,37.5,50.0,224602.0,0.2711,0.7165,0.0,
DB01_to_DK03#alt5,5,82,4733.5,50.0,12.5,37.5,50.0,236673.0,0.2717,0.7165,0.0,
DB01_to_DK03#alt6,6,101,5869.8,50.0,12.5,37.5,64.6,293492.0,0.4788,0.7165,0.0,
DB01_to_DK03#alt7,7,62,3692.0,50.0,12.5,37.5,64.6,184602.0,0.5653,0.7165,0.0,
DB02_to_DK03#alt0,0,16,812.1,50.0,12.5,37.5,264.6,40607.0,0.2389,0.3679,0.0,
DB02_to_DK03#alt1,1,16,812.1,50.0,12.5,37.5,264.6,40607.0,0.2389,0.3679,0.0,
DB02_to_DK03#alt2,2,16,812.1,50.0,12.5,37.5,264.6,40607.0,0.2389,0.3679,0.0,
DB02_to_DK03#alt3,3,16,812.1,50.0,12.5,37.5,264.6,40607.0,0.2389,0.3679,0.0,
DB02_to_DK03#alt4,4,16,812.1,50.0,12.5,37.5,264.6,40607.0,0.2389,0.3679,0.0,
DB02_to_DK03#alt5,5,16,812.1,50.0,12.5,37.5,264.6,40607.0,0.2389,0.3679,0.0,
DB02_to_DK03#alt6,6,16,812.1,50.0,12.5,37.5,264.6,40607.0,0.2389,0.3679,0.0,
DB02_to_DK03#alt7,7,16,812.1,50.0,12.5,37.5,264.6,40607.0,0.2389,0.3679,0.0,
DB01_to_DK01#alt0,0,78,4471.3,50.0,12.5,37.5,64.6,223566.0,0.2756,0.7165,0.0,
DB01_to_DK01#alt1,1,78,4512.7,50.0,12.5,37.5,50.0,225637.0,0.2653,0.7165,0.0,
DB01_to_DK01#alt2,2,135,7756.2,50.0,12.5,37.5,50.0,387812.0,0.4601,0.7165,0.0,
DB01_to_DK01#alt3,3,78,4471.3,50.0,12.5,37.5,64.6,223566.0,0.2756,0.7165,0.0,
DB01_to_DK01#alt4,4,78,4512.7,50.0,12.5,37.5,50.0,225637.0,0.2653,0.7165,0.0,
DB01_to_DK01#alt5,5,121,6890.6,50.0,12.5,37.5,64.6,344528.0,0.3968,0.7165,0.0,
DB01_to_DK01#alt6,6,78,4512.7,50.0,12.5,37.5,50.0,225637.0,0.2653,0.7165,0.0,
DB01_to_DK01#alt7,7,78,4471.3,50.0,12.5,37.5,64.6,223566.0,0.2756,0.7165,0.0,
DB01_to_DK04#alt0,0,35,2155.6,50.0,12.5,37.5,64.6,107782.0,0.4878,0.7165,0.0,
DB01_to_DK04#alt1,1,40,2467.8,50.0,12.5,37.5,64.6,123388.0,0.4683,0.7165,0.0,
DB01_to_DK04#alt2,2,43,2555.6,50.0,12.5,37.5,64.6,127782.0,0.4416,0.7165,0.0,
DB01_to_DK04#alt3,3,47,2755.6,50.0,12.5,37.5,64.6,137782.0,0.4002,0.7165,0.0,
DB01_to_DK04#alt4,4,47,2755.6,50.0,12.5,37.5,64.6,137782.0,0.4002,0.7165,0.0,
DB01_to_DK04#alt5,5,47,2755.6,50.0,12.5,37.5,64.6,137782.0,0.4002,0.7165,0.0,
