pair,alt,seq,x,y,risk,conflict
DB01_to_DK03#alt0,0,0,1000.0,3900.0,0.7165,0.0
DB01_to_DK03#alt0,0,1,950.0,3900.0,0.6889,0.0
DB01_to_DK03#alt0,0,2,900.0,3850.0,0.6889,0.0
DB01_to_DK03#alt0,0,3,850.0,3800.0,0.6889,0.0
DB01_to_DK03#alt0,0,4,800.0,3750.0,0.6241,0.0
DB01_to_DK03#alt0,0,5,750.0,3700.0,0.5903,0.0
DB01_to_DK03#alt0,0,6,700.0,3650.0,0.5134,0.0
DB01_to_DK03#alt0,0,7,650.0,3600.0,0.4746,0.0
DB01_to_DK03#alt0,0,8,600.0,3550.0,0.4275,0.0
DB01_to_DK03#alt0,0,9,550.0,3500.0,0.3679,0.0
DB01_to_DK03#alt0,0,10,500.0,3450.0,0.3077,0.0
DB01_to_DK03#alt0,0,11,450.0,3400.0,0.253,0.0
DB01_to_DK03#alt0,0,12,400.0,3350.0,0.2057,0.0
DB01_to_DK03#alt0,0,13,350.0,3300.0,0.1661,0.0
DB01_to_DK03#alt0,0,14,300.0,3250.0,0.1335,0.0
DB01_to_DK03#alt0,0,15,250.0,3200.0,0.1082,0.0
DB01_to_DK03#alt0,0,16,200.0,3150.0,0.0883,0.0
DB01_to_DK03#alt0,0,17,150.0,3100.0,0.0717,0.0
DB01_to_DK03#alt0,0,18,150.0,3050.0,0.0677,0.0
DB01_to_DK03#alt0,0,19,150.0,3000.0,0.0634,0.0
DB01_to_DK03#alt0,0,20,200.0,2950.0,0.0681,0.0
DB01_to_DK03#alt0,0,21,200.0,2900.0,0.0634,0.0
DB01_to_DK03#alt0,0,22,250.0,2850.0,0.0681,0.0
DB01_to_DK03#alt0,0,23,250.0,2800.0,0.0624,0.0
DB01_to_DK03#alt0,0,24,250.0,2750.0,0.0568,0.0
DB01_to_DK03#alt0,0,25,300.0,2700.0,0.0585,0.0
DB01_to_DK03#alt0,0,26,300.0,2650.0,0.0524,0.0
DB01_to_DK03#alt0,0,27,300.0,2600.0,0.0467,0.0
DB01_to_DK03#alt0,0,28,350.0,2550.0,0.0467,0.0
DB01_to_DK03#alt0,0,29,350.0,2500.0,0.0414,0.0
DB01_to_DK03#alt0,0,30,350.0,2450.0,0.0414,0.0
DB01_to_DK03#alt0,0,31,350.0,2400.0,0.0467,0.0
DB01_to_DK03#alt0,0,32,350.0,2350.0,0.0524,0.0
DB01_to_DK03#alt0,0,33,400.0,2300.0,0.0663,0.0
DB01_to_DK03#alt0,0,34,400.0,2250.0,0.0748,0.0
DB01_to_DK03#alt0,0,35,400.0,2200.0,0.0839,0.0
DB01_to_DK03#alt0,0,36,450.0,2150.0,0.1062,0.0
DB01_to_DK03#alt0,0,37,450.0,2100.0,0.1199,0.0
DB01_to_DK03#alt0,0,38,450.0,2050.0,0.1344,0.0
DB01_to_DK03#alt0,0,39,500.0,2000.0,0.17,0.0
DB01_to_DK03#alt0,0,40,500.0,1950.0,0.1889,0.0
DB01_to_DK03#alt0,0,41,550.0,1900.0,0.2384,0.0
DB01_to_DK03#alt0,0,42,600.0,1850.0,0.3006,0.0
DB01_to_DK03#alt0,0,43,650.0,1800.0,0.3784,0.0
DB01_to_DK03#alt0,0,44,700.0,1750.0,0.4746,0.0
DB01_to_DK03#alt0,0,45,750.0,1700.0,0.5903,0.0
DB01_to_DK03#alt0,0,46,800.0,1650.0,0.7165,0.0
DB01_to_DK03#alt0,0,47,800.0,1600.0,0.6889,0.0
DB01_to_DK03#alt0,0,48,850.0,1550.0,0.7165,0.0
DB01_to_DK03#alt0,0,49,850.0,1500.0,0.6889,0.0
DB01_to_DK03#alt0,0,50,900.0,1450.0,0.6889,0.0
DB01_to_DK03#alt0,0,51,950.0,1400.0,0.6065,0.0
DB01_to_DK03#alt0,0,52,1000.0,1350.0,0.5134,0.0
DB01_to_DK03#alt0,0,53,1050.0,1300.0,0.4346,0.0
DB01_to_DK03#alt0,0,54,1050.0,1250.0,0.3679,0.0
DB01_to_DK03#alt1,1,0,1000.0,3900.0,0.7165,0.0
DB01_to_DK03#alt1,1,1,950.0,3950.0,0.5903,0.0
DB01_to_DK03#alt1,1,2,900.0,4000.0,0.4746,0.0
DB01_to_DK03#alt1,1,3,850.0,3950.0,0.4931,0.0
DB01_to_DK03#alt1,1,4,800.0,3900.0,0.4931,0.0
DB01_to_DK03#alt1,1,5,750.0,3850.0,0.4746,0.0
DB01_to_DK03#alt1,1,6,700.0,3800.0,0.4346,0.0
DB01_to_DK03#alt1,1,7,650.0,3750.0,0.4076,0.0
DB01_to_DK03#alt1,1,8,600.0,3700.0,0.3628,0.0
DB01_to_DK03#alt1,1,9,550.0,3650.0,0.3269,0.0
DB01_to_DK03#alt1,1,10,500.0,3600.0,0.2972,0.0
DB01_to_DK03#alt1,1,11,450.0,3550.0,0.2609,0.0
DB01_to_DK03#alt1,1,12,400.0,3500.0,0.2231,0.0
DB01_to_DK03#alt1,1,13,350.0,3450.0,0.1873,0.0
DB01_to_DK03#alt1,1,14,300.0,3400.0,0.1551,0.0
DB01_to_DK03#alt1,1,15,250.0,3350.0,0.1273,0.0
DB01_to_DK03#alt1,1,16,200.0,3300.0,0.1036,0.0
DB01_to_DK03#alt1,1,17,150.0,3250.0,0.0839,0.0
DB01_to_DK03#alt1,1,18,100.0,3200.0,0.0677,0.0
DB01_to_DK03#alt1,1,19,50.0,3150.0,0.0544,0.0
DB01_to_DK03#alt1,1,20,50.0,3100.0,0.0522,0.0
DB01_to_DK03#alt1,1,21,50.0,3050.0,0.0496,0.0
DB01_to_DK03#alt1,1,22,50.0,3000.0,0.0467,0.0
DB01_to_DK03#alt1,1,23,50.0,2950.0,0.0437,0.0
DB01_to_DK03#alt1,1,24,100.0,2900.0,0.0469,0.0
DB01_to_DK03#alt1,1,25,100.0,2850.0,0.0437,0.0
DB01_to_DK03#alt1,1,26,150.0,2800.0,0.0469,0.0
DB01_to_DK03#alt1,1,27,150.0,2750.0,0.0431,0.0
